fecha,ret_.INX,ret_CPER,ret_EEM,ret_NDX,ret_SPBLSCUP,ret_USD_PEN
2026-04-06,0.004426761703802,-0.0020366598778,0.009188902632974,0.006098430768629,-0.000792412648887,0.011794164556606
2026-04-07,0.000759245171155,-0.006413994169096,0.003502013657853,0.000421624021326,-0.00629476345072,0.00073046018992
2026-04-08,0.025081420917808,0.034330985915493,0.054615250392602,0.028955841927877,0.046387510287553,-0.012992700729927
2026-04-09,0.006170009184984,-0.00113475177305,-0.00264725347452,0.00718462749923,0.003122244202398,-0.002810235172312
2026-04-10,-0.001138518255854,0.018744674808293,0.00464499004645,0.001365516191035,-0.006605208135335,0.004894690002967
2026-04-13,0.010173260827151,0.025648173961528,0.008421400264201,0.010645659359604,0.014541975603923,0.020826928872245
2026-04-14,0.011782917818723,0.012775210655069,0.019158342885214,0.018054091362495,-0.014027063982272,0.004895416110369
2026-04-15,0.007975738369373,0.0,-0.000642673521851,0.01403064778268,-0.060182196399111,0.01535281960437
2026-04-16,0.002610014310226,-0.008588298443371,0.004019292604502,0.004900670035543,0.033226479417901,-0.019355045071242
2026-04-17,0.012040424468279,0.009474824038982,0.019055244195356,0.012889909998861,-0.009184477494337,0.018847492526178
2026-04-20,-0.002374383600475,-0.007508715473317,-0.007228158390949,-0.003077709829963,-0.005517035711623,0.014569225894901
2026-04-21,-0.006348165882231,-0.012158875979465,-0.014719848053181,-0.004169559321167,-0.03053702176575,0.000291036088475
2026-04-22,0.010460064467632,0.028446389496718,0.018152610441767,0.017289243327,0.005541951282382,0.000436427116671
2026-04-23,-0.004132868210538,-0.017021276595745,-0.016251183338593,-0.005741114173369,-0.010330684439887,0.007706848916679
2026-04-24,0.007973664959766,-0.000541125541126,0.022293504410585,0.019454400109324,0.000880669308675,0.005772005772006
2026-04-27,0.001232365863326,-0.000270709258257,-0.001568873548792,0.000073616477199,-0.010299940477731,0.00964659506109
2026-04-28,-0.004894123288416,-0.018683996750609,-0.010213702074167,-0.01013232411718,-0.019010014904688,0.025992490844148
2026-04-29,-0.0003992267608,-0.007450331125828,-0.0047626607398,0.005844831164738,-0.012874506877066,0.002275960170697
2026-04-30,0.010238300436522,0.015568529329997,0.020736959642686,0.009752090981753,0.026246860907839,-0.004399659381209
2026-05-04,-0.004062173241938,-0.017940932928512,-0.000467799781693,-0.002112567285304,-0.015129588212077,-0.000855431993157
2026-05-05,0.008119987501302,0.021079258010118,0.02028081123245,0.013136205862761,0.008950040074806,-0.004566210045662
2026-05-06,0.01458834420227,0.033305807872282,0.031957186544342,0.020849857183957,0.03638289421422,-0.007454128440367
2026-05-07,-0.003803060914147,-0.00506126798082,-0.013335308934657,-0.001231504270928,-0.005391042182989,-0.001444251877528
2026-05-08,0.008425660784696,0.024631860776439,0.020273314311458,0.023492549174746,0.017057131113851,-0.006797801562048
2026-05-11,0.001880001567794,0.029265743402143,-0.000735943479541,0.002930392656197,0.013209739341281,0.014068574464523
2026-05-12,-0.001602624635093,0.026656511805027,-0.030490499337163,-0.008726270145351,0.011317462295899,-0.019970536756126
2026-05-13,0.005849241179523,-0.004203758654797,0.021118201154664,0.010395392364647,0.002859326086421,0.020079826381044
2026-05-14,0.007655573093327,-0.006208095356345,0.002529385508109,0.007265312627056,-0.004596288558437,-0.001750802451123
2026-05-15,-0.012363289269507,-0.046976511744128,-0.034283170080143,-0.015385239500614,-0.036964788384612,0.002923121894183
2026-05-18,-0.00073564149288,0.006816990036707,-0.00153680651606,-0.004491986321124,-0.011435604215277,0.016431341199202
2026-05-19,-0.006678328526756,-0.020052083333333,-0.010928120671079,-0.006053933918895,-0.003812735053819,-0.019752740026304
2026-05-20,0.010791978361648,0.024980069093808,0.018674136321195,0.016616213560296,0.028275359300146,0.017020104260214
