periodo,afp,monto_ca_miles_soles,suma_pct_reportada,registros,total_fp_miles_soles,objetivo_monto_miles_soles,objetivo_pct,objetivo,escenario,ratio_ca_objetivo,error_abs_pct,pct_calculado_sobre_total_fp,dif_pct_interno_pp
2023-01,Habitat,2832951.7386097377,96.00911884700878,104,2950711.1122686,1001216.1022969,33.931349569737016,fondos_mutuos_mas_etf,despues_auditoria,2.829510764070448,182.9510764070448,96.0091188470048,3.979039320256561e-12
2023-01,Habitat,2832951.7386097377,96.00911884700878,104,2950711.1122686,983798.3736066,33.34106038087402,fondos_mutuos_exterior,despues_auditoria,2.879606039827196,187.96060398271962,96.0091188470048,3.979039320256561e-12
2023-01,Integra,3771212.283618899,86.57069395496197,65,4356222.7716239,1826970.5926138,41.93932882667402,total_exterior,despues_auditoria,2.0641888265007715,106.41888265007715,86.57069395496221,2.4158453015843406e-13
2023-01,Integra,3771212.283618899,86.57069395496197,65,4356222.7716239,1787954.0049679,41.043677027136795,rv_y_fondos_exterior,despues_auditoria,2.1092333880739877,110.92333880739878,86.57069395496221,2.4158453015843406e-13
2023-01,Integra,3771212.283618899,86.57069395496197,65,4356222.7716239,1787311.2644469999,41.02892248967175,fondos_exterior_amplio,despues_auditoria,2.109991896003478,110.9991896003478,86.57069395496221,2.4158453015843406e-13
2023-01,Integra,3771212.283618899,86.57069395496197,65,4356222.7716239,1787311.2644469999,41.02892248967175,administradoras_fondos_exterior,despues_auditoria,2.109991896003478,110.9991896003478,86.57069395496221,2.4158453015843406e-13
2023-01,Integra,3771212.283618899,86.57069395496197,65,4356222.7716239,441098.7317133,10.125715667862147,fondos_mutuos_mas_etf,despues_auditoria,8.549587682945473,754.9587682945473,86.57069395496221,2.4158453015843406e-13
2023-01,Integra,3771212.283618899,86.57069395496197,65,4356222.7716239,441098.7317133,10.125715667862147,fondos_mutuos_exterior,despues_auditoria,8.549587682945473,754.9587682945473,86.57069395496221,2.4158453015843406e-13
2023-01,Prima,2985239.260834446,76.20456995885073,59,3917401.8860632,1448924.5641644,36.98687564630909,total_exterior,despues_auditoria,2.06031379042569,106.031379042569,76.2045699588527,1.9753088054130785e-12
2023-01,Prima,2985239.260834446,76.20456995885073,59,3917401.8860632,1404300.948933,35.84776312915442,rv_y_fondos_exterior,despues_auditoria,2.1257831258340008,112.57831258340008,76.2045699588527,1.9753088054130785e-12
2023-01,Prima,2985239.260834446,76.20456995885073,59,3917401.8860632,1403587.8950412,35.82956091471386,fondos_exterior_amplio,despues_auditoria,2.1268630709776954,112.68630709776954,76.2045699588527,1.9753088054130785e-12
2023-01,Prima,2985239.260834446,76.20456995885073,59,3917401.8860632,1403526.6900236001,35.827998526698025,administradoras_fondos_exterior,despues_auditoria,2.126955819261442,112.6955819261442,76.2045699588527,1.9753088054130785e-12
2023-01,Prima,2985239.260834446,76.20456995885073,59,3917401.8860632,636908.6850002999,16.25844637656889,fondos_mutuos_mas_etf,despues_auditoria,4.687075763196792,368.7075763196792,76.2045699588527,1.9753088054130785e-12
2023-01,Prima,2985239.260834446,76.20456995885073,59,3917401.8860632,636847.4799827,16.256883988553053,fondos_mutuos_exterior,despues_auditoria,4.68752622043121,368.75262204312105,76.2045699588527,1.9753088054130785e-12
2023-01,Profuturo,3862425.269502997,93.87727360449433,94,4114334.7278867,1808058.9749053,43.94535434004304,total_exterior,despues_auditoria,2.1362274810230115,113.62274810230116,93.87727360449608,1.7479351299698465e-12
2023-01,Profuturo,3862425.269502997,93.87727360449433,94,4114334.7278867,1762517.2887595,42.83845154389667,rv_y_fondos_exterior,despues_auditoria,2.1914254652341367,119.14254652341367,93.87727360449608,1.7479351299698465e-12
