fecha_hoy_simulada,fecha_ultima_cuota_visible,cuota_ultima_visible,cuota_real_hoy,cuota_estimada_hoy,retorno_acumulado_real,retorno_acumulado_estimado,error_pct,error_abs_pct,afp,tipo_modelo
2024-06-13,2024-06-07,48.8180481,49.07936900000001,48.817943168340314,0.005352956747977977,-2.14944398169159e-06,-0.005326593169111327,0.005326593169111327,Prima,CANASTA_PODADA
2024-06-14,2024-06-07,48.8180481,49.1718642,48.78728532555901,0.007247649461019856,-0.0006301516680464747,-0.007821116418868512,0.007821116418868512,Prima,CANASTA_PODADA
2024-06-17,2024-06-12,49.3744257,49.3457069,49.29303199227358,-0.0005816533477167596,-0.0016484993308271134,-0.001067466878793888,0.001067466878793888,Prima,CANASTA_PODADA
2024-06-18,2024-06-13,49.07936900000001,49.5061488,49.22357807164741,0.00869570674390685,0.0029382829198028038,-0.005707790551314096,0.005707790551314096,Prima,CANASTA_PODADA
2024-06-19,2024-06-14,49.1718642,49.4536016,49.35401733525251,0.005729646507890429,0.0037044179271223943,-0.00201369084405556,0.00201369084405556,Prima,CANASTA_PODADA
2024-06-20,2024-06-14,49.1718642,49.3279472,49.41887217280311,0.0031742339351858995,0.005023359940116157,0.0018432750188135394,0.0018432750188135394,Prima,CANASTA_PODADA
2024-06-21,2024-06-14,49.1718642,49.2204786,49.334053959342725,0.0009886629435538197,0.0032984260812858324,0.002307481815967627,0.002307481815967627,Prima,CANASTA_PODADA
2024-06-24,2024-06-19,49.4536016,49.3426116,49.49677056578137,-0.002244325921855639,0.0008729185415157215,0.003124256312800666,0.003124256312800666,Prima,CANASTA_PODADA
2024-06-25,2024-06-20,49.3279472,49.2753328,49.24896611298272,-0.0010666245604479263,-0.0016011427902532516,-0.0005350889688415794,0.0005350889688415794,Prima,CANASTA_PODADA
2024-06-26,2024-06-21,49.2204786,49.3335978,49.21547565601641,0.0022982141421110658,-0.00010164354605823878,-0.0023943549477672965,0.0023943549477672965,Prima,CANASTA_PODADA
2024-06-27,2024-06-21,49.2204786,49.272309400000005,49.145256603557144,0.00105303323889272,-0.001528266253852606,-0.002578584157917785,0.002578584157917785,Prima,CANASTA_PODADA
2024-06-28,2024-06-21,49.2204786,49.398632500000005,49.22163886786537,0.0036195076737837173,2.3572868415255854e-05,-0.0035829662315982613,0.0035829662315982613,Prima,CANASTA_PODADA
2024-07-01,2024-06-26,49.3335978,49.4131756,49.34030526818698,0.0016130548662316446,0.00013596146411565257,-0.0014747146065435812,0.0014747146065435812,Prima,CANASTA_PODADA
2024-07-02,2024-06-27,49.272309400000005,49.25264309999999,49.41737726388496,-0.00039913493480403517,0.0029442067086256074,0.0033446766207145817,0.0033446766207145817,Prima,CANASTA_PODADA
2024-07-03,2024-06-28,49.398632500000005,49.4443089,49.74522258323934,0.0009246490780894234,0.007016187811258456,0.006085911400802946,0.006085911400802946,Prima,CANASTA_PODADA
2024-07-04,2024-06-28,49.398632500000005,49.3421078,49.751958443602106,-0.0011442563718743193,0.007152545034563529,0.008306305949947745,0.008306305949947745,Prima,CANASTA_PODADA
2024-07-05,2024-06-28,49.398632500000005,49.4245402,49.84234049161873,0.0005244618866726558,0.008982191796882644,0.008453296478390326,0.008453296478390326,Prima,CANASTA_PODADA
2024-07-08,2024-07-03,49.4443089,49.27043510000001,49.56487763896561,-0.0035165584041563225,0.002438475562666964,0.005976049092483171,0.005976049092483171,Prima,CANASTA_PODADA
2024-07-09,2024-07-04,49.3421078,49.2914942,49.46839323643477,-0.0010257689072618037,0.002559384713491486,0.0035888349360440053,0.0035888349360440053,Prima,CANASTA_PODADA
2024-07-10,2024-07-05,49.4245402,49.515271000000006,49.54465654757799,0.0018357439367742145,0.0024302977244083923,0.0005934643390721472,0.0005934643390721472,Prima,CANASTA_PODADA
2024-07-11,2024-07-05,49.4245402,49.2340207,49.5995415380136,-0.0038547551323502294,0.0035407782713898772,0.007424151690572645,0.007424151690572645,Prima,CANASTA_PODADA
2024-07-12,2024-07-05,49.4245402,49.2073889,49.6194864955858,-0.004393592719755923,0.003944321885381852,0.00837470966856757,0.00837470966856757,Prima,CANASTA_PODADA
2024-07-15,2024-07-10,49.515271000000006,49.060678,49.487636435046724,-0.009180864626591734,-0.000558101862217053,0.008702660714283716,0.008702660714283716,Prima,CANASTA_PODADA
