afp,factor,familia,mejor_lag_train,lag,corr_s_train,corr_p_train,n_train,corr_s_valid,corr_p_valid,n_valid,corr_s_test,corr_p_test,n_test,estable_train_valid,confirmada_en_test,score_pretest,nivel_relacion,direccion_relacion,ranking_pretest,orden_modelo
Integra,vix_retorno,volatilidad,0,0,-0.4757196970194539,-0.5226590733747085,1668,-0.2574220486402576,-0.2507462346276639,547,-0.5057192637250261,-0.5163006634694538,480,True,True,0.2574220486402576,moderada_y_estable,negativa,9,6
Integra,ret_VGK,acciones_regionales,0,0,0.3584622148313202,0.4285407977743834,1662,0.23853738036606761,0.2429740484534752,547,0.3151962173523207,0.3774966133921223,463,True,True,0.23853738036606761,debil_pero_estable,positiva,10,7
Integra,ret_ACWI,acciones_globales_usa,0,0,0.37870854028426654,0.428978101669968,1662,0.2229057655537859,0.2424544066147954,547,0.34568661884292745,0.3955390644769136,463,True,True,0.2229057655537859,debil_pero_estable,positiva,11,8
Prima,ret_COPX,otros,0,0,0.3845201883237487,0.45562546420056227,1662,0.40735006596573997,0.4221694625564065,547,0.5282024056973785,0.6262127132276258,463,True,True,0.3845201883237487,moderada_y_estable,positiva,1,1
Prima,ret_EPU,otros,0,0,0.32460525582574384,0.4147387071463209,1662,0.3948046975642753,0.44061647140996774,547,0.493911158849343,0.585423249916474,463,True,True,0.32460525582574384,moderada_y_estable,positiva,2,2
Prima,ret_EEM,acciones_regionales,0,0,0.3832882930039573,0.4482764939325734,1662,0.2967410563522067,0.3067257515427077,547,0.41049847225835895,0.4975570796397886,463,True,True,0.2967410563522067,moderada_y_estable,positiva,4,3
Prima,ret_IDX_VIX,volatilidad,0,0,-0.44084656255455057,-0.5001593767605063,1668,-0.2841172410725053,-0.30503422692689636,547,-0.5037805615237684,-0.518598203646424,480,True,True,0.2841172410725053,moderada_y_estable,negativa,6,4
Prima,vix_retorno,volatilidad,0,0,-0.44084656255455057,-0.5001593767605063,1668,-0.2841172410725053,-0.30503422692689636,547,-0.5037805615237684,-0.518598203646424,480,True,True,0.2841172410725053,moderada_y_estable,negativa,7,5
Prima,ret_XLB,materias_primas,0,0,0.3341920731816296,0.42033566547120316,1662,0.27367914915119973,0.30744853390648974,547,0.299768517399038,0.3662034931811399,463,True,True,0.27367914915119973,moderada_y_estable,positiva,8,6
Prima,ret_VGK,acciones_regionales,0,0,0.34443219730949803,0.4301484499846046,1662,0.253824685836055,0.2807604046222537,547,0.3088535989221175,0.38102261564547046,463,True,True,0.253824685836055,moderada_y_estable,positiva,9,7
Prima,ret_ACWI,acciones_globales_usa,0,0,0.3581433796089988,0.42850138897708356,1662,0.236053235386026,0.2716921208087497,547,0.341449239389028,0.4012872511323767,463,True,True,0.236053235386026,debil_pero_estable,positiva,11,8
Profuturo,ret_COPX,otros,0,0,0.3985266494126076,0.4542701650290752,1662,0.3899688229943503,0.4121910887991117,547,0.5232019414264143,0.6231620344067426,463,True,True,0.3899688229943503,moderada_y_estable,positiva,1,1
Profuturo,ret_EPU,otros,0,0,0.3230886993631429,0.40519717952757134,1662,0.3824271579712671,0.43525350627683224,547,0.5003511049165328,0.5974637051273181,463,True,True,0.3230886993631429,moderada_y_estable,positiva,2,2
Profuturo,ret_IDX_VIX,volatilidad,0,0,-0.530577550085281,-0.567019729680289,1668,-0.2698813765943806,-0.291715430521457,547,-0.4529859562092262,-0.45267425612054535,480,True,True,0.2698813765943806,moderada_y_estable,negativa,3,3
Profuturo,vix_retorno,volatilidad,0,0,-0.530577550085281,-0.567019729680289,1668,-0.2698813765943806,-0.291715430521457,547,-0.4529859562092262,-0.45267425612054535,480,True,True,0.2698813765943806,moderada_y_estable,negativa,4,4
Profuturo,ret_EEM,acciones_regionales,0,0,0.41243453001846875,0.45894312519386615,1662,0.26896447205632,0.28495041485531597,547,0.3839369742494044,0.45778439549851824,463,True,True,0.26896447205632,moderada_y_estable,positiva,6,5
Profuturo,ret_XLB,materias_primas,0,0,0.3705734155556528,0.43086728380207145,1662,0.2564606026088031,0.2928053888060466,547,0.2583747711289232,0.3241808191875803,463,True,True,0.2564606026088031,moderada_y_estable,positiva,8,6
Profuturo,ret_VGK,acciones_regionales,0,0,0.37135844962892095,0.4310149295668031,1662,0.2340656114592249,0.266289708205133,547,0.28799719309513006,0.353122497472115,463,True,True,0.2340656114592249,debil_pero_estable,positiva,10,7
Profuturo,ret_ACWI,acciones_globales_usa,0,0,0.3965733474819529,0.4398467214610537,1662,0.2200605943383402,0.2600200362484436,547,0.30329831583586914,0.3518205078206862,463,True,True,0.2200605943383402,debil_pero_estable,positiva,11,8
