periodo,afp,fecha_ca,monto_ca_miles_soles,participacion_reportada_suma_pct,registros,registros_pendientes,registros_identificados,fuente,pendientes_pct_registros,fecha_fp,total_fp_miles_soles,suma_fp_pct,objetivo_monto_miles_soles,objetivo_participacion_pct,objetivo_hoja10,categorias_objetivo,diferencia_miles_soles,error_relativo_pct,participacion_calculada_sobre_fp_pct,diferencia_porcentaje_interno_pp,estado_monto,estado_porcentaje_interno,elegible_isin
2015-06,Integra,2015-06-30,10692336.59600578,124.89830047833615,96,19,77,hoja10,19.791666666666664,2015-06-30,8560834.338863067,99.99999999999999,5401870.844060236,63.09981749720013,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,5290465.751945545,97.93765724263494,124.89830047833621,5.684341886080802e-14,revisar,correcto,False
2015-06,Prima,2015-06-30,10062417.91930049,123.5262221641426,81,20,61,hoja10,24.691358024691358,2015-06-30,8145977.220876611,100.0,4965286.293677064,60.9538445670087,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,5097131.6256234255,102.65534199134211,123.52622216414258,1.4210854715202004e-14,revisar,correcto,False
2015-06,Profuturo,2015-06-30,7278484.35730465,127.33213936475752,77,20,57,hoja10,25.97402597402597,2015-06-30,5716140.790232545,100.0,3643609.1845365604,63.7424674837012,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,3634875.17276809,99.76029230013094,127.33213936475742,9.947598300641403e-14,revisar,correcto,False
2015-07,Habitat,2015-07-31,189540.34457946528,134.4006776473325,43,5,38,hoja10,11.627906976744185,2015-07-31,141026.33104039787,100.0,94248.83166178637,66.83066273261282,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,95291.5129176789,101.10630682365826,134.4006776473326,1.1368683772161603e-13,revisar,correcto,False
2015-07,Integra,2015-07-31,10383521.631472738,122.26698257652407,97,19,78,hoja10,19.587628865979383,2015-07-31,8492498.475599438,99.99999999999999,5221430.250041289,61.48285177846602,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,5162091.381431449,98.86355144532725,122.26698257652409,1.4210854715202004e-14,revisar,correcto,False
2015-07,Prima,2015-07-31,10176640.501943216,126.79743885613607,79,20,59,hoja10,25.31645569620253,2015-07-31,8025903.830352283,100.0,5045749.483319823,62.86830231179519,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,5130891.018623393,101.68739125049768,126.79743885613604,2.842170943040401e-14,revisar,correcto,False
2015-07,Profuturo,2015-07-31,7356645.809600084,128.73520256240906,75,20,55,hoja10,26.666666666666668,2015-07-31,5714556.440794568,100.00000000000003,3683287.6161534246,64.45447961384193,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,3673358.1934466595,99.73041956693204,128.73520256240914,8.526512829121202e-14,revisar,correcto,False
2015-08,Habitat,2015-08-31,196316.6411481174,135.84526751590326,45,5,40,hoja10,11.11111111111111,2015-08-31,144514.89163958907,99.99999999999999,98348.22885917798,68.05404463399674,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,97968.41228893942,99.61380436166023,135.8452675159032,5.684341886080802e-14,revisar,correcto,False
2015-08,Integra,2015-08-31,9803246.241525348,124.58227985827689,90,19,71,hoja10,21.11111111111111,2015-08-31,7868892.9538594,100.0,4936715.185565303,62.73709929100036,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,4866531.055960045,98.57832329864861,124.58227985827688,1.4210854715202004e-14,revisar,correcto,False
2015-08,Prima,2015-08-31,9738233.716689628,130.37061781397003,80,18,62,hoja10,22.5,2015-08-31,7469653.730248811,100.0,4845067.981029881,64.86335452752631,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,4893165.735659746,100.99271578475648,130.37061781396997,5.684341886080802e-14,revisar,correcto,False
