fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,grupo,entidad_administradora,isin,moneda,seccion,estado_identificacion,total_canonico,participacion_calculada_pct
2026-01-30,CA-0001-en2026.XLS,10,148,Integra,3,37362.84064,miles_soles,0.010996692664127382,75,BlackRock Fund Advisors,US4642864007,USD,,isin,2462373.921423915,1.5173504038084606
2026-01-30,CA-0001-en2026.XLS,10,148,Prima,3,85409.83194368001,miles_soles,0.028352262498704255,75,BlackRock Fund Advisors,US4642864007,USD,,isin,1760997.744240957,4.850081848372509
2026-01-30,CA-0001-en2026.XLS,10,148,Profuturo,3,58296.011456,miles_soles,0.01638175949786629,75,BlackRock Fund Advisors,US4642864007,USD,,isin,2445016.2933374285,2.3842790583790503
2026-01-30,CA-0001-en2026.XLS,10,149,Habitat,3,30389.5209192,miles_soles,0.006094684015619448,75,BlackRock Fund Advisors,US4642891315,USD,,isin,2736482.735417546,1.1105321632720997
2026-01-30,CA-0001-en2026.XLS,10,150,Profuturo,3,18443.868544,miles_soles,0.005182910651204969,75,BlackRock Fund Advisors,US46435G1022,USD,,isin,2445016.2933374285,0.7543454247834177
2026-01-30,CA-0001-en2026.XLS,10,151,Prima,3,7564.069952,miles_soles,0.002510934537127776,75,BlackRock Fund Advisors,US46434G8226,USD,,isin,1760997.744240957,0.42953319938864215
2026-01-30,CA-0001-en2026.XLS,10,153,Habitat,3,54688.528132,miles_soles,0.010967902361148155,75,BlackRock Fund Advisors,US4642867729,USD,,isin,2736482.735417546,1.9984971008287893
2026-01-30,CA-0001-en2026.XLS,10,153,Prima,3,208323.507464,miles_soles,0.06915413171828816,75,BlackRock Fund Advisors,US4642867729,USD,,isin,1760997.744240957,11.829856576777937
2026-01-30,CA-0001-en2026.XLS,10,153,Profuturo,3,217888.33108,miles_soles,0.06122878989479566,75,BlackRock Fund Advisors,US4642867729,USD,,isin,2445016.2933374285,8.911528797322823
2026-01-30,CA-0001-en2026.XLS,10,156,Profuturo,3,35390.533104,miles_soles,0.009945092079731516,75,BlackRock Fund Advisors,US4642874329,USD,,isin,2445016.2933374285,1.4474559208639135
2026-01-30,CA-0001-en2026.XLS,10,160,Habitat,3,55815.142656,miles_soles,0.01119384733571501,75,BlackRock Fund Advisors,US4642891802,USD,,isin,2736482.735417546,2.039667268263743
2026-01-30,CA-0001-en2026.XLS,10,160,Integra,3,19038.421584,miles_soles,0.005603419530826583,75,BlackRock Fund Advisors,US4642891802,USD,,isin,2462373.921423915,0.7731734574654149
2026-01-30,CA-0001-en2026.XLS,10,162,Habitat,3,119.3534057699,miles_soles,2.393658314948852e-05,76,BNP PARIBAS INVESTMENT PARTNERS LUXEMBOURG,LU0823432371,EUR,,isin,2736482.735417546,0.004361562535189482
2026-01-30,CA-0001-en2026.XLS,10,163,Habitat,3,80742.30025428919,miles_soles,0.0161930425969057,76,BNP PARIBAS INVESTMENT PARTNERS LUXEMBOURG,LU0102000758,JPY,,isin,2736482.735417546,2.950586868656752
2026-01-30,CA-0001-en2026.XLS,10,163,Integra,3,45508.2588489855,miles_soles,0.01339406553863804,76,BNP PARIBAS INVESTMENT PARTNERS LUXEMBOURG,LU0102000758,JPY,,isin,2462373.921423915,1.8481457447644456
2026-01-30,CA-0001-en2026.XLS,10,167,Habitat,3,35689.2502379278,miles_soles,0.007157556169867623,78,DWS INVESTMENT SA,LU1573968200,EUR,,isin,2736482.735417546,1.30420154952968
2026-01-30,CA-0001-en2026.XLS,10,168,Habitat,3,30639.3888859564,miles_soles,0.0061447955756882815,78,DWS INVESTMENT SA,LU1796233820,EUR,,isin,2736482.735417546,1.119663153339109
2026-01-30,CA-0001-en2026.XLS,10,169,Habitat,3,0.48249774,miles_soles,9.676596322032185e-08,78,DWS INVESTMENT SA,LU2058011201,EUR,,isin,2736482.735417546,1.763204034709096e-05
2026-01-30,CA-0001-en2026.XLS,10,170,Profuturo,3,21108.9587607385,miles_soles,0.005931827530427122,78,DWS INVESTMENT SA,LU1571394011,EUR,,isin,2445016.2933374285,0.8633463432640334
2026-01-30,CA-0001-en2026.XLS,10,172,Habitat,3,2110.5420790272,miles_soles,0.0004232737695187705,79,FIDELITY INTERNATIONAL LTD.,LU0048575426,USD,,isin,2736482.735417546,0.07712608786859981
2026-01-30,CA-0001-en2026.XLS,10,175,Habitat,3,0.07790183999999999,miles_soles,1.5623382161821932e-08,80,FRANKLIN TEMPLETON INTERNATIONAL SERVICES S.A,IE00BD4GV785,USD,,isin,2736482.735417546,2.846787191153733e-06
2026-01-30,CA-0001-en2026.XLS,10,180,Integra,3,29459.129481090004,miles_soles,0.008670459405847817,82,JP MORGAN FLEMING FUNDS SICAV,LU0129464904,USD,,isin,2462373.921423915,1.1963710801507634
2026-01-30,CA-0001-en2026.XLS,10,181,Habitat,3,42728.0229009148,miles_soles,0.008569197220503024,82,JP MORGAN FLEMING FUNDS SICAV,LU024805611X,USD,,isin,2736482.735417546,1.5614212488132198
