afp,fecha_fin_ventana,fecha_inicio_ventana,observaciones,alpha_ridge,r2_in_sample,rmse_in_sample,intercepto_original,factor,coef_estandarizado,coef_original,coef_abs_estandarizado,ranking_ventana,top5_ventana,columna_modelo,ticker,nombre,grupo,moneda
Profuturo,2019-07-31,2018-08-10,252,100.0,0.6385056277610066,0.002393227576861854,7.679084879467359e-05,ret_ACWI,0.00022997876958959798,0.018677908453075782,0.00022997876958959798,15,False,ret_ACWI,ACWI,Acciones globales,mercado,USD
Profuturo,2019-07-31,2018-08-10,252,100.0,0.6385056277610066,0.002393227576861854,7.679084879467359e-05,ret_CPER,-0.00021242770175494878,-0.01485637196174126,0.00021242770175494878,16,False,ret_CPER,CPER,Cobre,materia_prima,USD
Profuturo,2019-07-31,2018-08-10,252,100.0,0.6385056277610066,0.002393227576861854,7.679084879467359e-05,ret_XLF,0.00020185498275122532,0.01534412517665152,0.00020185498275122532,17,False,ret_XLF,XLF,Finanzas,sector,USD
Profuturo,2019-07-31,2018-08-10,252,100.0,0.6385056277610066,0.002393227576861854,7.679084879467359e-05,ret_SPY,0.00020067043704027868,0.01577629186337785,0.00020067043704027868,18,False,ret_SPY,SPY,Estados Unidos - S&P 500,mercado,USD
Profuturo,2019-07-31,2018-08-10,252,100.0,0.6385056277610066,0.002393227576861854,7.679084879467359e-05,ret_XLP,-0.00019184272905784189,-0.01652345392399118,0.00019184272905784189,19,False,ret_XLP,XLP,Consumo básico,sector,USD
Profuturo,2019-07-31,2018-08-10,252,100.0,0.6385056277610066,0.002393227576861854,7.679084879467359e-05,ret_XLE,0.00018202587884942763,0.012593293080220317,0.00018202587884942763,20,False,ret_XLE,XLE,Energía,sector,USD
Profuturo,2019-07-31,2018-08-10,252,100.0,0.6385056277610066,0.002393227576861854,7.679084879467359e-05,ret_DX_Y_NYB,-0.00017616456020057755,-0.05502206250969433,0.00017616456020057755,21,False,ret_DX_Y_NYB,DX-Y.NYB,Índice dólar DXY,moneda,INDICE
Profuturo,2019-07-31,2018-08-10,252,100.0,0.6385056277610066,0.002393227576861854,7.679084879467359e-05,ret_XLV,0.00015486184518224462,0.011660192279324926,0.00015486184518224462,22,False,ret_XLV,XLV,Salud,sector,USD
Profuturo,2019-07-31,2018-08-10,252,100.0,0.6385056277610066,0.002393227576861854,7.679084879467359e-05,ret_XLI,0.00011707524798208831,0.008305888841964993,0.00011707524798208831,23,False,ret_XLI,XLI,Industria,sector,USD
Profuturo,2019-07-31,2018-08-10,252,100.0,0.6385056277610066,0.002393227576861854,7.679084879467359e-05,ret_XLB,0.00011283485785107189,0.008094545176661697,0.00011283485785107189,24,False,ret_XLB,XLB,Materiales,sector,USD
Profuturo,2019-07-31,2018-08-10,252,100.0,0.6385056277610066,0.002393227576861854,7.679084879467359e-05,ret_EWJ,9.72161071486437e-05,0.007779935208852346,9.72161071486437e-05,25,False,ret_EWJ,EWJ,Japón,region,USD
Profuturo,2019-07-31,2018-08-10,252,100.0,0.6385056277610066,0.002393227576861854,7.679084879467359e-05,ret_USO,-8.129693582064087e-05,-0.00394111819047854,8.129693582064087e-05,26,False,ret_USO,USO,Petróleo,materia_prima,USD
Profuturo,2019-07-31,2018-08-10,252,100.0,0.6385056277610066,0.002393227576861854,7.679084879467359e-05,ret_ILF,4.225672348789091e-06,0.0002288178072630402,4.225672348789091e-06,27,False,ret_ILF,ILF,América Latina,mercado,USD
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_PEN_X,-0.000570720621460992,-0.05903502970193181,0.000570720621460992,1,True,ret_PEN_X,PEN=X,Tipo de cambio USD/PEN,moneda,PEN_POR_USD
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_LQD,-0.0005077039259005953,-0.0507556772556714,0.0005077039259005953,2,True,ret_LQD,LQD,Bonos corporativos grado inversión,bonos,USD
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_IDX_VIX,-0.00044555520455018423,-0.0051718243990552274,0.00044555520455018423,3,True,ret_IDX_VIX,^VIX,Volatilidad VIX,riesgo,INDICE
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_MCHI,0.0004262321819402949,0.0242533388944571,0.0004262321819402949,4,True,ret_MCHI,MCHI,China,region,USD
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_COPX,0.0004113802646714944,0.02211995541534406,0.0004113802646714944,5,True,ret_COPX,COPX,Mineras de cobre,materia_prima,USD
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_HYG,-0.00040997716049945656,-0.04125314407475231,0.00040997716049945656,6,False,ret_HYG,HYG,Bonos corporativos alto rendimiento,bonos,USD
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_GLD,-0.00040098051775180275,-0.03360622233527881,0.00040098051775180275,7,False,ret_GLD,GLD,Oro,materia_prima,USD
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_TLT,-0.0003652295356385474,-0.03048350505349185,0.0003652295356385474,8,False,ret_TLT,TLT,Bonos Tesoro EE. UU. largo plazo,bonos,USD
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_QQQ,0.0003556683154852409,0.021637363847597083,0.0003556683154852409,9,False,ret_QQQ,QQQ,Estados Unidos - Nasdaq 100,mercado,USD
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_EEM,0.00032452715546593994,0.021638690811349167,0.00032452715546593994,10,False,ret_EEM,EEM,Mercados emergentes,mercado,USD
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_XLY,0.00030844841463467074,0.02084190790458641,0.00030844841463467074,11,False,ret_XLY,XLY,Consumo discrecional,sector,USD
