fecha,dia_semana,afp_sin_prediccion,lista_afp,causas,factores_faltantes,faltante_en_las_4_afp
2026-03-23,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2026-03-30,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2026-04-03,viernes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2026-04-06,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2026-04-13,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2026-04-20,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2026-04-27,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2026-05-04,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2026-05-11,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2026-05-18,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2026-05-25,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2026-05-26,martes,4,Habitat | Integra | Prima | Profuturo,faltan_factores_seleccionados | ningun_factor_seleccionado_disponible,ret_COPX || ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_XLB,True
2026-06-22,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2026-06-29,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
