afp,factor,rezago_dias_mercado,correlacion_raw,correlacion_winsorizada,observaciones,correlacion_abs_raw,correlacion_abs_winsorizada,cambio_por_extremos,ranking_afp
Integra,ret_QQQ,0,0.3653410143453346,0.3564466666927154,2672,0.3653410143453346,0.3564466666927154,-0.008894347652619206,8
Integra,ret_XLB,0,0.3690600696330304,0.350296839076576,2672,0.3690600696330304,0.350296839076576,-0.018763230556454402,9
Integra,ret_ILF,0,0.37748803004407955,0.34806080721384064,2672,0.37748803004407955,0.34806080721384064,-0.02942722283023891,10
Integra,ret_XLI,0,0.369936774968012,0.3464370376241902,2672,0.369936774968012,0.3464370376241902,-0.023499737343821825,11
Integra,ret_VGK,0,0.36776804861048745,0.346428911043457,2672,0.36776804861048745,0.346428911043457,-0.02133913756703043,12
Integra,ret_SPY,0,0.35415586823411366,0.33743830216402765,2672,0.35415586823411366,0.33743830216402765,-0.01671756607008601,13
Integra,ret_EWJ,0,0.3488401375371614,0.33391485234442164,2672,0.3488401375371614,0.33391485234442164,-0.014925285192739779,14
Integra,ret_XLY,0,0.3413111294153051,0.3316041962038663,2672,0.3413111294153051,0.3316041962038663,-0.00970693321143884,15
Prima,ret_COPX,0,0.4891496792182483,0.46174677429773997,2672,0.4891496792182483,0.46174677429773997,-0.027402904920508342,1
Prima,ret_IDX_VIX,0,-0.46657195377536076,-0.46124525458444576,2695,0.46657195377536076,0.46124525458444576,0.005326699190914996,2
Prima,ret_EPU,0,0.46016494793439766,0.42986248838811475,2672,0.46016494793439766,0.42986248838811475,-0.03030245954628291,3
Prima,ret_EEM,0,0.42732900850195105,0.4004582211280944,2672,0.42732900850195105,0.4004582211280944,-0.02687078737385662,4
Prima,ret_XLK,0,0.3911307031064124,0.3643572952783713,2672,0.3911307031064124,0.3643572952783713,-0.026773407828041107,5
Prima,ret_MCHI,0,0.36438464115754765,0.36031581435956067,2672,0.36438464115754765,0.36031581435956067,-0.00406882679798698,6
Prima,ret_ACWI,0,0.3852814065892931,0.3566871812022673,2672,0.3852814065892931,0.3566871812022673,-0.02859422538702583,7
Prima,ret_ILF,0,0.3905405766790623,0.35589844364552153,2672,0.3905405766790623,0.35589844364552153,-0.034642133033540745,8
Prima,ret_QQQ,0,0.37250231193115196,0.3513341781751383,2672,0.37250231193115196,0.3513341781751383,-0.021168133756013674,9
Prima,ret_XLB,0,0.37779568568378635,0.3494923970483472,2672,0.37779568568378635,0.3494923970483472,-0.028303288635439128,10
Prima,ret_VGK,0,0.3807725092814712,0.3472000504580983,2672,0.3807725092814712,0.3472000504580983,-0.0335724588233729,11
Prima,ret_XLI,0,0.3795157854571268,0.34502156223071834,2672,0.3795157854571268,0.34502156223071834,-0.03449422322640844,12
Prima,ret_SPY,0,0.36273117936296223,0.3354356102581695,2672,0.36273117936296223,0.3354356102581695,-0.02729556910479275,13
Prima,ret_XLY,0,0.3564779706344045,0.3321568682648079,2672,0.3564779706344045,0.3321568682648079,-0.024321102369596614,14
Prima,ret_EWJ,0,0.35485167440215365,0.33180607200759077,2672,0.35485167440215365,0.33180607200759077,-0.02304560239456288,15
Profuturo,ret_IDX_VIX,0,-0.4863881710321351,-0.4932225862492769,2695,0.4863881710321351,0.4932225862492769,-0.006834415217141787,1
Profuturo,ret_COPX,0,0.4853049504764565,0.46259887915006864,2672,0.4853049504764565,0.46259887915006864,-0.022706071326387856,2
Profuturo,ret_EPU,0,0.4567231825395721,0.42886325005378967,2672,0.4567231825395721,0.42886325005378967,-0.027859932485782446,3
Profuturo,ret_EEM,0,0.41897594951099315,0.4012029301141874,2672,0.41897594951099315,0.4012029301141874,-0.017773019396805756,4
Profuturo,ret_XLK,0,0.38718160847882716,0.37233801734161875,2672,0.38718160847882716,0.37233801734161875,-0.0148435911372084,5
Profuturo,ret_MCHI,0,0.36695697343307265,0.36709102957360545,2672,0.36695697343307265,0.36709102957360545,0.00013405614053280113,6
Profuturo,ret_QQQ,0,0.37129888848580006,0.3604454019491979,2672,0.37129888848580006,0.3604454019491979,-0.010853486536602175,7
Profuturo,ret_ACWI,0,0.3766096578429751,0.3571822771007818,2672,0.3766096578429751,0.3571822771007818,-0.0194273807421933,8
Profuturo,ret_ILF,0,0.3770547575604444,0.3499595709272193,2672,0.3770547575604444,0.3499595709272193,-0.027095186633225077,9
Profuturo,ret_XLB,0,0.37089749136464145,0.3497843327094935,2672,0.37089749136464145,0.3497843327094935,-0.021113158655147957,10
Profuturo,ret_VGK,0,0.3715937172531272,0.34745558164049195,2672,0.3715937172531272,0.34745558164049195,-0.024138135612635225,11
Profuturo,ret_XLI,0,0.36973308314367953,0.3455812273213701,2672,0.36973308314367953,0.3455812273213701,-0.024151855822309443,12
Profuturo,ret_SPY,0,0.3554699749962549,0.3383635181895681,2672,0.3554699749962549,0.3383635181895681,-0.017106456806686765,13
Profuturo,ret_XLY,0,0.349045135651938,0.3343410990952578,2672,0.349045135651938,0.3343410990952578,-0.014704036556680233,14
Profuturo,ret_XLF,0,0.3523805253079971,0.32965119596304787,2672,0.3523805253079971,0.32965119596304787,-0.0227293293449492,15
