fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,identificador_especifico,categoria_instrumento,estado_pareja,moneda,total_canonico,participacion_calculada_pct,estado_refinado,fila_categoria_origen,total_refinado,participacion_hoja3_refinada_pct
2026-01-30,CA-0001-en2026.XLS,3,381,Habitat,3,80861.65366005909,miles_soles,0.0162169791800551,BNP PARIBAS INVESTMENT PARTNERS LUXEMBOURG,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,1.3960232946653046,pareja_exacta_original,,5140331.281444551,1.5730825355936031
2026-01-30,CA-0001-en2026.XLS,3,399,Habitat,3,48834.697114123206,miles_soles,0.0097939039151163,Carne Global Fund Managers (Luxembourg) S.A.,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,0.8430989433612667,pareja_exacta_original,,5140331.281444551,0.9500301525391089
2026-01-30,CA-0001-en2026.XLS,3,405,Habitat,3,27092.1274645354,miles_soles,0.0054333846409177,Cinven Capital Management (VII) Limited Partn,Fondo Mutuo Alternativo Extranjero,pareja_exacta,,5792285.413077266,0.467727771207016,pareja_exacta_original,,5140331.281444551,0.5270502226642849
2026-01-30,CA-0001-en2026.XLS,3,415,Habitat,3,12122.0713439978,miles_soles,0.0024311075733275,"Coller International General Partner VIII,L.P",Fondo Mutuo Alternativo Extranjero,pareja_exacta,,5792285.413077266,0.2092795931055081,pareja_exacta_original,,5140331.281444551,0.2358227647263859
2026-01-30,CA-0001-en2026.XLS,3,423,Habitat,3,9128.3071475404,miles_soles,0.0018307017017379,"Cortland Enhanced Value Fund VI GP, LLC",Fondo Mutuo Alternativo Extranjero,pareja_exacta,,5792285.413077266,0.157594222255198,pareja_exacta_original,,5140331.281444551,0.17758207881448324
2026-01-30,CA-0001-en2026.XLS,3,429,Habitat,3,14751.9588746635,miles_soles,0.0029585371941708,CVC Credit Partners Global Special Situations,Fondo Mutuo Alternativo Extranjero,pareja_exacta,,5792285.413077266,0.2546828725214048,pareja_exacta_original,,5140331.281444551,0.28698459431816736
2026-01-30,CA-0001-en2026.XLS,3,443,Habitat,3,66329.1216216242,miles_soles,0.0133024485115191,DWS INVESTMENT SA,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,1.145128682227445,pareja_exacta_original,,5140331.281444551,1.2903666707446955
2026-01-30,CA-0001-en2026.XLS,3,447,Habitat,3,0.8380877312,miles_soles,1.6808030349054526e-07,Edmond de Rothschild Asset Management Luxembo,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,1.4469033748023636e-05,pareja_exacta_original,,5140331.281444551,1.6304157948444097e-05
2026-01-30,CA-0001-en2026.XLS,3,449,Habitat,3,55668.9752350768,miles_soles,0.0111645331439489,EQT Infrastructure IV (GP) SCS,Fondo Mutuo Alternativo Extranjero,pareja_exacta,,5792285.413077266,0.961088262491222,pareja_exacta_original,,5140331.281444551,1.0829841927898574
2026-01-30,CA-0001-en2026.XLS,3,451,Habitat,3,43593.3066561343,miles_soles,0.0087427317453128,EQT Infrastructure V (General Partner) S.à.r.,Fondo Mutuo Alternativo Extranjero,pareja_exacta,,5792285.413077266,0.7526097826207514,pareja_exacta_original,,5140331.281444551,0.848064147411985
2026-01-30,CA-0001-en2026.XLS,3,453,Habitat,3,13925.4114074824,miles_soles,0.0027927713155387,EQT Infrastructure VI (General Partner) S.à r,Fondo Mutuo Alternativo Extranjero,pareja_exacta,,5792285.413077266,0.2404130738454797,pareja_exacta_original,,5140331.281444551,0.2709049406552847
2026-01-30,CA-0001-en2026.XLS,3,457,Habitat,3,2110.5420790272,miles_soles,0.0004232737695187,FIDELITY INTERNATIONAL LTD.,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,0.0364371215938741,pareja_exacta_original,,5140331.281444551,0.04105848365543649
