afp,escenario,objetivo,observaciones,ratio_mediano,error_mediano_pct,error_p90_pct,ranking_afp
Integra,solo_entidades_pendientes,fondos_exterior_amplio,133,1.0936129577462033,15.2781918815859,85.62206140821854,19
Integra,solo_entidades_pendientes,administradoras_fondos_exterior,133,1.0936129577462033,15.330543547332454,85.60078461339737,20
Integra,solo_isin,administradoras_fondos_exterior,133,0.7523202935891605,24.76797064108395,61.15997339580642,21
Integra,solo_isin_dedup_id_valor,administradoras_fondos_exterior,133,0.7523202935891605,24.76797064108395,61.15997339580642,22
Integra,solo_isin,fondos_exterior_amplio,133,0.7438091568095764,25.61908431904236,61.239652388958476,23
Integra,solo_isin_dedup_id_valor,fondos_exterior_amplio,133,0.7438091568095764,25.61908431904236,61.239652388958476,24
Integra,solo_isin,rv_y_fondos_exterior,133,0.7399925328825572,26.000746711744284,61.25602803596531,25
Integra,solo_isin_dedup_id_valor,rv_y_fondos_exterior,133,0.7399925328825572,26.000746711744284,61.25602803596531,26
Integra,hojas_identificadas_dedup_id_valor,fondos_mutuos_mas_etf,133,1.282890151397339,28.2890151397339,115.93280403608804,27
Integra,solo_hojas_identificadas,fondos_mutuos_mas_etf,133,1.282890151397339,28.2890151397339,115.93280403608804,28
Integra,hojas_identificadas_dedup_id_valor,fondos_mutuos_exterior,133,1.2910151955365787,29.101519553657873,116.80296976679723,29
Integra,solo_hojas_identificadas,fondos_mutuos_exterior,133,1.2910151955365787,29.101519553657873,116.80296976679723,30
Integra,solo_isin,total_exterior,133,0.7083803364424265,29.16196635575735,63.596875519338866,31
Integra,solo_isin_dedup_id_valor,total_exterior,133,0.7083803364424265,29.16196635575735,63.596875519338866,32
Integra,entidades_pendientes_dedup_id_valor,fondos_mutuos_mas_etf,133,1.1471601257167043,62.111544288028455,259.5184106340111,33
Integra,solo_entidades_pendientes,fondos_mutuos_mas_etf,133,1.1471601257167041,62.31220483658606,261.37353156047334,34
Integra,entidades_pendientes_dedup_id_valor,fondos_mutuos_exterior,133,1.1471601257167043,62.31220483658606,269.5154753633941,35
Integra,solo_entidades_pendientes,fondos_mutuos_exterior,133,1.1471601257167041,62.855847665800034,270.05173846626144,36
Integra,solo_fondos_sin_isin,administradoras_fondos_exterior,133,0.2015157377380728,79.84842622619273,94.22695331924962,37
Integra,solo_fondos_sin_isin,fondos_exterior_amplio,133,0.20151076349240102,79.8489236507599,94.22695331924962,38
Integra,solo_fondos_sin_isin,rv_y_fondos_exterior,133,0.20151076349240102,79.8489236507599,94.24690568728107,39
Integra,solo_fondos_sin_isin,total_exterior,133,0.19543472791405905,80.4565272085941,94.37916823080272,40
Integra,solo_fondos_sin_isin,fondos_mutuos_exterior,133,0.28387059690327204,81.01613146334579,95.92240309613157,41
Integra,solo_fondos_sin_isin,fondos_mutuos_mas_etf,133,0.2838607277740812,81.01613146334579,95.92240309613157,42
Integra,todas_las_filas,total_exterior,133,2.0141644827358975,101.41644827358975,112.9541295878144,43
Integra,todas_las_filas,rv_y_fondos_exterior,133,2.0630700228526004,106.30700228526004,122.45110272951723,44
Integra,todas_las_filas,fondos_exterior_amplio,133,2.078850852034974,107.88508520349743,122.87143366314696,45
Integra,todas_las_filas,administradoras_fondos_exterior,133,2.0858799683898543,108.58799683898543,122.87143366314696,46
Integra,todas_las_filas,fondos_mutuos_mas_etf,133,2.177098887803341,117.7098887803341,478.0774741136148,47
Integra,todas_las_filas,fondos_mutuos_exterior,133,2.177098887803341,117.7098887803341,492.09414793996774,48
Prima,hojas_identificadas_dedup_id_valor,rv_y_fondos_exterior,133,0.9986894266393835,0.7850415191468674,10.044802447916904,1
Prima,solo_hojas_identificadas,rv_y_fondos_exterior,133,0.9986894266393835,0.7850415191468674,10.044802447916904,2
