afp,factor,familia,mejor_lag_train,lag,corr_s_train,corr_p_train,n_train,corr_s_valid,corr_p_valid,n_valid,corr_s_test,corr_p_test,n_test,estable_train_valid,confirmada_en_test,score_pretest,nivel_relacion,direccion_relacion,ranking_pretest
Habitat,ret_XLV,otros,0,0,0.25064032779691336,0.28822250054364196,1662,0.1497398103571124,0.15748490982509517,547,0.1044907092609483,0.1592605320768358,463,True,True,0.1497398103571124,debil_pero_estable,positiva,21
Habitat,ret_HYG,bonos_credito,0,0,0.1366433487473793,0.14265585284545576,1662,0.12192795928234082,0.1323962330522048,547,0.09494329123620848,0.10867109774113644,463,False,False,0.12192795928234082,sin_relacion_estable,positiva,22
Habitat,ret_XLP,otros,0,0,0.1556318385741951,0.20055758531237824,1662,0.11147484202902606,0.12634804248937642,547,0.012504727342367915,0.054899623061035546,463,True,False,0.11147484202902606,no_confirmada_en_test,positiva,23
Habitat,ret_DX_Y_NYB,tipo_cambio,2,2,-0.07918405124603008,-0.08613549593345908,1653,-0.059154744043878514,-0.05320586088253018,545,0.005942103856973624,0.005014995508620742,561,False,False,0.059154744043878514,sin_relacion_estable,negativa,24
Habitat,ret_GLD,otros,0,0,-0.051615167593532275,-0.03868073970847044,1662,0.1364847805152586,0.14464531522999435,547,0.24553187558698839,0.37173484948966656,463,False,False,0.051615167593532275,sin_relacion_estable,negativa,25
Habitat,ret_LQD,bonos_credito,1,1,0.041702906043308015,0.03876825002765451,1650,0.04867418738843456,0.05489625437475245,545,-0.015955143888876058,0.01858303139696026,370,False,False,0.041702906043308015,sin_relacion_estable,positiva,26
Habitat,ret_PEN_X,tipo_cambio,0,0,-0.054933355763999436,-0.029819860046242413,1773,-0.010914860430749332,-0.02780454645173415,593,-0.00988576703279988,-0.0013539247743857854,493,False,False,0.010914860430749332,sin_relacion_estable,negativa,27
Habitat,fx_usdpen,tipo_cambio,0,0,-0.054933355763999436,-0.029819860046242413,1773,-0.010914860430749332,-0.02780454645173415,593,-0.00988576703279988,-0.0013539247743857854,493,False,False,0.010914860430749332,sin_relacion_estable,negativa,28
Habitat,ret_TLT,bonos_credito,0,0,-0.16511325056398635,-0.16628010936594917,1662,-0.00852121630354593,0.01156192555283694,547,0.02963318241302898,0.031128476633257296,463,False,False,0.00852121630354593,sin_relacion_estable,negativa,29
Integra,ret_COPX,otros,0,0,0.39236231619442646,0.4536928486582902,1662,0.3982017462114607,0.3836074455427858,547,0.5284336948521056,0.6170516219291655,463,True,True,0.39236231619442646,moderada_y_estable,positiva,1
Integra,ret_EPU,otros,0,0,0.3236450567233848,0.40847904474249286,1662,0.396471841053434,0.3893965105567735,547,0.5013460230839392,0.5822588927329341,463,True,True,0.3236450567233848,moderada_y_estable,positiva,2
Integra,ret_ILF,otros,0,0,0.3166742763938935,0.40687168832661064,1662,0.28291193320750685,0.3332615122426498,547,0.3393248871483026,0.4002358626843654,463,True,True,0.28291193320750685,moderada_y_estable,positiva,3
Integra,ret_EEM,acciones_regionales,0,0,0.39837868720174224,0.4494578962343926,1662,0.27288465681024954,0.25878819042085266,547,0.4020634909887907,0.48225387732122227,463,True,True,0.27288465681024954,moderada_y_estable,positiva,4
Integra,ret_MCHI,otros,0,0,0.4093166405963408,0.4401416158230477,1662,0.2653998878795046,0.23014203158153743,547,0.28958296860657773,0.3166845849058582,463,True,True,0.2653998878795046,moderada_y_estable,positiva,5
Integra,ret_XLE,otros,0,0,0.33896466609682246,0.43723242097433024,1662,0.2644284750864769,0.2829447385361451,547,0.07783357626956344,0.0925873464257788,463,True,False,0.2644284750864769,no_confirmada_en_test,positiva,6
Integra,ret_XLB,materias_primas,0,0,0.3560000238962395,0.42343152896767655,1662,0.26228709973489056,0.2743259421484537,547,0.30315334289602547,0.36025023767885883,463,True,True,0.26228709973489056,moderada_y_estable,positiva,7
Integra,ret_IDX_VIX,volatilidad,0,0,-0.4757196970194539,-0.5226590733747085,1668,-0.2574220486402576,-0.2507462346276639,547,-0.5057192637250261,-0.5163006634694538,480,True,True,0.2574220486402576,moderada_y_estable,negativa,8
Integra,vix_retorno,volatilidad,0,0,-0.4757196970194539,-0.5226590733747085,1668,-0.2574220486402576,-0.2507462346276639,547,-0.5057192637250261,-0.5163006634694538,480,True,True,0.2574220486402576,moderada_y_estable,negativa,9
