archivo,hoja,fila_python,fila_excel_aprox,puntaje,celdas_no_vacias,palabras_detectadas,texto_fila
CA-0001-no2025.XLS,3,576,577,4.0,27,fondo | moneda | administradora,moneda s.a. administradora general de fondos | 0 |  | 28734.7891117856 | 0.017366903628881387 | 171789.077147105 | 0.013162209301025634 | 0 |  | 0 |  | 147855.02472318403 | 0.019048269337123187 | 0.2925672916 | 1.0278905359475563e-08 | 0 |  | 0 |  | 70291.9249125244 | 0.014383815823418815 | 138190.941947052 | 0.010117823335461221 | 0 |  | 0 |  | 140594.382247546 | 0.02098590811865976 | 11541.1945190368 | 0.0005145958237982631 | 0 |  | 708997.6271755254 | 0.005943995217350675
CA-0001-no2025.XLS,3,186,187,3.0,32,fondo | administradora,4. administradoras de fondos | 12007.301517036 | 0.04723845438044108 | 65571.1753792129 | 0.03963029898055537 | 200164.23431252458 | 0.015336269280642004 | 74476.9602295139 | 0.01719929610799694 | 0 |  | 51642.3496843028 | 0.006653121108533095 | 700348.5287663898 | 0.024605676890497863 | 177363.9356599339 | 0.05564338182876252 | 0 |  | 210237.32002093148 | 0.04302080067025494 | 888561.2849752465 | 0.06505713021013057 | 129324.5261568865 | 0.03862805411226208 | 0 |  | 101497.67738675671 | 0.0151501140930759 | 564763.9543231779 | 0.025181550475310358 | 129369.50951844829 | 0.04631144911749703 | 3305328.7579303626 | 0.027710753288664784
CA-0001-no2025.XLS,3,303,304,3.0,31,fondo | administradora,4. administradoras de fondos | 0 |  | 534053.091618391 | 0.3227742002476948 | 6078056.56214438 | 0.4656911483720885 | 2536587.7499353276 | 0.5857855057538528 | 0 |  | 2512841.654158232 | 0.32373120034007724 | 13651936.461051498 | 0.47963995595439984 | 1883853.8975254965 | 0.5910108012634337 | 0 |  | 1642923.8647404069 | 0.3361910249539185 | 6783635.444399551 | 0.496672386999905 | 2221759.6106863976 | 0.663619291841979 | 0 |  | 1688079.7352112688 | 0.25197227409655987 | 9452991.081161156 | 0.42148754400976307 | 1610594.9870904274 | 0.5765577072308342 | 50597314.13972248 | 0.42419069081432087
CA-0001-no2025.XLS,3,194,195,3.0,25,fondo | fondo mutuo,fondo mutuo alternativo extranj-límite local | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 44191.6240712419 | 0.0015526052793723088 | 27582.4968581983 | 0.008653300338429933 | 0 |  | 0 |  | 34692.4914410695 | 0.002540054322824085 | 14868.2096713205 | 0.0044409983535489165 | 0 |  | 0 |  | 33040.4684865799 | 0.001473199942301217 | 33040.4684865799 | 0.011827763596153288 | 187415.75901499 | 0.0015712300472416907
CA-0001-no2025.XLS,3,335,336,3.0,25,fondo | fondo mutuo,fondo mutuo alternativo extranjero | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 36483.5532326848 | 0.0012817939722697142 | 16807.101939050903 | 0.005272796790113204 | 0 |  | 0 |  | 23775.825301460798 | 0.0017407769037940276 | 9018.3128637572 | 0.002693687637253889 | 0 |  | 0 |  | 16397.0724156949 | 0.0007311084631418635 | 16397.0724156949 | 0.005869792563038826 | 118878.93816834349 | 0.0009966406273196522
CA-0001-no2025.XLS,3,559,560,3.0,25,fondo | fondo mutuo,fondo mutuo alternativo extranjero | 0 |  | 0 |  | 52879.8893103234 | 0.0040515740725560676 | 13219.9790550364 | 0.0030529486381881653 | 0 |  | 0 |  | 372112.477172035 | 0.01307360407588146 | 41345.825534123396 | 0.012971191401794839 | 0 |  | 0 |  | 165214.39199995 | 0.012096379163343505 | 0 |  | 0 |  | 0 |  | 0 |  | 0 | 0 | 644772.5630714683 | 0.0054055541009969165
CA-0001-no2025.XLS,3,327,328,3.0,24,fondo | fondo mutuo,fondo mutuo alternativo extranjero | 0 |  | 0 |  | 85454.2599041418 | 0.006547371190308019 | 11658.103958845399 | 0.0026922578664338986 | 0 |  | 0 |  | 466786.03118033404 | 0.016399814932790878 | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 13465.5757253897 | 0.0006003996399068675 | 77643.7018833256 | 0.02779474361809323 | 655007.6726520365 | 0.005491361782241661
CA-0001-no2025.XLS,3,489,490,3.0,24,fondo | fondo mutuo,fondo mutuo alternativo extranjero | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 68970.2902085421 | 0.00242316590413133 | 45980.1878024168 | 0.014425103598025565 | 0 |  | 0 |  | 46497.1425040018 | 0.0034043466730222347 | 23248.5729529843 | 0.006944136280625603 | 0 |  | 0 |  | 114950.515092397 | 0.005125384111015182 | 0 |  | 299646.708560342 | 0.002512136196665438
CA-0001-no2025.XLS,3,685,686,3.0,24,fondo | fondo mutuo,fondo mutuo alternativo extranjero | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 50261.6444894457 | 0.0017658661844707007 | 14533.4855832313 | 0.004559508022877259 | 0 |  | 0 |  | 34274.8066641193 | 0.0025094730074097012 | 11142.343772341199 | 0.003328116258885695 | 0 |  | 0 |  | 36333.7122593165 | 0.0016200382517504303 | 0 |  | 146545.99276845402 | 0.0012285918129341612
CA-0001-no2025.XLS,3,192,193,3.0,23,fondo | etf,fondos mutuos del ext - etf del mercado local | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 118.56123258 | 4.165467993116531e-06 | 21556.252767420003 | 0.006762720950411486 | 0 |  | 0 |  | 249472.99092534 | 0.018265478283799753 | 43520.8590306 | 0.012999282870804681 | 0 |  | 0 |  | 0 |  | 0 |  | 314668.66395594 | 0.0026380751668456364
