comparacion,afp,escenario_evaluado,escenario_referencia,observaciones,mse_referencia,mse_evaluado,mejora_mse_pct,diferencia_media_perdida,ic95_inferior,ic95_superior,evidencia_bootstrap
hibrido_45d_vs_sin_pesos,Profuturo,M2_hibrido_publico_45d,M0_sin_pesos,372,5.548416913374407e-05,5.3390134111065964e-05,3.774112607923272,2.0940350226781045e-06,1.1075899996610764e-06,3.2506063289376993e-06,mejora_robusta
publico_45d_vs_constante,Habitat,M1_publico_45d,M1_pesos_constantes_train,372,4.327174830087298e-05,4.262517067731645e-05,1.4942257915275536,6.465776235565363e-07,1.6054800107265782e-07,1.2731057722772554e-06,mejora_robusta
publico_45d_vs_constante,Integra,M1_publico_45d,M1_pesos_constantes_train,372,4.9647248265213035e-05,4.80368611051239e-05,3.2436584430350144,1.6103871600891416e-06,4.3549666729012565e-07,2.7514039559335003e-06,mejora_robusta
publico_45d_vs_constante,Prima,M1_publico_45d,M1_pesos_constantes_train,372,5.522834235428257e-05,5.3324513500345374e-05,3.4471953580000383,1.9038288539372007e-06,5.927387730454061e-07,4.269201268275847e-06,mejora_robusta
publico_45d_vs_constante,Profuturo,M1_publico_45d,M1_pesos_constantes_train,372,5.548416913374406e-05,5.461751824543059e-05,1.5619786721946156,8.666508883134783e-07,2.0487359661558464e-07,1.6842335096790468e-06,mejora_robusta
publico_45d_vs_12m_atras,Habitat,M1_publico_45d,M1_pesos_12m_atras,372,3.980285261518644e-05,4.262517067731645e-05,-7.0907431922434,-2.822318062129995e-06,-5.503102275819326e-06,-1.0041992826144858e-06,empeora_robustamente
publico_45d_vs_12m_atras,Integra,M1_publico_45d,M1_pesos_12m_atras,372,4.684153229520481e-05,4.80368611051239e-05,-2.5518567633225264,-1.1953288099190924e-06,-3.3649728580457935e-06,-1.3424643848719016e-07,empeora_robustamente
publico_45d_vs_12m_atras,Prima,M1_publico_45d,M1_pesos_12m_atras,372,5.437666543500435e-05,5.3324513500345374e-05,1.9349327992842773,1.0521519346589717e-06,-6.132375307259262e-07,3.1224059944319363e-06,no_concluyente
publico_45d_vs_12m_atras,Profuturo,M1_publico_45d,M1_pesos_12m_atras,372,5.055808664664629e-05,5.461751824543059e-05,-8.029242932304626,-4.05943159878429e-06,-6.941259963865713e-06,-1.947499969397765e-06,empeora_robustamente
publico_45d_vs_afp_equivocada,Habitat,M1_publico_45d,M1_afp_equivocada_45d,372,4.2818738194114894e-05,4.262517067731645e-05,0.4520626365048949,1.9356751679845166e-07,-4.902833184321135e-07,9.711806994554849e-07,no_concluyente
publico_45d_vs_afp_equivocada,Integra,M1_publico_45d,M1_afp_equivocada_45d,372,4.87082130614492e-05,4.80368611051239e-05,1.378313664429327,6.713519563253008e-07,1.8022497968943047e-07,1.1405213363264232e-06,mejora_robusta
publico_45d_vs_afp_equivocada,Prima,M1_publico_45d,M1_afp_equivocada_45d,372,5.247935979326332e-05,5.3324513500345374e-05,-1.6104497280672672,-8.451537070820592e-07,-1.8250974827014535e-06,-2.3548483114956137e-08,empeora_robustamente
publico_45d_vs_afp_equivocada,Profuturo,M1_publico_45d,M1_afp_equivocada_45d,372,5.393502902206134e-05,5.461751824543059e-05,-1.2653914084111875,-6.824892233692327e-07,-1.7373562094609775e-06,1.924193706806235e-07,no_concluyente
oraculo_1d_vs_publico_45d,Habitat,M1_oraculo_1d,M1_publico_45d,372,4.262517067731645e-05,4.241421816150508e-05,0.49490128123670046,2.1095251581136152e-07,-5.684865639379128e-09,4.500174685365459e-07,no_concluyente
oraculo_1d_vs_publico_45d,Integra,M1_oraculo_1d,M1_publico_45d,372,4.80368611051239e-05,4.528207069419205e-05,5.73474275286902,2.7547904109318515e-06,1.6283748325244804e-06,4.667075225518636e-06,mejora_robusta
oraculo_1d_vs_publico_45d,Prima,M1_oraculo_1d,M1_publico_45d,372,5.3324513500345374e-05,5.1956069382637685e-05,2.566257107434886,1.3684441177076915e-06,4.988166616797863e-07,2.5096590899239444e-06,mejora_robusta
oraculo_1d_vs_publico_45d,Profuturo,M1_oraculo_1d,M1_publico_45d,372,5.461751824543059e-05,5.454919083336392e-05,0.12510164185716388,6.832741206666333e-08,-5.086901332615009e-07,5.175223120008298e-07,no_concluyente
