afp,baseline,segmento,n_publicacion,mape_cuota_5d_pct,mediana_error_abs_5d_pct,p90_error_abs_5d_pct,error_maximo_abs_5d_pct,sesgo_5d_pct,correlacion_retorno_acumulado,direccion_acumulada_pct,cobertura_direccional_acumulada_pct,mape_cero_pct,mejora_mape_vs_cero_pct,ranking_mape
Integra,MEDIA_MOVIL_20,prueba,593,1.1108751319940535,0.7392059149227248,2.4807600221663644,6.900812298719172,-0.03435844883072702,0.03887225310776932,57.16694772344013,100.0,1.0506052925984848,-5.73667768667927,3.0
Prima,RETORNO_CERO,entrenamiento,1777,0.8306300394463642,0.6194612214392103,1.736702532927046,10.51439331630666,-0.09400699929302123,,,0.0,0.8306300394463642,0.0,2.0
Prima,RETORNO_CERO,validacion,593,0.7931913681015548,0.5902525395635516,1.6754554069130942,6.573613964200153,0.004783815749687882,,,0.0,0.7931913681015548,0.0,2.0
Prima,RETORNO_CERO,prueba,593,1.0869260599641308,0.753237371448956,2.5560673357324886,8.416653395295315,-0.1857827268687046,,,0.0,1.0869260599641308,0.0,2.0
Prima,PERSISTENCIA_1D,entrenamiento,1774,1.3929758461364687,1.0397184264347437,2.9994037834053566,13.698851305662064,-0.01401757674600482,0.15058361342477689,55.86245772266065,100.0,0.8306300394463642,-67.70111601850111,4.0
Prima,PERSISTENCIA_1D,validacion,593,1.3664794526961874,1.0039428685805651,2.8737588143902215,8.289991802438923,0.02235455199034127,0.1699453352203065,57.84148397976391,100.0,0.7931913681015548,-72.2761375942297,4.0
Prima,PERSISTENCIA_1D,prueba,593,2.2140447129043035,1.4602034230746574,4.927397493351346,19.059199305976172,-0.08695269684426571,0.04446374034887387,52.61382799325464,100.0,1.0869260599641308,-103.69782218464503,4.0
Prima,MEDIA_EXPANSIVA,entrenamiento,1717,0.8256821799307569,0.594931424483347,1.7484778654992053,10.582965115820976,-0.029025970570254883,-0.058652786580915654,58.241118229470004,100.0,0.8306300394463642,0.5956754849493706,1.0
Prima,MEDIA_EXPANSIVA,validacion,593,0.7913128776388066,0.5776896847035973,1.643873306018145,6.702027779724373,0.07454577665727166,-0.1056691850951111,54.131534569983145,100.0,0.7931913681015548,0.23682689175553648,1.0
Prima,MEDIA_EXPANSIVA,prueba,593,1.0765067378979765,0.7484131173083108,2.553288438869934,8.478396736325266,-0.12108173900418309,0.022442429241903726,59.527824620573355,100.0,1.0869260599641308,0.9586044948170818,1.0
Prima,MEDIA_MOVIL_20,entrenamiento,1757,0.8826046702978084,0.6700731896827516,1.8730358304474897,9.109342301690404,-0.0007820681587341931,0.1582799427680104,55.6061468412066,100.0,0.8306300394463642,-6.2572539377562935,3.0
Prima,MEDIA_MOVIL_20,validacion,593,0.8787235261764765,0.6657131686452322,1.9705881312401343,5.62284518796714,0.010877282093197604,0.06667886091971487,51.602023608768974,100.0,0.7931913681015548,-10.783294109672006,3.0
Prima,MEDIA_MOVIL_20,prueba,593,1.1580123690307786,0.7711845370869552,2.490736614039336,8.137322711096706,-0.01593072377740276,0.05458234859966376,56.82967959527825,100.0,1.0869260599641308,-6.540123720006649,3.0
