escenario,objetivo,observaciones,ratio_mediano,ratio_p10,ratio_p90,error_mediano_pct,error_p90_pct,dentro_1pct,dentro_2pct,registros_medianos,identificadores_medianos,ranking_escenario
solo_entidades_pendientes,total_exterior,532,1.0327583998232175,0.13641866421046886,1.2845632131798652,8.179657374367377,86.35813357895312,13.345864661654137,21.052631578947366,18.0,16.0,1
solo_entidades_pendientes,rv_y_fondos_exterior,532,1.0543147985817698,0.1406692539254621,1.3394636884269733,11.555076362795557,86.12762338906647,6.7669172932330826,10.338345864661653,18.0,16.0,2
solo_entidades_pendientes,fondos_exterior_amplio,532,1.0657977908719758,0.1410033250197899,1.3394636884269733,12.435596390964932,85.97397035523873,6.578947368421052,9.774436090225564,18.0,16.0,3
solo_entidades_pendientes,administradoras_fondos_exterior,532,1.0657977908719758,0.14106684392445998,1.3404922109336623,13.047749173654443,85.97397035523873,6.578947368421052,9.586466165413533,18.0,16.0,4
solo_entidades_pendientes,fondos_mutuos_mas_etf,532,1.0997678008707057,0.20847964703113409,2.816431695327956,42.53763612913721,181.64316953279558,5.075187969924812,7.330827067669173,18.0,16.0,5
solo_entidades_pendientes,fondos_mutuos_exterior,532,1.0997678008707057,0.21288573492884624,2.816622317960943,42.53768536666183,181.6622317960943,5.075187969924812,7.330827067669173,18.0,16.0,6
solo_fondos_sin_isin,administradoras_fondos_exterior,491,0.12411280310075239,0.015806032548905325,0.3636992478614973,87.58871968992477,98.41939674510947,0.0,0.0,13.0,13.0,1
solo_fondos_sin_isin,fondos_exterior_amplio,491,0.12411277604158294,0.015806032548905325,0.3636992478614973,87.5887223958417,98.41939674510947,0.0,0.0,13.0,13.0,2
solo_fondos_sin_isin,rv_y_fondos_exterior,491,0.12373256409583201,0.01580583945526269,0.3635568706547308,87.6267435904168,98.41941605447373,0.0,0.0,13.0,13.0,3
solo_fondos_sin_isin,total_exterior,491,0.12044193610739035,0.015387962612795063,0.3318916536570412,87.95580638926097,98.4612037387205,0.0,0.0,13.0,13.0,4
solo_fondos_sin_isin,fondos_mutuos_exterior,491,0.12585424769901088,0.02120639986336591,0.7145600690363446,89.07686776328107,98.42496152391153,0.20366598778004072,0.40733197556008144,13.0,13.0,5
solo_fondos_sin_isin,fondos_mutuos_mas_etf,491,0.12585424769901088,0.02120639986336591,0.7145457620469534,89.07686776328107,98.42496152391153,0.20366598778004072,0.40733197556008144,13.0,13.0,6
solo_hojas_identificadas,rv_y_fondos_exterior,532,0.99328951926965,0.8863553614420971,1.0128365749775812,1.7423832849464083,11.364463855790282,42.66917293233083,52.63157894736842,62.0,62.0,1
solo_hojas_identificadas,administradoras_fondos_exterior,532,0.9969204399369846,0.8878400704444266,1.0246628232399684,2.0768273710583207,11.2979027278824,36.84210526315789,48.49624060150376,62.0,62.0,2
solo_hojas_identificadas,fondos_exterior_amplio,532,0.9958223421988575,0.8863553614420971,1.0243911028775332,2.188903375936957,11.462417211550607,35.902255639097746,46.616541353383454,62.0,62.0,3
solo_hojas_identificadas,total_exterior,532,0.9675692917799168,0.8597897449485518,0.9926908598777915,3.2430708220083257,14.021025505144827,15.789473684210526,37.21804511278196,62.0,62.0,4
solo_hojas_identificadas,fondos_mutuos_mas_etf,532,1.208113562553942,0.9999999999999997,1.8746317891314113,20.811356255394198,87.46317891314112,19.736842105263158,25.375939849624064,62.0,62.0,5
solo_hojas_identificadas,fondos_mutuos_exterior,532,1.2103421527932432,0.9999999999999998,1.8747560741860063,21.03421527932433,87.47560741860062,19.548872180451127,25.375939849624064,62.0,62.0,6
solo_isin,fondos_mutuos_mas_etf,532,1.0056592421002633,0.9167549688289821,1.3769530920695678,4.972275099285673,37.69530920695678,27.44360902255639,35.526315789473685,46.0,46.0,1
solo_isin,fondos_mutuos_exterior,532,1.0067013334101382,0.917476005632918,1.3914159061712337,4.9905182791520675,39.141590617123356,28.195488721804512,35.902255639097746,46.0,46.0,2
solo_isin,rv_y_fondos_exterior,532,0.8989610213041017,0.5625961268442045,0.9999999999999998,10.103897869589822,43.740387315579575,13.157894736842104,19.360902255639097,46.0,46.0,3
solo_isin,administradoras_fondos_exterior,532,0.9000852007285546,0.569080125148894,1.0,10.164777355770482,43.09198748511061,14.849624060150376,21.804511278195488,46.0,46.0,4
solo_isin,fondos_exterior_amplio,532,0.9000852007285546,0.5690489626966752,1.0,10.164777355770482,43.0951037303325,14.849624060150376,21.2406015037594,46.0,46.0,5
solo_isin,total_exterior,532,0.8778100357072873,0.5349727641070349,0.9827769265261198,12.218996429271272,46.50272358929652,6.954887218045112,12.218045112781954,46.0,46.0,6
solo_isin_dedup_id_valor,fondos_mutuos_mas_etf,532,1.0056592421002633,0.9167549688289821,1.3769530920695678,4.972275099285673,37.69530920695678,27.44360902255639,35.526315789473685,46.0,46.0,1
solo_isin_dedup_id_valor,fondos_mutuos_exterior,532,1.0067013334101382,0.9174760056329178,1.3914159061712337,4.9905182791520675,39.141590617123356,28.195488721804512,35.902255639097746,46.0,46.0,2
solo_isin_dedup_id_valor,rv_y_fondos_exterior,532,0.8989610213041017,0.5625961268442045,0.9999999999999998,10.103897869589822,43.740387315579575,13.157894736842104,19.360902255639097,46.0,46.0,3
solo_isin_dedup_id_valor,administradoras_fondos_exterior,532,0.9000852007285545,0.569080125148894,1.0,10.164777355770482,43.09198748511061,14.849624060150376,21.804511278195488,46.0,46.0,4
solo_isin_dedup_id_valor,fondos_exterior_amplio,532,0.9000852007285545,0.5690489626966752,1.0,10.164777355770482,43.0951037303325,14.849624060150376,21.2406015037594,46.0,46.0,5
solo_isin_dedup_id_valor,total_exterior,532,0.8778100357072873,0.5349727641070349,0.9827769265261198,12.218996429271272,46.50272358929652,6.954887218045112,12.218045112781954,46.0,46.0,6
todas_las_filas,total_exterior,532,2.0126507590569993,1.0518601153170977,2.138021355314437,101.26507590569994,113.80213553144371,0.5639097744360901,4.135338345864661,82.0,81.0,1
todas_las_filas,rv_y_fondos_exterior,532,2.0503033389519425,1.085852258990711,2.2341850994797605,105.03033389519423,123.41850994797605,0.0,2.443609022556391,82.0,81.0,2
todas_las_filas,fondos_exterior_amplio,532,2.0617121303530994,1.094189461485025,2.252282875956033,106.17121303530993,125.22828759560333,0.0,0.37593984962406013,82.0,81.0,3
todas_las_filas,administradoras_fondos_exterior,532,2.062002197471452,1.104308355045581,2.252299002540393,106.20021974714524,125.22990025403932,0.0,0.37593984962406013,82.0,81.0,4
todas_las_filas,fondos_mutuos_mas_etf,532,2.127916930306035,1.5881173601833807,4.664055216227426,112.79169303060345,366.4055216227426,0.0,0.0,82.0,81.0,5
todas_las_filas,fondos_mutuos_exterior,532,2.127916930306035,1.6051968574120534,4.664454484459712,112.79169303060345,366.4454484459712,0.0,0.0,82.0,81.0,6
