periodo,afp,monto_ca_miles_soles,suma_pct_reportada,registros,total_fp_miles_soles,escenario,ratio_ca_fp,error_abs_pct,pct_calculado_sobre_fp,dif_pct_interno_pp
2015-04,Habitat,146454.1646549777,122.06599740713627,84,119979.49286933459,antes,1.2206599740713668,22.065997407136685,122.06599740713668,4.121147867408581e-13
2015-04,Integra,9845429.118095893,113.70350345615418,136,8658861.705077054,antes,1.1370350345615412,13.70350345615412,113.70350345615412,5.684341886080802e-14
2015-04,Prima,9698886.30456677,117.73784203183128,103,8237696.6803456545,antes,1.1773784203183122,17.73784203183122,117.73784203183122,5.684341886080802e-14
2015-04,Profuturo,7093422.5688316785,124.20698065297407,152,5710969.328406935,antes,1.2420698065297398,24.206980652973975,124.20698065297398,8.526512829121202e-14
2015-05,Habitat,159087.9143817344,122.70419078757153,85,129651.57372428432,antes,1.2270419078757122,22.70419078757122,122.70419078757122,3.126388037344441e-13
2015-05,Integra,9941777.497736076,113.98214378300982,136,8722223.646418205,antes,1.1398214378300977,13.982143783009771,113.98214378300978,4.263256414560601e-14
2015-05,Prima,9482329.85011268,114.44743805809115,108,8285314.211489513,antes,1.1444743805809112,14.447438058091123,114.44743805809112,2.842170943040401e-14
2015-05,Profuturo,6939681.28027515,120.25355887116483,146,5770873.931232308,antes,1.2025355887116487,20.253558871164866,120.25355887116487,4.263256414560601e-14
2015-06,Habitat,162730.3860895452,120.5561890769535,86,134983.02105889478,antes,1.2055618907695353,20.556189076953537,120.55618907695353,2.842170943040401e-14
2015-06,Integra,9557999.750043832,111.64799331128268,135,8560834.338863067,antes,1.1164799331128272,11.647993311282722,111.64799331128272,4.263256414560601e-14
2015-06,Prima,9833859.542984553,120.7204399956118,114,8145977.220876611,antes,1.2072043999561177,20.720439995611773,120.72043999561177,2.842170943040401e-14
2015-06,Profuturo,7037729.257411723,123.12029244341646,152,5716140.790232545,antes,1.2312029244341642,23.120292443416425,123.12029244341642,4.263256414560601e-14
2015-07,Habitat,168286.2002506803,119.3296308633836,88,141026.33104039787,antes,1.193296308633837,19.329630863383706,119.32963086338371,1.1368683772161603e-13
2015-07,Integra,9750178.26270513,114.80930247699477,145,8492498.475599438,antes,1.148093024769948,14.809302476994791,114.80930247699479,1.4210854715202004e-14
2015-07,Prima,9419660.103563817,117.36572357047993,117,8025903.830352283,antes,1.1736572357047987,17.365723570479872,117.36572357047987,5.684341886080802e-14
2015-07,Profuturo,6975360.610781661,122.0630276916433,152,5714556.440794568,antes,1.2206302769164334,22.063027691643345,122.06302769164334,4.263256414560601e-14
2015-08,Habitat,171817.9824348315,118.89292548710804,90,144514.89163958907,antes,1.18892925487108,18.89292548710799,118.89292548710799,5.684341886080802e-14
2015-08,Integra,8961756.64062077,113.88840454647894,140,7868892.9538594,antes,1.1388840454647895,13.888404546478949,113.88840454647895,1.4210854715202004e-14
2015-08,Prima,8861216.009759186,118.62954200775279,113,7469653.730248811,antes,1.1862954200775278,18.629542007752775,118.62954200775278,1.4210854715202004e-14
2015-08,Profuturo,6708532.893553281,124.88855230500815,149,5371615.548212473,antes,1.2488855230500808,24.888552305008083,124.88855230500808,7.105427357601002e-14
2015-09,Habitat,177146.5988535432,118.48902844367129,97,149504.64290266047,antes,1.184890284436717,18.489028443671707,118.48902844367171,4.263256414560601e-13
2015-09,Integra,8824876.87205594,116.20819697640535,145,7594022.712397578,antes,1.1620819697640539,16.208196976405386,116.20819697640539,4.263256414560601e-14
2015-09,Prima,8464920.548763853,117.56037904220975,118,7200487.628339937,antes,1.175603790422098,17.560379042209796,117.56037904220979,4.263256414560601e-14
2015-09,Profuturo,6467447.18511874,124.3884180834352,157,5199396.603613538,antes,1.2438841808343526,24.38841808343526,124.38841808343525,5.684341886080802e-14
2015-10,Habitat,206521.5506281809,121.7779371150362,98,169588.64267268084,antes,1.217779371150363,21.777937115036305,121.77793711503631,1.1368683772161603e-13
2015-10,Integra,9383924.173810096,117.213820336183,152,8005817.040660288,antes,1.1721382247621472,17.213822476214723,117.21382247621473,2.1400317251618617e-06
2015-10,Prima,9114579.615649888,120.41679098721009,124,7569193.250315054,antes,1.2041679098721003,20.41679098721003,120.41679098721004,5.684341886080802e-14
2015-10,Profuturo,6916517.121154719,124.65515201163727,152,5548520.866998757,antes,1.2465515201163735,24.655152011637348,124.65515201163736,8.526512829121202e-14
2015-11,Habitat,216752.0101251768,117.20640949053141,97,184931.87451722703,antes,1.172064094905314,17.206409490531406,117.2064094905314,1.4210854715202004e-14
