afp,modelo,segmento,tipo_features,parametros,n_publicacion,mape_cuota_5d_pct,mediana_error_abs_5d_pct,p90_error_abs_5d_pct,error_maximo_abs_5d_pct,sesgo_5d_pct,correlacion_retorno_acumulado,direccion_acumulada_pct
Prima,HUBER,entrenamiento,estatico,"{""alpha"": 0.1, ""epsilon"": 2.0}",1777,0.647494685509771,0.4853725933969488,1.3286398488777,7.642927054278248,-0.016581114303154273,0.6822876586567437,74.50759707371975
Prima,HUBER,validacion,estatico,"{""alpha"": 0.1, ""epsilon"": 2.0}",593,0.6700483743319056,0.49637583264703355,1.4278910089866197,6.381134845475156,0.1129338527373146,0.5717806682247568,69.98313659359191
Prima,HUBER,prueba,estatico,"{""alpha"": 0.1, ""epsilon"": 2.0}",593,0.9134704878282279,0.5834819923739909,2.2355965311804313,7.384456131597217,-0.05668700535451355,0.5215815919080551,73.52445193929174
Prima,LAD_Q50,entrenamiento,estatico,"{""alpha"": 0.0}",1777,0.6537726278151837,0.4894738840426127,1.3319671030498297,7.823144929660897,0.010497290024091551,0.6796148792306943,74.45132245357344
Prima,LAD_Q50,validacion,estatico,"{""alpha"": 0.0}",593,0.6782098115852135,0.5108111351130207,1.4630068606397861,6.451438373430118,0.1380323888178505,0.5673758147875957,70.48903878583474
Prima,LAD_Q50,prueba,estatico,"{""alpha"": 0.0}",593,0.9209243329890787,0.5880287560212416,2.2531575795599377,7.396864711672024,-0.03878445261013424,0.5187962637298409,73.18718381112986
Prima,ARDL_OLS,entrenamiento,ardl,{},1777,0.5637777774205804,0.42642932218446283,1.2310837005582531,5.23645014697427,-0.03562986203629513,0.7590555269595802,75.80191333708497
Prima,ARDL_OLS,validacion,ardl,{},593,0.6160859364106425,0.4643063570735517,1.2600777444027909,6.266670041089717,0.11470080667674726,0.6406199159856857,74.19898819561551
Prima,ARDL_OLS,prueba,ardl,{},593,0.8965392526221374,0.5740766223732985,2.138023808404892,6.697987129487459,0.02876250076389377,0.5275689591498951,70.65767284991568
Prima,ARDL_RIDGE,entrenamiento,ardl,"{""alpha"": 0.001}",1777,0.5637777811701679,0.426430375722453,1.2310838968808202,5.2364514715200094,-0.03562985311911063,0.7590555294402342,75.80191333708497
Prima,ARDL_RIDGE,validacion,ardl,"{""alpha"": 0.001}",593,0.6160859381469713,0.4643051309161983,1.2600776904948772,6.266670370872873,0.11470071215039027,0.6406198919469951,74.19898819561551
Prima,ARDL_RIDGE,prueba,ardl,"{""alpha"": 0.001}",593,0.8965392650504651,0.5740764269856591,2.138024145167825,6.697988246033448,0.028762421699340776,0.5275689318285731,70.65767284991568
Profuturo,OLS,entrenamiento,estatico,{},1777,0.6986560698084949,0.529799678510734,1.4614546666508588,7.251497727154832,-0.013958981116638644,0.6079172749044642,71.18739448508722
Profuturo,OLS,validacion,estatico,{},593,0.6962677934499564,0.520480503147347,1.52652287074437,6.484953849326058,0.09418793751196024,0.6052033555532468,72.17537942664418
Profuturo,OLS,prueba,estatico,{},593,0.9624230302664003,0.6882453256133902,2.3080270468950883,6.425455816422887,-0.017313746054837795,0.5488409549734815,69.81450252951096
Profuturo,RIDGE,entrenamiento,estatico,"{""alpha"": 0.001}",1777,0.6986560897543834,0.5297994643735038,1.461454534085882,7.2514976858675695,-0.013958979778879409,0.6079173451287616,71.18739448508722
Profuturo,RIDGE,validacion,estatico,"{""alpha"": 0.001}",593,0.6962678090545705,0.5204809440094493,1.526522916108931,6.484953861012377,0.09418795660282034,0.6052034285716678,72.17537942664418
Profuturo,RIDGE,prueba,estatico,"{""alpha"": 0.001}",593,0.9624230488512732,0.6882453083174034,2.308027148842686,6.425455659112567,-0.017313747079766226,0.5488409775536202,69.81450252951096
Profuturo,ELASTIC_NET,entrenamiento,estatico,"{""alpha"": 1e-05, ""l1_ratio"": 0.1}",1777,0.6986907970615046,0.5299941596294322,1.461495800914574,7.2523905986580095,-0.013951768458264817,0.6078929161955018,71.18739448508722
Profuturo,ELASTIC_NET,validacion,estatico,"{""alpha"": 1e-05, ""l1_ratio"": 0.1}",593,0.6963120945373263,0.5207647908164192,1.5266275559221587,6.485408897046985,0.09419338506559996,0.6051768745921309,72.17537942664418
