afp,modelo,tarea,segmento,parametros,retorno_acumulado_n,retorno_acumulado_mae,retorno_acumulado_rmse,retorno_acumulado_r2,retorno_acumulado_sesgo,retorno_acumulado_desviacion_residual,retorno_acumulado_varianza_residual,retorno_acumulado_correlacion,retorno_acumulado_direccion_pct,n_publicacion,mape_cuota_pct,mediana_error_abs_pct,p90_error_abs_pct,error_maximo_abs_pct,sesgo_cuota_pct,correlacion_retorno_acumulado,direccion_acumulada_pct
Integra,DIRECTO_RIDGE,directo_acumulado,prueba,"{""alpha"": 100.0}",593,0.009003746096351793,0.012440302542202441,0.27375363558786314,0.0009304614968646184,0.012415930377443742,0.00015415532713753028,0.5270857415146859,67.95952782462057,593,0.89998551386439,0.6679404609248429,2.1072116074818585,6.874432585322254,0.10820531568762268,0.5270857415146859,67.95952782462057
Integra,DIRECTO_POLY_RIDGE,directo_acumulado,entrenamiento,"{""alpha"": 10.0, ""interaction_only"": false}",1777,0.005728157782987631,0.007352110507040026,0.6003620993114589,-9.840187190684421e-19,0.00735418006668891,5.40839644532845e-05,0.7751209796037074,72.03151378728194,1777,0.5721485911312363,0.46182778608556685,1.1993500317944974,3.314711505217127,0.005614594732121851,0.7751209796037074,72.03151378728194
Integra,DIRECTO_POLY_RIDGE,directo_acumulado,validacion,"{""alpha"": 10.0, ""interaction_only"": false}",593,0.007934678184937689,0.015149562484491836,-0.18094382110704021,0.0018199950448410036,0.015052539679448283,0.000226578950801365,0.31022102612709196,71.33220910623946,593,0.789755284914885,0.5117510569636385,1.5458623926634698,11.364975044673088,0.1959322738406855,0.31022102612709196,71.33220910623946
Integra,DIRECTO_POLY_RIDGE,directo_acumulado,prueba,"{""alpha"": 10.0, ""interaction_only"": false}",593,0.010351128265373427,0.018542028550806725,-0.6133796605931399,0.0010711327535853398,0.01852669193681686,0.00034323831412171485,0.2804683597367445,67.79089376053963,593,1.035198421582923,0.6508328459926993,2.178640143176574,18.493732169793397,0.12155768817083315,0.2804683597367445,67.79089376053963
Integra,DIRECTO_SVR_RBF,directo_acumulado,entrenamiento,"{""C"": 0.5, ""epsilon"": 0.001, ""gamma"": ""scale""}",1777,0.0023180000722257117,0.0037287298200033344,0.8972067852089609,-3.849421011782576e-05,0.003729580665127201,1.3909771937690654e-05,0.948101739097957,87.90095666854249,1777,0.23153642909782882,0.11878681475689934,0.6003615246471667,2.9795071844727072,-0.0019523022792548314,0.948101739097957,87.90095666854249
Integra,DIRECTO_SVR_RBF,directo_acumulado,validacion,"{""C"": 0.5, ""epsilon"": 0.001, ""gamma"": ""scale""}",593,0.008372276923109528,0.012869485092282614,0.14778063378754236,0.0003990687145530191,0.01287415594753762,0.00016574389136151825,0.43977982487474027,61.88870151770658,593,0.8331638905155205,0.6251651696908223,1.6669236050013234,8.796431064236865,0.05325142533594857,0.43977982487474027,61.88870151770658
Integra,DIRECTO_SVR_RBF,directo_acumulado,prueba,"{""C"": 0.5, ""epsilon"": 0.001, ""gamma"": ""scale""}",593,0.010823948319657445,0.015216068904907136,-0.08649321669223453,0.002765805517867279,0.014975221095716829,0.00022425724686560232,0.32591293186539233,60.70826306913997,593,1.0830651939499085,0.7725528637487988,2.522546199178035,8.107518626488819,0.292324826362767,0.32591293186539233,60.70826306913997
Integra,DIRECTO_GRADIENT_BOOSTING,directo_acumulado,entrenamiento,"{""learning_rate"": 0.05, ""max_depth"": 1, ""min_samples_leaf"": 30, ""n_estimators"": 250}",1777,0.006170159393095373,0.008318989622173223,0.48833727239423186,3.58116458401345e-05,0.008321254247304465,6.92432722482826e-05,0.7102549531505086,73.21328081035453,1777,0.6173736433547621,0.4822877777725054,1.280692060795139,6.190225261429205,0.011575331750316198,0.7102549531505086,73.21328081035453
Integra,DIRECTO_GRADIENT_BOOSTING,directo_acumulado,validacion,"{""learning_rate"": 0.05, ""max_depth"": 1, ""min_samples_leaf"": 30, ""n_estimators"": 250}",593,0.0067405318528688364,0.011577722357245997,0.3102760319602679,0.0010819700154506102,0.011536786532448868,0.0001330974434952936,0.5677343089704322,70.65767284991568,593,0.6697581890069673,0.4527431064351939,1.368888945132976,9.022823777045218,0.12165664657986557,0.5677343089704322,70.65767284991568
Integra,DIRECTO_GRADIENT_BOOSTING,directo_acumulado,prueba,"{""learning_rate"": 0.05, ""max_depth"": 1, ""min_samples_leaf"": 30, ""n_estimators"": 250}",593,0.00906919678928291,0.012609133455142913,0.25390768034887223,0.00031747107248851486,0.012615777937309041,0.00015915785296349356,0.5075258381860894,65.7672849915683,593,0.9057354344115904,0.6463904352498773,2.1824089984536674,6.552339345999436,0.04807783720550653,0.5075258381860894,65.7672849915683
Integra,DIRECTO_EXTRA_TREES,directo_acumulado,entrenamiento,"{""max_depth"": 5, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1777,0.006335383711147167,0.008546246642018083,0.46000037135961347,-2.4990951595389006e-19,0.008548652341331606,7.307945685295435e-05,0.693911720597743,72.48171074845244,1777,0.6340638177573014,0.4857587148032305,1.3712101802931456,6.566283843212495,0.008478237038351277,0.693911720597743,72.48171074845244
Integra,DIRECTO_EXTRA_TREES,directo_acumulado,validacion,"{""max_depth"": 5, ""max_features"": 0.7, ""min_samples_leaf"": 20}",593,0.006658560273424281,0.011489913348158885,0.3206985154836757,0.0010647794685213767,0.011450128465063863,0.00013110544186646574,0.5800258142644548,71.66947723440134,593,0.6616439750443126,0.4589201848681279,1.341939382578259,8.94862928148915,0.11993724854662867,0.5800258142644548,71.66947723440134
Integra,DIRECTO_EXTRA_TREES,directo_acumulado,prueba,"{""max_depth"": 5, ""max_features"": 0.7, ""min_samples_leaf"": 20}",593,0.008868882704350918,0.0122899457947525,0.2912027538689529,0.0007292134120807299,0.01227865045588184,0.0001507652570177273,0.5487615394310935,68.12816188870153,593,0.886145482529247,0.6156065417275647,2.083387719849213,6.718463192481616,0.08863778549915016,0.5487615394310935,68.12816188870153
Prima,DIARIO_RIDGE,diario_recursivo,entrenamiento,"{""alpha"": 100.0}",1777,0.005634586907186968,0.00755053138831637,0.5893801423928404,-0.00037058522319030526,0.007543554469303135,5.69052140313433e-05,0.7709727920207698,75.52054023635341,1777,0.5634439932907912,0.43319244893256226,1.2222306285454176,4.6371583050415,-0.03065363272611373,0.7709727920207698,75.52054023635341
Prima,DIARIO_RIDGE,diario_recursivo,validacion,"{""alpha"": 100.0}",593,0.0060977928314546225,0.008428229314581084,0.4073590324336738,0.0010138161277022,0.008374095872874984,7.012548168810184e-05,0.6449361427247929,74.53625632377741,593,0.6110833075219549,0.45061466113072157,1.2676028438729459,6.226352147630254,0.1084726213475478,0.6449361427247929,74.53625632377741
Prima,DIARIO_RIDGE,diario_recursivo,prueba,"{""alpha"": 100.0}",593,0.009137221549629359,0.01330161600847664,0.26141603572783734,0.00030374220223893417,0.013309374386475292,0.00017713944655936456,0.5120067964793119,70.65767284991568,593,0.9147396196152372,0.5870260922797854,2.1535145574104284,6.649004708039796,0.0483639982164568,0.5120067964793119,70.65767284991568
Prima,DIARIO_POLY_RIDGE,diario_recursivo,entrenamiento,"{""alpha"": 10.0, ""interaction_only"": true}",1777,0.0048674679594986935,0.006390235520666483,0.7058840051150638,-0.00030399300889434925,0.006384797488457312,4.0765638968610804e-05,0.8417135602170454,78.44682048396173,1777,0.48590273007672197,0.38764013353340676,1.0318548526685105,3.8317078789682157,-0.025814961196245028,0.8417135602170454,78.44682048396173
Prima,DIARIO_POLY_RIDGE,diario_recursivo,validacion,"{""alpha"": 10.0, ""interaction_only"": true}",593,0.006450420516587666,0.008686015142295007,0.3705515806730991,0.0010258864886555856,0.008632501503489905,7.452008220775548e-05,0.6188604547860383,72.34401349072512,593,0.6461460874819625,0.48988738157975664,1.3187403479096729,5.998996685619606,0.10958757949111574,0.6188604547860383,72.34401349072512
Prima,DIARIO_POLY_RIDGE,diario_recursivo,prueba,"{""alpha"": 10.0, ""interaction_only"": true}",593,0.009432754957233277,0.013607979650677005,0.2270020117082776,-0.00017641952266510147,0.013618323425583065,0.00018545873292378446,0.4881558083065799,68.97133220910624,593,0.9433998373748984,0.6597093962619871,2.0500294787879274,6.1997104020540705,-0.0004967203412151463,0.4881558083065799,68.97133220910624
Prima,DIARIO_SVR_RBF,diario_recursivo,entrenamiento,"{""C"": 0.5, ""epsilon"": 0.001, ""gamma"": 0.1}",1777,0.001765608536346133,0.002141968241234269,0.9669546034352537,-0.00014257661617964916,0.002137819393224433,4.570271758046483e-06,0.9862851967649683,92.62802476083286,1777,0.17632614524837742,0.1416166192291901,0.3529157374110081,0.6341102832613243,-0.012832766885565988,0.9862851967649683,92.62802476083286
Prima,DIARIO_SVR_RBF,diario_recursivo,validacion,"{""C"": 0.5, ""epsilon"": 0.001, ""gamma"": 0.1}",593,0.007681904329896177,0.01035021524708476,0.1062465190038443,0.0024380787476510108,0.01006745471561557,0.00010135364445097017,0.43813934692258577,67.95952782462057,593,0.7706916498591955,0.611712103194817,1.6478502238808423,6.687486096602058,0.25259443903119894,0.43813934692258577,67.95952782462057
Prima,DIARIO_SVR_RBF,diario_recursivo,prueba,"{""C"": 0.5, ""epsilon"": 0.001, ""gamma"": 0.1}",593,0.009957466256651455,0.014163504541384205,0.16260085402895563,0.00031165813912074073,0.014172029691902335,0.0002008464255881614,0.4043027903139179,65.93591905564924,593,0.9974232036473512,0.6729975718245074,2.3234615963433503,7.546846735186041,0.051134412511693164,0.4043027903139179,65.93591905564924
Prima,DIARIO_GRADIENT_BOOSTING,diario_recursivo,entrenamiento,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 10, ""n_estimators"": 250}",1777,0.005014492731469709,0.0068063099650809014,0.6663367619373599,-0.0002708300843168759,0.0068028339303646025,4.627854948411991e-05,0.8330185670293166,78.95329206527856,1777,0.5011627062329347,0.3795613027944289,1.0757725872225699,3.9630294861416893,-0.02085758114699571,0.8330185670293166,78.95329206527856
