fecha,afp,rendimiento_simple,modelo,esquema_rezago,estimado,error,error_cuadrado,error_absoluto
2025-09-08,Integra,0.0043304155402954,M0_sin_pesos,lag0,0.0002976579180998029,0.004032757622195598,1.626313403937669e-05,0.004032757622195598
2025-09-09,Integra,-0.0030330828377047,M0_sin_pesos,lag0,-0.00021105907145624022,-0.00282202376624846,7.963818137271143e-06,0.00282202376624846
2025-09-10,Integra,0.0013847885443134,M0_sin_pesos,lag0,0.001396106917333668,-1.1318373020268065e-05,1.2810556782593203e-10,1.1318373020268065e-05
2025-09-11,Integra,0.0074968066846454,M0_sin_pesos,lag0,0.0034143870816534176,0.004082419602991983,1.666614981489322e-05,0.004082419602991983
2025-09-12,Integra,0.0016816551741463,M0_sin_pesos,lag0,0.0003674088138442115,0.0013142463603020885,1.727243495567287e-06,0.0013142463603020885
2025-09-15,Integra,0.0049498340183959,M0_sin_pesos,lag0,0.0002976579180998029,0.004652176100296098,2.164274246816621e-05,0.004652176100296098
2025-09-16,Integra,-0.002084507163714,M0_sin_pesos,lag0,-0.000816256835664224,-0.001268250328049776,1.6084588945983645e-06,0.001268250328049776
2025-09-17,Integra,0.0001304236504433,M0_sin_pesos,lag0,9.360579754406242e-05,3.681785289923759e-05,1.3555542921098977e-09,3.681785289923759e-05
2025-09-18,Integra,0.0003829019026486,M0_sin_pesos,lag0,-0.00011079788894502912,0.0004936997915936292,2.437394842195929e-07,0.0004936997915936292
2025-09-19,Integra,0.0055675199738804,M0_sin_pesos,lag0,0.0014942199994784234,0.0040732999744019765,1.6591772681463142e-05,0.0040732999744019765
2025-09-22,Integra,0.0077499414482389,M0_sin_pesos,lag0,0.0002976579180998029,0.007452283530139097,5.553652981358244e-05,0.007452283530139097
2025-09-23,Integra,0.0003533205478054,M0_sin_pesos,lag0,-0.00032483631291574275,0.0006781568607211428,4.5989672774315544e-07,0.0006781568607211428
2025-09-24,Integra,0.0007705669558324,M0_sin_pesos,lag0,0.0013863314809054715,-0.0006157645250730715,3.7916595033846526e-07,0.0006157645250730715
2025-09-25,Integra,-0.0029202659655674,M0_sin_pesos,lag0,-0.0008956352759128057,-0.002024630689654594,4.099129429491238e-06,0.002024630689654594
2025-09-26,Integra,0.0004247045036644,M0_sin_pesos,lag0,0.0006590926258329705,-0.00023438812216857054,5.493779181370875e-08,0.00023438812216857054
2025-09-29,Integra,0.0057216040334733,M0_sin_pesos,lag0,0.0002976579180998029,0.005423946115373497,2.941919146247525e-05,0.005423946115373497
2025-09-30,Integra,0.0002940212467197,M0_sin_pesos,lag0,0.0015805643417916954,-0.0012865430950719954,1.6551931354774295e-06,0.0012865430950719954
2025-10-01,Integra,0.0050171357859913,M0_sin_pesos,lag0,0.0007343827282633138,0.004282753057727986,1.8341973753478413e-05,0.004282753057727986
2025-10-02,Integra,0.0008805896778711,M0_sin_pesos,lag0,0.000773388571288481,0.00010720110658261905,1.149207725253805e-08,0.00010720110658261905
2025-10-03,Integra,-0.0009842450872079,M0_sin_pesos,lag0,0.001632832357503811,-0.002617077444711711,6.849094351618778e-06,0.002617077444711711
