escenario,afp,grupo_cobertura,periodos,peso_exterior_mediano,peso_exterior_p90,peso_total_fondo_mediano,peso_exterior_mediano_pct,peso_total_fondo_mediano_pct
ampliado_15pct,Profuturo,mapeo_confianza_media,118,0.2092008297719513,0.34875641928742834,0.12533315084143176,20.920082977195133,12.533315084143176
ampliado_15pct,Profuturo,privados_alternativos,118,0.17308785922054343,0.3599415004825747,0.1113893650900257,17.308785922054344,11.13893650900257
ampliado_15pct,Profuturo,residual_no_mapeado,118,0.16599085639099587,0.3394020708753138,0.09463089413680335,16.599085639099588,9.463089413680335
principal_5pct,Habitat,mapeo_alta_confianza,124,0.3100719318845811,0.5025235775930752,0.16804434724827116,31.00719318845811,16.804434724827118
principal_5pct,Habitat,mapeo_baja_confianza,94,0.0180960671497751,0.07280131639126629,0.009113741019547199,1.80960671497751,0.9113741019547199
principal_5pct,Habitat,mapeo_confianza_media,124,0.25680382356460707,0.34510381484714836,0.14559023504538737,25.680382356460708,14.559023504538738
principal_5pct,Habitat,privados_alternativos,84,0.2161139914104996,0.32876175827939075,0.11749956029607794,21.61139914104996,11.749956029607795
principal_5pct,Habitat,residual_no_mapeado,124,0.294362851313514,0.4150264200632392,0.17038651717574022,29.436285131351397,17.038651717574023
principal_5pct,Integra,mapeo_alta_confianza,49,0.3837388182823628,0.4676907049943601,0.2279455928247461,38.37388182823628,22.794559282474612
principal_5pct,Integra,mapeo_baja_confianza,48,0.01668691434112999,0.021421852083676963,0.01031173203215694,1.668691434112999,1.0311732032156942
principal_5pct,Integra,mapeo_confianza_media,49,0.2415848924856396,0.3252609612509084,0.14660521807108423,24.15848924856396,14.660521807108424
principal_5pct,Integra,privados_alternativos,49,0.0733588313446883,0.1352733097290437,0.044178922547379006,7.335883134468831,4.4178922547379
principal_5pct,Integra,residual_no_mapeado,49,0.2523768065546044,0.32902548327290565,0.151372388001216,25.237680655460444,15.1372388001216
principal_5pct,Prima,mapeo_alta_confianza,96,0.24395876250905077,0.6134892554094127,0.1464744417464427,24.395876250905076,14.647444174644269
principal_5pct,Prima,mapeo_baja_confianza,64,0.02979905128428495,0.0774701560222738,0.01799104162506765,2.979905128428495,1.799104162506765
principal_5pct,Prima,mapeo_confianza_media,96,0.22592276687615326,0.3453483137264659,0.13908179113996733,22.592276687615325,13.908179113996733
principal_5pct,Prima,privados_alternativos,96,0.12417738742391225,0.18571341663640514,0.07034064937260714,12.417738742391226,7.034064937260714
principal_5pct,Prima,residual_no_mapeado,96,0.37536893507367597,0.45245895877782993,0.22282135944782192,37.536893507367594,22.28213594478219
principal_5pct,Profuturo,mapeo_alta_confianza,49,0.5016796974987741,0.6333390696765743,0.31453877955024173,50.16796974987741,31.453877955024172
principal_5pct,Profuturo,mapeo_baja_confianza,19,0.0119225553193752,0.021525208893406058,0.0075911970836791,1.1922555319375199,0.75911970836791
principal_5pct,Profuturo,mapeo_confianza_media,49,0.23469238554398242,0.39885498924345963,0.14396736619759606,23.469238554398242,14.396736619759606
principal_5pct,Profuturo,privados_alternativos,49,0.0584252394178267,0.1473178167881157,0.0359831737712122,5.84252394178267,3.59831737712122
principal_5pct,Profuturo,residual_no_mapeado,49,0.1367964111756157,0.20249617133916425,0.085617125530754,13.67964111756157,8.5617125530754
