periodo,afp,identificador_final,valor_redondeado,ocurrencias,monto_una_ocurrencia,filas_excel,estados,monto_duplicado_excedente
2022-10,Prima,A NZ Bank Group,27959.542828,2,27959.54282836,632 | 633,entidad_sin_isin_pendiente,27959.54282836
2022-11,Prima,JP Morgan Bank,14093.466287,2,14093.4662874,644 | 645,entidad_sin_isin_pendiente,14093.4662874
2022-12,Integra,CITIBANK N.A.,6112.117916,2,6112.1179164000005,646 | 647,entidad_sin_isin_pendiente,6112.1179164000005
2022-12,Prima,CITIBANK N.A.,7053.271767,2,7053.27176745,646 | 647,entidad_sin_isin_pendiente,7053.27176745
2023-01,Integra,CITIBANK N.A.,21353.682319,2,21353.68231905,659 | 660,entidad_sin_isin_pendiente,21353.68231905
2023-01,Prima,JP Morgan Bank,1468.711562,2,1468.711562,661 | 662,entidad_sin_isin_pendiente,1468.711562
2023-02,Integra,A NZ Bank Group,1700.558272,2,1700.55827232,652 | 653,entidad_sin_isin_pendiente,1700.55827232
2023-02,Prima,CITIBANK N.A.,4398.672259,2,4398.67225872,656 | 657,entidad_sin_isin_pendiente,4398.67225872
2023-03,Integra,Skandinaviska E,19391.684164,2,19391.68416438,657 | 658,entidad_sin_isin_pendiente,19391.68416438
2023-04,Integra,Skandinaviska E,29334.303846,2,29334.303845748,665 | 666,entidad_sin_isin_pendiente,29334.303845748
2023-04,Integra,Sumitomo Mitsui,3876.437222,2,3876.4372217695,673 | 674,entidad_sin_isin_pendiente,3876.4372217695
2023-04,Prima,NovaScotia,1914.378641,2,1914.378641406,671 | 672,entidad_sin_isin_pendiente,1914.378641406
2023-05,Integra,Sumitomo Mitsui,1966.875967,2,1966.8759668213,672 | 673,entidad_sin_isin_pendiente,1966.8759668213
2023-06,Integra,JP Morgan Bank,173977.160832,2,173977.1608325,673 | 674,entidad_sin_isin_pendiente,173977.1608325
2023-06,Integra,Sumitomo Mitsui,182307.428574,2,182307.428573975,675 | 676,entidad_sin_isin_pendiente,182307.428573975
2023-06,Prima,JP Morgan Bank,633.33448,2,633.33448,673 | 674,entidad_sin_isin_pendiente,633.33448
2023-07,Integra,CITIBANK N.A.,19587.033284,2,19587.03328352,681 | 682,entidad_sin_isin_pendiente,19587.03328352
2023-07,Integra,DBS Bank,16585.969776,2,16585.969776448,679 | 680,entidad_sin_isin_pendiente,16585.969776448
2023-08,Integra,CITIBANK N.A.,17080.347339,2,17080.347339019998,685 | 686,entidad_sin_isin_pendiente,17080.347339019998
2023-09,Integra,Sumitomo Mitsui,34385.378209,2,34385.378208839,664 | 665,entidad_sin_isin_pendiente,34385.378208839
2023-10,Integra,The Bank of Nova Scotia,7738.560743,2,7738.56074275,664 | 665,entidad_sin_isin_pendiente,7738.56074275
2023-12,Integra,CITIBANK N.A.,19842.110217,2,19842.110216505,652 | 653,entidad_sin_isin_pendiente,19842.110216505
2023-12,Integra,JP Morgan Bank,25149.964231,2,25149.96423144,654 | 655,entidad_sin_isin_pendiente,25149.96423144
2023-12,Prima,CITIBANK N.A.,466.431826,2,466.43182632,652 | 653,entidad_sin_isin_pendiente,466.43182632
2024-01,Integra,BARCLAYS BANK,11119.36,2,11119.36,676 | 677,entidad_sin_isin_pendiente,11119.36
2024-01,Integra,JP Morgan Bank,32773.478125,2,32773.4781248,670 | 671,entidad_sin_isin_pendiente,32773.4781248
2024-01,Integra,NovaScotia,4226.88,2,4226.88,672 | 673,entidad_sin_isin_pendiente,4226.88
2024-01,Prima,JP Morgan Bank,1279.286176,2,1279.286176,670 | 671,entidad_sin_isin_pendiente,1279.286176
2024-02,Integra,BARCLAYS BANK,717.972,2,717.972,677 | 678,entidad_sin_isin_pendiente,717.972
2024-02,Integra,CITIBANK N.A.,20350.230072,2,20350.230072132,671 | 672,entidad_sin_isin_pendiente,20350.230072132
2024-02,Integra,JP Morgan Bank,6990.78,2,6990.78,673 | 674,entidad_sin_isin_pendiente,6990.78
2024-02,Integra,NovaScotia,1738.248,2,1738.248,675 | 676,entidad_sin_isin_pendiente,1738.248
2024-03,Integra,BARCLAYS BANK,0.720726,2,0.7207263,104 | 105,entidad_sin_isin_pendiente,0.7207263
2024-03,Integra,CITIBANK N.A.,11937.203671,2,11937.20367105,106 | 107,entidad_sin_isin_pendiente,11937.20367105
2024-03,Integra,JP Morgan Bank,17002.165098,2,17002.165097609995,108 | 109,entidad_sin_isin_pendiente,17002.165097609995
2024-03,Integra,NovaScotia,12801.359337,2,12801.35933685,110 | 111,entidad_sin_isin_pendiente,12801.35933685
2024-03,Prima,NovaScotia,624.435073,2,624.43507329,110 | 111,entidad_sin_isin_pendiente,624.43507329
2024-06,Integra,Sumitomo Mitsui,6675.871933,2,6675.87193339,110 | 111,entidad_sin_isin_pendiente,6675.87193339
2024-07,Integra,Sumitomo Mitsui,8110.15028,2,8110.1502803894,112 | 113,entidad_sin_isin_pendiente,8110.1502803894
2024-08,Integra,Sumitomo Mitsui,5201.4186,2,5201.4186,103 | 104,entidad_sin_isin_pendiente,5201.4186
2024-10,Integra,CITIBANK N.A.,2905.133,2,2905.133,685 | 686,entidad_sin_isin_pendiente,2905.133
2024-10,Integra,JP Morgan Chase Bank N.A,13318.337,2,13318.337,687 | 688,entidad_sin_isin_pendiente,13318.337
2024-10,Integra,Sumitomo Mitsui Banking Corporation,1003.824565,2,1003.82456522,691 | 692,entidad_sin_isin_pendiente,1003.82456522
2024-11,Integra,CITIBANK N.A.,6826.82,2,6826.82,695 | 696,entidad_sin_isin_pendiente,6826.82
2024-11,Integra,JP Morgan Chase Bank N.A,8702.32,2,8702.32,697 | 698,entidad_sin_isin_pendiente,8702.32
2024-11,Integra,Skandinaviska Enskilda Banken AB,9951.954472,2,9951.95447202,701 | 702,entidad_sin_isin_pendiente,9951.95447202
2024-11,Integra,Sumitomo Mitsui Banking Corporation,5799.369875,2,5799.3698748135,699 | 700,entidad_sin_isin_pendiente,5799.3698748135
2024-12,Integra,CITIBANK N.A.,6649.182,2,6649.182,691 | 692,entidad_sin_isin_pendiente,6649.182
2024-12,Integra,JP Morgan Chase Bank N.A,10668.744,2,10668.744,693 | 694,entidad_sin_isin_pendiente,10668.744
2024-12,Integra,Sumitomo Mitsui Banking Corporation,13215.320563,2,13215.320563487898,697 | 698,entidad_sin_isin_pendiente,13215.320563487898
2025-01,Integra,The Bank of Nova Scotia,25003.070417,2,25003.070416632,701 | 702,entidad_sin_isin_pendiente,25003.070416632
2025-02,Integra,CITIBANK N.A.,9670.899776,2,9670.8997759,688 | 689,entidad_sin_isin_pendiente,9670.8997759
2025-02,Integra,JP Morgan Chase Bank N.A,32206.9,2,32206.9,690 | 691,entidad_sin_isin_pendiente,32206.9
2025-03,Integra,CITIBANK N.A.,2573.2,2,2573.2,683 | 684,entidad_sin_isin_pendiente,2573.2
2025-03,Integra,JP Morgan Chase Bank N.A,31282.76,2,31282.76,685 | 686,entidad_sin_isin_pendiente,31282.76
2025-03,Integra,Skandinaviska Enskilda Banken AB,10884.160767,2,10884.16076672,691 | 692,entidad_sin_isin_pendiente,10884.16076672
2025-04,Integra,DBS Bank Ltd,1640.64122,2,1640.641220172,701 | 702,entidad_sin_isin_pendiente,1640.641220172
2025-04,Integra,HSBC Bank plc,1172.448,2,1172.448,705 | 706,entidad_sin_isin_pendiente,1172.448
2025-04,Integra,JP Morgan Chase Bank N.A,24035.184,2,24035.184,697 | 698,entidad_sin_isin_pendiente,24035.184
