fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,identificador_especifico,categoria_instrumento,estado_pareja,moneda,total_canonico,participacion_calculada_pct,estado_refinado,fila_categoria_origen,total_refinado,participacion_hoja3_refinada_pct,motivo,fuente,grupo,entidad_administradora,isin,seccion,estado_identificacion,instrumento_sin_isin,fila_instrumento_origen,participacion_hoja10_refinada_pct
2026-01-30,CA-0001-en2026.XLS,3,213,Profuturo,3,14955.52168608,miles_soles,0.0042026504611109,SIGMA SAFI SA,,sin_categoria_adyacente,,4454524.3766899705,0.3357377897478926,pendiente_sin_categoria,,3652176.098114818,0.4094961821200174,sin_categoria_identificada,hoja_3,,,,,,,,
2026-01-30,CA-0001-en2026.XLS,10,7,Habitat,3,508.4856558622001,miles_soles,0.0001019778958409,,,,,2736482.735417546,0.0185817235124859,entidad_sin_isin_pendiente,,2710476.0101406495,,sin_isin_y_sin_pareja_de_fondo,hoja_10,1.0,BROWN BROTHERS HARRIMAN & CO.,,,entidad_sin_isin,,,0.018760013147499293
2026-01-30,CA-0001-en2026.XLS,10,13,Habitat,3,3.3922386068,miles_soles,6.80320774684177e-07,,,,,2736482.735417546,0.0001239634572838,entidad_sin_isin_pendiente,,2710476.0101406495,,sin_isin_y_sin_pareja_de_fondo,hoja_10,7.0,EUR,,,entidad_sin_isin,,,0.00012515287330006557
2026-01-30,CA-0001-en2026.XLS,10,14,Habitat,3,0.6223534954000001,miles_soles,1.2481433684210657e-07,,,,,2736482.735417546,2.27428255747807e-05,entidad_sin_isin_pendiente,,2710476.0101406495,,sin_isin_y_sin_pareja_de_fondo,hoja_10,8.0,GBP,,,entidad_sin_isin,,,2.296104053574359e-05
2026-01-30,CA-0001-en2026.XLS,10,19,Habitat,3,504.4710637600001,miles_soles,0.0001011727607294,,,,,2736482.735417546,0.0184350172296272,entidad_sin_isin_pendiente,,2710476.0101406495,,sin_isin_y_sin_pareja_de_fondo,hoja_10,13.0,USD,,,entidad_sin_isin,,,0.018611899233663482
2026-01-30,CA-0001-en2026.XLS,10,479,Habitat,3,12122.0713439978,miles_soles,0.0024311075733275,,,,,2736482.735417546,0.4429800044818538,entidad_sin_isin_pendiente,,2710476.0101406495,,sin_isin_y_sin_pareja_de_fondo,hoja_10,227.0,"Coller International General Partner VIII,L.P",,,entidad_sin_isin,,,0.44723034989594956
2026-01-30,CA-0001-en2026.XLS,10,487,Habitat,3,21.8329527628,miles_soles,4.378645802643819e-06,,,,,2736482.735417546,0.0007978472686935,entidad_sin_isin_pendiente,,2710476.0101406495,,sin_isin_y_sin_pareja_de_fondo,hoja_10,234.0,ICG Europe Fund VI GP Limited,,,entidad_sin_isin,,,0.0008055025272725828
2026-01-30,CA-0001-en2026.XLS,10,523,Habitat,3,13156.8393604685,miles_soles,0.0026386325325602,,,,,2736482.735417546,0.4807938011149544,entidad_sin_isin_pendiente,,2710476.0101406495,,sin_isin_y_sin_pareja_de_fondo,hoja_10,269.0,Lexington Partners GP Holdings IX LLC,,,entidad_sin_isin,,,0.48540696583349496
2026-01-30,CA-0001-en2026.XLS,10,524,Habitat,3,13156.8393604685,miles_soles,0.0026386325325602,,,,USD,2736482.735417546,0.4807938011149544,entidad_sin_isin_pendiente,,2710476.0101406495,,sin_isin_y_sin_pareja_de_fondo,hoja_10,270.0,"LCP IX Peru, L.P",,,entidad_sin_isin,,,0.48540696583349496
2026-01-30,CA-0001-en2026.XLS,10,527,Habitat,3,3383.0220025032,miles_soles,0.0006784723647985,,,,,2736482.735417546,0.1236266525170312,entidad_sin_isin_pendiente,,2710476.0101406495,,sin_isin_y_sin_pareja_de_fondo,hoja_10,273.0,TS European VIII GP S.á.r.l,,,entidad_sin_isin,,,0.1248128369277709
2026-01-30,CA-0001-en2026.XLS,10,528,Habitat,3,3383.0220025032,miles_soles,0.0006784723647985,,,,EUR,2736482.735417546,0.1236266525170312,entidad_sin_isin_pendiente,,2710476.0101406495,,sin_isin_y_sin_pareja_de_fondo,hoja_10,274.0,Tishman Speyer European Real Estate Venture VIII SCSp,,,entidad_sin_isin,,,0.1248128369277709
2026-01-30,CA-0001-en2026.XLS,10,7,Integra,3,45.6337137465,miles_soles,1.343098963026344e-05,,,,,2462373.921423915,0.0018532406207466,entidad_sin_isin_pendiente,,2093586.452720453,,sin_isin_y_sin_pareja_de_fondo,hoja_10,1.0,BROWN BROTHERS HARRIMAN & CO.,,,entidad_sin_isin,,,0.0021796909168571724
2026-01-30,CA-0001-en2026.XLS,10,8,Integra,3,0.4700380799999999,miles_soles,1.3834238022745049e-07,,,,,2462373.921423915,1.908881814863404e-05,entidad_sin_isin_pendiente,,2093586.452720453,,sin_isin_y_sin_pareja_de_fondo,hoja_10,2.0,AUD,,,entidad_sin_isin,,,2.245133366187109e-05
2026-01-30,CA-0001-en2026.XLS,10,10,Integra,3,2.4795701,miles_soles,7.297911470807162e-07,,,,,2462373.921423915,0.0001006983577281,entidad_sin_isin_pendiente,,2093586.452720453,,sin_isin_y_sin_pareja_de_fondo,hoja_10,4.0,CAD,,,entidad_sin_isin,,,0.00011843647998285388
2026-01-30,CA-0001-en2026.XLS,10,13,Integra,3,3.998489600000001,miles_soles,1.1768420307110148e-06,,,,,2462373.921423915,0.0001623835261253,entidad_sin_isin_pendiente,,2093586.452720453,,sin_isin_y_sin_pareja_de_fondo,hoja_10,7.0,EUR,,,entidad_sin_isin,,,0.0001909875560574188
2026-01-30,CA-0001-en2026.XLS,10,14,Integra,3,4.960640211199999,miles_soles,1.46002377992313e-06,,,,,2462373.921423915,0.0002014576327356,entidad_sin_isin_pendiente,,2093586.452720453,,sin_isin_y_sin_pareja_de_fondo,hoja_10,8.0,GBP,,,entidad_sin_isin,,,0.00023694460788824996
2026-01-30,CA-0001-en2026.XLS,10,15,Integra,3,0.00217923,miles_soles,6.413945552306461e-10,,,,,2462373.921423915,8.850118095548294e-08,entidad_sin_isin_pendiente,,2093586.452720453,,sin_isin_y_sin_pareja_de_fondo,hoja_10,9.0,JPY,,,entidad_sin_isin,,,1.0409075761682827e-07
2026-01-30,CA-0001-en2026.XLS,10,19,Integra,3,33.68,miles_soles,9.912752954102213e-06,,,,,2462373.921423915,0.0013677857658809,entidad_sin_isin_pendiente,,2093586.452720453,,sin_isin_y_sin_pareja_de_fondo,hoja_10,13.0,USD,,,entidad_sin_isin,,,0.0016087226756858048
2026-01-30,CA-0001-en2026.XLS,10,21,Integra,3,0.0043643903,miles_soles,1.2845345261039204e-09,,,,,2462373.921423915,1.7724319860714768e-07,entidad_sin_isin_pendiente,,2093586.452720453,,sin_isin_y_sin_pareja_de_fondo,hoja_10,15.0,CHF,,,entidad_sin_isin,,,2.0846477556868089e-07
2026-01-30,CA-0001-en2026.XLS,10,24,Integra,3,0.017518855,miles_soles,5.156178196369903e-09,,,,,2462373.921423915,7.11462010199872e-07,entidad_sin_isin_pendiente,,2093586.452720453,,sin_isin_y_sin_pareja_de_fondo,hoja_10,18.0,NOK,,,entidad_sin_isin,,,8.367867960377565e-07
2026-01-30,CA-0001-en2026.XLS,10,25,Integra,3,0.02091328,miles_soles,6.155230941210414e-09,,,,,2462373.921423915,8.493137381793946e-07,entidad_sin_isin_pendiente,,2093586.452720453,,sin_isin_y_sin_pareja_de_fondo,hoja_10,19.0,ZAR,,,entidad_sin_isin,,,9.989212517507848e-07
