fecha,afp,fecha_cartera,peso_rv_exterior,peso_rv_local,peso_rf_exterior,peso_rf_local,peso_alternativos,peso_liquidez_transito,peso_rv_total,peso_exterior_total,peso_mapeado_total
2023-06-22,Profuturo,2023-05-31,0.19321745340818747,0.47179543183914197,0.027629220878488576,0.031906627465159224,0.2484419025265706,0.027009363882478984,0.6650128852473294,0.22084667428667604,1.0000000000000269
2023-06-23,Profuturo,2023-05-31,0.19321745340818747,0.47179543183914197,0.027629220878488576,0.031906627465159224,0.2484419025265706,0.027009363882478984,0.6650128852473294,0.22084667428667604,1.0000000000000269
2023-06-26,Profuturo,2023-05-31,0.19321745340818747,0.47179543183914197,0.027629220878488576,0.031906627465159224,0.2484419025265706,0.027009363882478984,0.6650128852473294,0.22084667428667604,1.0000000000000269
2023-06-27,Profuturo,2023-05-31,0.19321745340818747,0.47179543183914197,0.027629220878488576,0.031906627465159224,0.2484419025265706,0.027009363882478984,0.6650128852473294,0.22084667428667604,1.0000000000000269
2023-06-28,Profuturo,2023-05-31,0.19321745340818747,0.47179543183914197,0.027629220878488576,0.031906627465159224,0.2484419025265706,0.027009363882478984,0.6650128852473294,0.22084667428667604,1.0000000000000269
2023-06-29,Profuturo,2023-05-31,0.19321745340818747,0.47179543183914197,0.027629220878488576,0.031906627465159224,0.2484419025265706,0.027009363882478984,0.6650128852473294,0.22084667428667604,1.0000000000000269
2023-06-30,Profuturo,2023-05-31,0.19321745340818747,0.47179543183914197,0.027629220878488576,0.031906627465159224,0.2484419025265706,0.027009363882478984,0.6650128852473294,0.22084667428667604,1.0000000000000269
2023-07-03,Profuturo,2023-06-30,0.2002790061989968,0.47845016504311255,0.02719970946569494,0.0434257469424785,0.2468801409582311,0.0037652313915396227,0.6787291712421093,0.22747871566469174,1.0000000000000535
2023-07-04,Profuturo,2023-06-30,0.2002790061989968,0.47845016504311255,0.02719970946569494,0.0434257469424785,0.2468801409582311,0.0037652313915396227,0.6787291712421093,0.22747871566469174,1.0000000000000535
2023-07-05,Profuturo,2023-06-30,0.2002790061989968,0.47845016504311255,0.02719970946569494,0.0434257469424785,0.2468801409582311,0.0037652313915396227,0.6787291712421093,0.22747871566469174,1.0000000000000535
