fecha_cuota,afp,factor,corr_120,corr_250,beta_120,beta_250
2015-10-23,Habitat,ret_IDX_VIX,-0.7571414388437283,,-0.053819021577953235,
2015-10-26,Habitat,ret_IDX_VIX,-0.7563073231588912,,-0.053846092282026366,
2015-10-27,Habitat,ret_IDX_VIX,-0.756392880642601,,-0.05385656123010357,
2015-10-28,Habitat,ret_IDX_VIX,-0.7573713893208206,,-0.053899738283977566,
2015-10-29,Habitat,ret_IDX_VIX,-0.7554604525300275,,-0.05379450878572084,
2015-10-30,Habitat,ret_IDX_VIX,-0.7554962484243279,,-0.05381780191532235,
2015-11-02,Habitat,ret_IDX_VIX,-0.7585186272063683,,-0.05404844504346418,
2015-11-03,Habitat,ret_IDX_VIX,-0.7585330182083673,,-0.05401752790719366,
2015-11-04,Habitat,ret_IDX_VIX,-0.7527634839564862,,-0.05361749301767333,
2015-11-05,Habitat,ret_IDX_VIX,-0.7551928416550001,,-0.0539093676436509,
2015-11-06,Habitat,ret_IDX_VIX,-0.7558748006684851,,-0.05401574000753046,
2015-11-09,Habitat,ret_IDX_VIX,-0.7555137570102619,,-0.05358937705063853,
2015-11-10,Habitat,ret_IDX_VIX,-0.7567441594746459,,-0.05339878799753311,
2015-11-11,Habitat,ret_IDX_VIX,-0.7553310329306395,,-0.05323340570522944,
2015-11-12,Habitat,ret_IDX_VIX,-0.7548081312604006,,-0.052837198904377936,
2015-11-13,Habitat,ret_IDX_VIX,-0.7557206131582609,,-0.0528248638057585,
2015-11-16,Habitat,ret_IDX_VIX,-0.7581638603870634,,-0.053074219655392094,
2015-11-17,Habitat,ret_IDX_VIX,-0.7573636132169009,,-0.052985175466883166,
2015-11-18,Habitat,ret_IDX_VIX,-0.7613069399991348,,-0.05347684289021429,
2015-11-19,Habitat,ret_IDX_VIX,-0.7603237171374359,,-0.05327549194352448,
2015-11-20,Habitat,ret_IDX_VIX,-0.7601784768704221,,-0.05313736095331245,
2015-11-23,Habitat,ret_IDX_VIX,-0.7586650798999869,,-0.05303507839095203,
2015-11-24,Habitat,ret_IDX_VIX,-0.7634121058911818,,-0.0533693366645292,
2015-11-25,Habitat,ret_IDX_VIX,-0.761376173117048,,-0.05315037341267572,
2015-11-26,Habitat,ret_IDX_VIX,-0.761142714796861,,-0.05309955890899321,
2015-11-27,Habitat,ret_IDX_VIX,-0.7612039619884022,,-0.05317808394419428,
2015-11-30,Habitat,ret_IDX_VIX,-0.7605401360812757,,-0.05325542187180469,
2015-12-01,Habitat,ret_IDX_VIX,-0.7613262242878647,,-0.05321317260607038,
2015-12-02,Habitat,ret_IDX_VIX,-0.762197245579233,,-0.05324847498396223,
2015-12-03,Habitat,ret_IDX_VIX,-0.7637404904297306,,-0.05337456550997302,
2015-12-04,Habitat,ret_IDX_VIX,-0.7624793883480695,,-0.05271105484391618,
2015-12-07,Habitat,ret_IDX_VIX,-0.7589768053357518,,-0.05226750379729849,
2015-12-08,Habitat,ret_IDX_VIX,-0.7603906872187022,,-0.05216207447038138,
2015-12-09,Habitat,ret_IDX_VIX,-0.7602246456426327,,-0.052060589430146485,
2015-12-10,Habitat,ret_IDX_VIX,-0.7595417799474582,,-0.05203995202569686,
2015-12-11,Habitat,ret_IDX_VIX,-0.7615395212626892,,-0.051308068534688896,
2015-12-14,Habitat,ret_IDX_VIX,-0.7881090754120242,,-0.05526801495294562,
2015-12-15,Habitat,ret_IDX_VIX,-0.8077211449527808,,-0.055709665878165074,
2015-12-16,Habitat,ret_IDX_VIX,-0.8097654990610044,,-0.05585096460328726,
2015-12-17,Habitat,ret_IDX_VIX,-0.8087284117750122,,-0.05573454200734824,
2015-12-18,Habitat,ret_IDX_VIX,-0.8096780262338045,,-0.056026574553990974,
2015-12-21,Habitat,ret_IDX_VIX,-0.8077770109792298,-0.763652462069142,-0.05549950078103086,-0.05154381515198737
2015-12-22,Habitat,ret_IDX_VIX,-0.8100662556756204,-0.7635744630075424,-0.055744747167943025,-0.051524718915823386
2015-12-23,Habitat,ret_IDX_VIX,-0.8038406963486797,-0.7645684159883805,-0.05541166482211676,-0.05142574249011342
2015-12-24,Habitat,ret_IDX_VIX,-0.8059196955190198,-0.7636638141408266,-0.055460866174203836,-0.051368857165152916
2015-12-28,Habitat,ret_IDX_VIX,-0.8025860919554723,-0.76247026818581,-0.05539067780232596,-0.05137845055662187
2015-12-29,Habitat,ret_IDX_VIX,-0.8007832517643748,-0.7627173629598273,-0.05573660336899656,-0.051428759428011124
2015-12-30,Habitat,ret_IDX_VIX,-0.7998048171762564,-0.7611926779227266,-0.05555763436320676,-0.05131599410491172
2015-12-31,Habitat,ret_IDX_VIX,-0.8000521512604862,-0.7617445015405803,-0.055648860272629525,-0.0514332543313279
2016-01-04,Habitat,ret_IDX_VIX,-0.795534931884366,-0.7595847538002107,-0.05563357333024514,-0.05131957817498543
2016-01-05,Habitat,ret_IDX_VIX,-0.7877204233833403,-0.7542784087687137,-0.05508614494337097,-0.05098120167435319
2016-01-06,Habitat,ret_IDX_VIX,-0.7881235259817054,-0.7543836167997505,-0.05523437313506482,-0.05093178250323911
2016-01-07,Habitat,ret_IDX_VIX,-0.7946553216495581,-0.7594204134444339,-0.055470948470575654,-0.05118633543272092
2016-01-08,Habitat,ret_IDX_VIX,-0.7954353292532814,-0.760294466568439,-0.05569348478342396,-0.051352144462072404
2016-01-11,Habitat,ret_IDX_VIX,-0.7888643761459827,-0.7556639278310568,-0.054905408697341875,-0.050939009321996825
2016-01-12,Habitat,ret_IDX_VIX,-0.78687282937005,-0.7531381641493905,-0.054456532953492974,-0.05074605611831618
2016-01-13,Habitat,ret_IDX_VIX,-0.7865704097825245,-0.7548720461913377,-0.054467780677430126,-0.050734850614243224
2016-01-14,Habitat,ret_IDX_VIX,-0.7827042339839391,-0.7521020221593155,-0.05446366533396322,-0.05050191447359938
2016-01-15,Habitat,ret_IDX_VIX,-0.7845069216062728,-0.7534138022721423,-0.05479190268003411,-0.050781189673688956
2016-01-18,Habitat,ret_IDX_VIX,-0.7830978881332706,-0.7541026730558197,-0.054749249290922376,-0.05125356285597917
2016-01-19,Habitat,ret_IDX_VIX,-0.782151368629795,-0.7522961041504699,-0.05479620522876516,-0.051137561734259804
2016-01-20,Habitat,ret_IDX_VIX,-0.7822970787538022,-0.7528125333115873,-0.05499174921613247,-0.051443485454454624
2016-01-21,Habitat,ret_IDX_VIX,-0.7807189874552578,-0.7509856548296071,-0.05484738879388295,-0.051208725507571835
2016-01-22,Habitat,ret_IDX_VIX,-0.7860128048901581,-0.7540233964669983,-0.055567754117163685,-0.05176461429042323
2016-01-25,Habitat,ret_IDX_VIX,-0.7823805768633979,-0.7530137396528831,-0.055391745237333145,-0.05165505644591814
2016-01-26,Habitat,ret_IDX_VIX,-0.7839144175926894,-0.7523145465000631,-0.055422035105165586,-0.051573489889504755
2016-01-27,Habitat,ret_IDX_VIX,-0.7819312067316087,-0.7519191556577696,-0.05529417740753914,-0.051529910505245746
2016-01-28,Habitat,ret_IDX_VIX,-0.7825237176074944,-0.7510899782632416,-0.05554075701112234,-0.051466955683783004
2016-01-29,Habitat,ret_IDX_VIX,-0.7866135712985813,-0.7516381784264411,-0.05612411910171227,-0.0516443700186887
2016-02-01,Habitat,ret_IDX_VIX,-0.7844176183834195,-0.7502849078542949,-0.05620798950230292,-0.05171099908672061
2016-02-02,Habitat,ret_IDX_VIX,-0.7900451801619988,-0.7513941203492163,-0.05652468549956419,-0.05185055198590404
2016-02-03,Habitat,ret_IDX_VIX,-0.7878154879505891,-0.7502558249979396,-0.05640665963156922,-0.05164632892195973
2016-02-04,Habitat,ret_IDX_VIX,-0.7873419779126735,-0.7507126623399678,-0.056408453741087244,-0.0516424049486702
2016-02-05,Habitat,ret_IDX_VIX,-0.7865830949975909,-0.7514837039083345,-0.05638891570545171,-0.05164678682034488
2016-02-08,Habitat,ret_IDX_VIX,-0.7783068089097552,-0.7529930917489501,-0.05587320848683714,-0.051743858812663225
2016-02-09,Habitat,ret_IDX_VIX,-0.7589085742408105,-0.7516351812828612,-0.057842605150787936,-0.05178578528098282
2016-02-10,Habitat,ret_IDX_VIX,-0.7031592849331908,-0.751620519973584,-0.054184343004051144,-0.05183705622053919
2016-02-11,Habitat,ret_IDX_VIX,-0.7128334609982336,-0.752101383430666,-0.05532568329330073,-0.051863785139112786
2016-02-12,Habitat,ret_IDX_VIX,-0.7080133225308067,-0.751895528237794,-0.05146505480498654,-0.05177769693411738
2016-02-15,Habitat,ret_IDX_VIX,-0.6971662900171112,-0.750654568074099,-0.050747891857248886,-0.05179082475393888
2016-02-16,Habitat,ret_IDX_VIX,-0.6877112241460851,-0.7437366214590659,-0.05083680009083569,-0.0518268021300374
2016-02-17,Habitat,ret_IDX_VIX,-0.6921019233666155,-0.7452349206023293,-0.05163798982494101,-0.05207677286313838
2016-02-18,Habitat,ret_IDX_VIX,-0.6899068700515036,-0.7451030641932072,-0.050228422171590785,-0.052125684436358
2016-02-19,Habitat,ret_IDX_VIX,-0.6833834003284153,-0.7440878029036886,-0.05028392144433808,-0.05202547188108396
2016-02-22,Habitat,ret_IDX_VIX,-0.6972500749512756,-0.744082985217656,-0.051028553791502534,-0.052209126222956245
2016-02-23,Habitat,ret_IDX_VIX,-0.6916121474837812,-0.7429131677753853,-0.05029728588798687,-0.05204667872876672
2016-02-24,Habitat,ret_IDX_VIX,-0.6891614281932625,-0.7410033837386978,-0.0502129102786409,-0.05188177310400987
2016-02-25,Habitat,ret_IDX_VIX,-0.7027168438684438,-0.7418340839691477,-0.05021777913571934,-0.05190385049358475
2016-02-26,Habitat,ret_IDX_VIX,-0.6993605124715497,-0.7385673413949653,-0.05009424923788016,-0.051596361309243916
2016-02-29,Habitat,ret_IDX_VIX,-0.7034849727031198,-0.7386566332655417,-0.05052285330901118,-0.051582706278634635
2016-03-01,Habitat,ret_IDX_VIX,-0.7134506530349832,-0.7401373995328999,-0.05126811662116183,-0.05163381418468023
2016-03-02,Habitat,ret_IDX_VIX,-0.7129589540185194,-0.740172868695206,-0.051208441581282925,-0.051636093874388785
2016-03-03,Habitat,ret_IDX_VIX,-0.7084624689782674,-0.7392074869587969,-0.0509588037670201,-0.05153201669017976
2016-03-04,Habitat,ret_IDX_VIX,-0.706975457669396,-0.738738182247361,-0.050969898791744794,-0.05152066310368008
2016-03-07,Habitat,ret_IDX_VIX,-0.7096146200721337,-0.7386275735373202,-0.050986578903159475,-0.051638346438487644
2016-03-08,Habitat,ret_IDX_VIX,-0.7096493611779379,-0.7384697945115792,-0.05039502845077119,-0.05156868855251022
2016-03-09,Habitat,ret_IDX_VIX,-0.7061104404220315,-0.7381734331562695,-0.05056386603805639,-0.05167369091606775
2016-03-10,Habitat,ret_IDX_VIX,-0.7006246862063283,-0.7370750164580328,-0.05050638623719692,-0.05162592434783283
2016-03-11,Habitat,ret_IDX_VIX,-0.684600887366956,-0.7313271487408552,-0.04934349759938971,-0.05114637737104279
2016-03-14,Habitat,ret_IDX_VIX,-0.6844432705008953,-0.7302771901498049,-0.04876245416765552,-0.05119724649290385
2016-03-15,Habitat,ret_IDX_VIX,-0.6872732590914182,-0.7301988976986875,-0.04881623553952104,-0.05119528730027866
2016-03-16,Habitat,ret_IDX_VIX,-0.6804596829725573,-0.7313811273848251,-0.04843806732946391,-0.051245064955928475
2016-03-17,Habitat,ret_IDX_VIX,-0.6862021983783231,-0.7325802198298259,-0.048729336197799004,-0.05112991676889295
2016-03-18,Habitat,ret_IDX_VIX,-0.6791095877559495,-0.73069925512308,-0.048333743116047545,-0.05124645289952263
2016-03-21,Habitat,ret_IDX_VIX,-0.6704547875849353,-0.727679291658471,-0.04847811435549967,-0.05133366306357504
2016-03-22,Habitat,ret_IDX_VIX,-0.6693392834979769,-0.7273074993450881,-0.048481775233000485,-0.05129328011751325
2016-03-23,Habitat,ret_IDX_VIX,-0.6691504780928704,-0.7284681044293643,-0.048236730077076524,-0.051445604093951845
2016-03-24,Habitat,ret_IDX_VIX,-0.6670910727449703,-0.727869087628454,-0.04816627704713338,-0.05141287222571466
2016-03-25,Habitat,ret_IDX_VIX,-0.6656166912462698,-0.7274285095522014,-0.04786859998133911,-0.05138333148306548
2016-03-28,Habitat,ret_IDX_VIX,-0.6636684689845335,-0.7264666158846125,-0.04780298669380997,-0.051239808025677035
2016-03-29,Habitat,ret_IDX_VIX,-0.6660309221938594,-0.7270970908027997,-0.04780873618183685,-0.05122739135986412
2016-03-30,Habitat,ret_IDX_VIX,-0.6666443583747155,-0.7282686369572815,-0.04798991721582264,-0.051474568346820945
2016-03-31,Habitat,ret_IDX_VIX,-0.65865790471406,-0.7250360708420733,-0.04864129163463607,-0.051627288086117926
2016-04-01,Habitat,ret_IDX_VIX,-0.6576129363751352,-0.7243056544781885,-0.048249453713198893,-0.0515586052593151
