escenario,periodo,fecha_cartera,afp,factor_proxy_mercado,peso_exterior,peso_total_fondo,identificadores,peso_exterior_pct,peso_total_fondo_pct
principal_5pct,2016-09,2016-09-30,Profuturo,VGK,0.1434224112785905,0.090005206583705,4,14.342241127859051,9.000520658370501
principal_5pct,2016-09,2016-09-30,Profuturo,XLB,6.773682323771035e-05,4.250846652544131e-05,1,0.006773682323771035,0.0042508466525441315
principal_5pct,2016-09,2016-09-30,Profuturo,XLE,0.0285641506075886,0.0179255267946249,4,2.8564150607588603,1.7925526794624902
principal_5pct,2016-09,2016-09-30,Profuturo,XLF,0.0406234992502405,0.0254934107548133,4,4.0623499250240505,2.54934107548133
principal_5pct,2016-09,2016-09-30,Profuturo,XLI,0.0118441506679132,0.0074328357623505,1,1.18441506679132,0.74328357623505
principal_5pct,2016-09,2016-09-30,Profuturo,XLK,0.0003678568932595,0.0002308498049635,1,0.03678568932595,0.02308498049635
principal_5pct,2016-09,2016-09-30,Profuturo,XLP,0.001249283634158,0.0007839920593416,1,0.1249283634158,0.07839920593416
principal_5pct,2016-09,2016-09-30,Profuturo,XLV,0.0061911655385998,0.0038852863253929,1,0.61911655385998,0.38852863253929
principal_5pct,2016-09,2016-09-30,Profuturo,XLY,0.0280772456924428,0.0176199680114219,1,2.80772456924428,1.76199680114219
principal_5pct,2016-10,2016-10-31,Habitat,EEM,0.0899913052109918,0.053647282103839705,2,8.99913052109918,5.36472821038397
principal_5pct,2016-10,2016-10-31,Habitat,EWJ,0.1057892872045876,0.06306506746315549,2,10.57892872045876,6.306506746315549
principal_5pct,2016-10,2016-10-31,Habitat,MCHI,0.0105486306664791,0.0062884449097277,1,1.05486306664791,0.62884449097277
principal_5pct,2016-10,2016-10-31,Habitat,RESIDUAL_NO_MAPEADO,0.4023054476970847,0.2398297679305224,15,40.23054476970847,23.98297679305224
principal_5pct,2016-10,2016-10-31,Habitat,SPY,0.19328497568470218,0.1152246163413181,5,19.32849756847022,11.52246163413181
principal_5pct,2016-10,2016-10-31,Habitat,VGK,0.1980803535361531,0.1180833257220537,4,19.80803535361531,11.80833257220537
principal_5pct,2016-10,2016-10-31,Integra,ACWI,0.03821977138366312,0.023017110398115128,3,3.821977138366312,2.301711039811513
principal_5pct,2016-10,2016-10-31,Integra,EEM,0.04801989163007202,0.0289190412956614,2,4.801989163007201,2.8919041295661403
principal_5pct,2016-10,2016-10-31,Integra,EWJ,0.0611012139456936,0.0367970120158288,4,6.11012139456936,3.67970120158288
