afp,escenario,anio,observaciones,rmse,mae,r2,correlacion,acierto_direccion_pct
Integra,M1_publico_45d,2026,113,0.010513327981415065,0.008082058292084901,0.39545370456400464,0.8621216568798221,83.1858407079646
Integra,M1_publico_60d,2025,259,0.0044424705266112394,0.0032564416027762197,0.4882379899821383,0.7439494287232659,74.13127413127413
Integra,M1_publico_60d,2026,113,0.010308465330346604,0.007928524624384332,0.41878452748688,0.8551902661268034,80.53097345132744
Integra,M2_hibrido_publico_45d,2025,259,0.004502156025689122,0.0032953814865669204,0.47439436022169124,0.742771505631758,72.58687258687259
Integra,M2_hibrido_publico_45d,2026,113,0.010453582343027665,0.008036041455054597,0.4023052695536201,0.8613973036524377,83.1858407079646
Prima,M0_sin_pesos,2025,259,0.004450919309750543,0.0033386748982056685,0.4806923077237676,0.7695359312743523,74.13127413127413
Prima,M0_sin_pesos,2026,113,0.011679335255055637,0.009005072996188582,0.33788398008067144,0.8585836613103317,80.53097345132744
Prima,M1_afp_equivocada_45d,2025,259,0.00434392490873784,0.0032589834095628715,0.5053592045075488,0.763708492945694,74.9034749034749
Prima,M1_afp_equivocada_45d,2026,113,0.011380418591688245,0.008741007306513152,0.3713421851459089,0.833192196058733,76.99115044247787
Prima,M1_oraculo_1d,2025,259,0.004273431204493761,0.0031666264366664045,0.5212831134758487,0.7692918958162451,76.44787644787645
Prima,M1_oraculo_1d,2026,113,0.011365895390492185,0.008733160427865873,0.3729456935088341,0.8328460733127597,76.99115044247787
Prima,M1_pesos_12m_atras,2025,259,0.004560013967720893,0.003451606115295076,0.4549232479754638,0.7451257871830418,72.2007722007722
Prima,M1_pesos_12m_atras,2026,113,0.011460800505214577,0.00880692770690409,0.3624301792342116,0.847117517017118,78.76106194690266
Prima,M1_pesos_constantes_train,2025,259,0.004450919309750543,0.0033386748982056685,0.4806923077237676,0.7695359312743524,74.13127413127413
Prima,M1_pesos_constantes_train,2026,113,0.011679335255055637,0.009005072996188582,0.33788398008067144,0.8585836613103318,80.53097345132744
Prima,M1_publico_30d,2025,259,0.004289220565649382,0.003204087572779766,0.5177390772338185,0.7649361758762095,76.06177606177607
Prima,M1_publico_30d,2026,113,0.011447880193223414,0.008809575384665671,0.3638668952253269,0.8332855187749078,76.99115044247787
Prima,M1_publico_45d,2025,259,0.004311512105696993,0.0032146099221956105,0.5127133277575493,0.7641578819731139,75.2895752895753
Prima,M1_publico_45d,2026,113,0.011529927442993084,0.0088710082579119,0.3547158550273297,0.8313019067509976,76.99115044247787
Prima,M1_publico_60d,2025,259,0.0042897854720661535,0.003199012596165324,0.5176120377282323,0.7623372826502822,76.83397683397683
Prima,M1_publico_60d,2026,113,0.011498393767819432,0.008853342867371987,0.3582406569278773,0.8307762448662858,77.87610619469027
Prima,M2_hibrido_publico_45d,2025,259,0.00436793404814118,0.003271051997412431,0.4998762739886815,0.7737063537906493,74.5173745173745
Prima,M2_hibrido_publico_45d,2026,113,0.011508806951715803,0.008858265706967359,0.35707774944466164,0.8589053950869564,80.53097345132744
Profuturo,M0_sin_pesos,2025,259,0.004614075234967584,0.003250682967776184,0.451193553950224,0.7072672863189085,72.97297297297297
Profuturo,M0_sin_pesos,2026,113,0.011569750433974053,0.009089112446455778,0.3646081552049233,0.8389986349795803,78.76106194690266
Profuturo,M1_afp_equivocada_45d,2025,259,0.0045726611561805845,0.0032174068033677754,0.46100107210071606,0.7044829913840787,72.97297297297297
Profuturo,M1_afp_equivocada_45d,2026,113,0.011385575493693434,0.008934453849567179,0.3846763198455537,0.8401310715369724,78.76106194690266
Profuturo,M1_oraculo_1d,2025,259,0.004551814317098428,0.003189750214294204,0.46590447955195713,0.711381988531966,73.74517374517374
Profuturo,M1_oraculo_1d,2026,113,0.01149300459551653,0.009015754518266523,0.37300971021645,0.8271264269576524,76.99115044247787
Profuturo,M1_pesos_12m_atras,2025,259,0.004451492773326347,0.0031747163205142156,0.4891878651513121,0.7334590285442534,74.5173745173745
Profuturo,M1_pesos_12m_atras,2026,113,0.011000932850070722,0.008621800497194477,0.4255494074809416,0.8568994097731896,79.64601769911505
Profuturo,M1_pesos_constantes_train,2025,259,0.004614075234967584,0.0032506829677761834,0.451193553950224,0.7072672863189083,72.97297297297297
Profuturo,M1_pesos_constantes_train,2026,113,0.011569750433974051,0.009089112446455777,0.3646081552049233,0.8389986349795806,78.76106194690266
Profuturo,M1_publico_30d,2025,259,0.004569524523434737,0.003198389658978501,0.46174027484447633,0.7125527490736556,74.9034749034749
Profuturo,M1_publico_30d,2026,113,0.01149654667233529,0.009019548541998958,0.3726231811798142,0.8255666187198437,77.87610619469027
Profuturo,M1_publico_45d,2025,259,0.004574889620102603,0.0032022413113254214,0.4604755871331889,0.7138451504943398,75.2895752895753
Profuturo,M1_publico_45d,2026,113,0.011481784917568941,0.009009767161480258,0.37423327110575744,0.8289825291272236,77.87610619469027
Profuturo,M1_publico_60d,2025,259,0.00457052786247057,0.003203023979747449,0.46150387550727745,0.7158505460504626,75.67567567567568
Profuturo,M1_publico_60d,2026,113,0.011489776745994234,0.009020978206588311,0.37336184548111895,0.8301175907917975,77.87610619469027
Profuturo,M2_hibrido_publico_45d,2025,259,0.004530948275341658,0.003170900415026593,0.47078996692624797,0.7140760580057424,74.9034749034749
Profuturo,M2_hibrido_publico_45d,2026,113,0.011344949907804387,0.008885811787677875,0.38905963569479596,0.8359746647793458,78.76106194690266
