periodo,afp,fecha_ca,monto_ca_miles_soles,participacion_reportada_suma_pct,registros,registros_pendientes,registros_identificados,fuente,pendientes_pct_registros,fecha_fp,total_fp_miles_soles,suma_fp_pct,diferencia_miles_soles,error_relativo_pct,participacion_calculada_sobre_fp_pct,diferencia_porcentaje_interno_pp,estado_monto,estado_porcentaje_interno,elegible_emisores
2018-07,Habitat,2018-07-31,1071837.3692810475,96.3831818262918,92,21,71,hoja3,22.82608695652174,2018-07-31,1112058.5033316999,99.999999999991,-40221.134050652385,3.616818173697774,96.38318182630222,1.0416556506243069e-11,revisar,correcto,False
2018-07,Integra,2018-07-31,8662630.839429067,101.1248472148969,105,25,80,hoja3,23.809523809523807,2018-07-31,8566273.3522062,99.99999999999883,96357.48722286709,1.1248472148983046,101.1248472148983,1.3926637620897964e-12,revisar,correcto,False
2018-07,Prima,2018-07-31,7702106.19785863,100.32335440253435,76,22,54,hoja3,28.947368421052634,2018-07-31,7677281.370552099,100.00000000000131,24824.82730653044,0.3233544025330571,100.32335440253306,1.2931877790833823e-12,correcto,correcto,True
2018-07,Profuturo,2018-07-31,6162963.410585364,99.75113855120473,94,25,69,hoja3,26.595744680851062,2018-07-31,6178338.9143188,99.99999999999676,-15375.503733435646,0.24886144879170796,99.7511385512083,3.566924533515703e-12,correcto,correcto,True
2018-08,Habitat,2018-08-31,1112179.160206603,98.8598819185557,94,21,73,hoja3,22.340425531914892,2018-08-31,1125005.5519213001,100.00000000000001,-12826.391714697238,1.1401180814434335,98.85988191855657,8.668621376273222e-13,revisar,correcto,False
2018-08,Integra,2018-08-31,8431768.897663804,100.0934074307873,108,26,82,hoja3,24.074074074074073,2018-08-31,8423900.3487758,99.9999999999988,7868.548888003454,0.09340743078883817,100.09340743078883,1.5347723092418164e-12,correcto,correcto,True
2018-08,Prima,2018-08-31,7549416.951712826,100.51936800685932,79,22,57,hoja3,27.848101265822784,2018-08-31,7510410.2835165,100.00000000000135,39006.66819632612,0.5193680068575767,100.51936800685756,1.7621459846850485e-12,tolerable,correcto,True
2018-08,Profuturo,2018-08-31,5956304.403373098,97.84147906006041,93,27,66,hoja3,29.03225806451613,2018-08-31,6087708.8741849,100.0,-131404.47081180196,2.1585209399389367,97.84147906006106,6.536993168992922e-13,revisar,correcto,False
2018-09,Habitat,2018-09-28,1159533.970780355,101.83367829817195,95,20,75,hoja3,21.052631578947366,2018-09-28,1138654.7065356001,100.0000000000088,20879.2642447548,1.8336782981629915,101.833678298163,8.952838470577262e-12,revisar,correcto,False
2018-09,Integra,2018-09-28,8362591.896337553,100.25707555493173,108,24,84,hoja3,22.22222222222222,2018-09-28,8341148.8416649,99.99999999999642,21443.054672652856,0.257075554934862,100.25707555493486,3.126388037344441e-12,correcto,correcto,True
