escenario,periodo,afp,grupo_cobertura,peso_exterior,peso_total_fondo
ampliado_15pct,2015-06,Prima,residual_no_mapeado,0.3025111997626381,0.18439220650111135
ampliado_15pct,2015-06,Profuturo,mapeo_alta_confianza,0.44920934070800844,0.2863371179345507
ampliado_15pct,2015-06,Profuturo,mapeo_baja_confianza,0.0118198026447041,0.0075342338574382
ampliado_15pct,2015-06,Profuturo,mapeo_confianza_media,0.3792990526703337,0.24177457531437394
ampliado_15pct,2015-06,Profuturo,privados_alternativos,0.026387907103777898,0.0168203031052548
ampliado_15pct,2015-06,Profuturo,residual_no_mapeado,0.13328389687317316,0.0849584446253918
ampliado_15pct,2015-07,Habitat,mapeo_alta_confianza,0.6146167032583132,0.410752416052867
ampliado_15pct,2015-07,Habitat,mapeo_baja_confianza,0.0117745879033203,0.007869035129823
ampliado_15pct,2015-07,Habitat,mapeo_confianza_media,0.21845707390489788,0.1459963102769166
ampliado_15pct,2015-07,Habitat,residual_no_mapeado,0.1551516349334669,0.10368886586651971
ampliado_15pct,2015-07,Integra,mapeo_alta_confianza,0.5442986050449693,0.3346503045720561
ampliado_15pct,2015-07,Integra,mapeo_baja_confianza,0.01729721039527855,0.010634818229138567
ampliado_15pct,2015-07,Integra,mapeo_confianza_media,0.22174634183123168,0.1363359746722663
ampliado_15pct,2015-07,Integra,privados_alternativos,0.0422596063205168,0.025982411116206597
ampliado_15pct,2015-07,Integra,residual_no_mapeado,0.17439823640800073,0.10722500919498974
ampliado_15pct,2015-07,Prima,mapeo_alta_confianza,0.2798293921186282,0.17592398819439786
ampliado_15pct,2015-07,Prima,mapeo_confianza_media,0.3361298257887478,0.21131911503698006
ampliado_15pct,2015-07,Prima,privados_alternativos,0.057663620945044104,0.0362521395396577
ampliado_15pct,2015-07,Prima,residual_no_mapeado,0.3263771611475771,0.20518778034691346
ampliado_15pct,2015-07,Profuturo,mapeo_alta_confianza,0.4607453536826739,0.2969710200611225
ampliado_15pct,2015-07,Profuturo,mapeo_baja_confianza,0.0117241527317748,0.0075567416323974
ampliado_15pct,2015-07,Profuturo,mapeo_confianza_media,0.369706207884132,0.23829221239178566
ampliado_15pct,2015-07,Profuturo,privados_alternativos,0.026207127416743598,0.0168916675981983
ampliado_15pct,2015-07,Profuturo,residual_no_mapeado,0.1316171582846733,0.0848331544549124
ampliado_15pct,2015-08,Habitat,mapeo_alta_confianza,0.5493730655228862,0.37387059121810107
ampliado_15pct,2015-08,Habitat,mapeo_baja_confianza,0.0108938523656176,0.0074137071512591
ampliado_15pct,2015-08,Habitat,mapeo_confianza_media,0.2465558766685697,0.1677912463557703
ampliado_15pct,2015-08,Habitat,residual_no_mapeado,0.19317720544292472,0.13146490161483532
ampliado_15pct,2015-08,Integra,mapeo_alta_confianza,0.5971284062265989,0.37462104110914907
ampliado_15pct,2015-08,Integra,mapeo_baja_confianza,0.01745211433082693,0.010948950296109726
ampliado_15pct,2015-08,Integra,mapeo_confianza_media,0.1966711106923884,0.12338574999179672
ampliado_15pct,2015-08,Integra,privados_alternativos,0.046693808796721,0.0292943411875486
ampliado_15pct,2015-08,Integra,residual_no_mapeado,0.14205455995346225,0.08912091032539719
ampliado_15pct,2015-08,Prima,mapeo_alta_confianza,0.3573695471302859,0.23180187632853233
ampliado_15pct,2015-08,Prima,mapeo_confianza_media,0.2748976638055224,0.17830784626206322
ampliado_15pct,2015-08,Prima,privados_alternativos,0.0604250752562627,0.039193730786994
ampliado_15pct,2015-08,Prima,residual_no_mapeado,0.3073077138079265,0.19933009189767123
ampliado_15pct,2015-08,Profuturo,mapeo_alta_confianza,0.4360935369706748,0.2796722009496858
ampliado_15pct,2015-08,Profuturo,mapeo_baja_confianza,0.0122842322642515,0.0078780307045719
ampliado_15pct,2015-08,Profuturo,mapeo_confianza_media,0.3907790537245265,0.2506114600994949
