factor,coef_estandarizado,coef_original,coef_abs_estandarizado,valor_factor,contribucion_retorno,contribucion_puntos_pct,afp,metodo,fecha,retorno_real_pct,retorno_estimado_pct,residual_pct,intercepto_pct,ranking_contribucion
bonos_tesoro_pen,-0.002256693455695735,-0.14543745064290164,0.002256693455695735,0.0080756954575571,-0.001174508559515566,-0.11745085595155659,Integra,B_PEN_sin_FX,2026-06-30,1.3681151070292699,0.6377973030192168,0.7303178040100532,0.01745532819622528,4
mercado_global_pen,-0.0006581479271182315,-0.041316114518658055,0.0006581479271182315,0.0276189933759878,-0.0011411094932123702,-0.11411094932123703,Integra,B_PEN_sin_FX,2026-06-30,1.3681151070292699,0.6377973030192168,0.7303178040100532,0.01745532819622528,5
mineras_cobre_pen,0.0007651393826872412,0.030430995577885877,0.0007651393826872412,0.0366565268499305,0.00111549460647089,0.11154946064708901,Integra,B_PEN_sin_FX,2026-06-30,1.3681151070292699,0.6377973030192168,0.7303178040100532,0.01745532819622528,6
vix,-0.0012725679452370165,-0.015764389602639827,0.0012725679452370165,-0.0679886051856325,0.0010717988606863693,0.10717988606863693,Integra,B_PEN_sin_FX,2026-06-30,1.3681151070292699,0.6377973030192168,0.7303178040100532,0.01745532819622528,7
spread_credito_pen,-0.0007839570310726239,-0.1604462491713908,0.0007839570310726239,0.005348290445035701,-0.0008581131413851668,-0.08581131413851668,Integra,B_PEN_sin_FX,2026-06-30,1.3681151070292699,0.6377973030192168,0.7303178040100532,0.01745532819622528,8
mercado_global,0.0029683067918349912,0.2897956263221623,0.0029683067918349912,0.0073802710976105,0.0021387702851593873,0.21387702851593873,Integra,C_Bloques_ortogonales,2026-06-30,1.3681151070292699,0.45711222071083263,0.9110028863184374,0.015431627181909591,1
emergentes_extra,0.0008756145103706525,0.13533809257446472,0.0008756145103706525,0.007016752145032654,0.0009496338513765032,0.09496338513765032,Integra,C_Bloques_ortogonales,2026-06-30,1.3681151070292699,0.45711222071083263,0.9110028863184374,0.015431627181909591,2
vix,-0.0005975943156823568,-0.007402912867638667,0.0005975943156823568,-0.0679886051856325,0.0005033137201815238,0.05033137201815238,Integra,C_Bloques_ortogonales,2026-06-30,1.3681151070292699,0.45711222071083263,0.9110028863184374,0.015431627181909591,3
tecnologia_extra,0.00016960062067530643,0.02688683532860665,0.00016960062067530643,0.018021645982582577,0.00048454502788414336,0.04845450278841434,Integra,C_Bloques_ortogonales,2026-06-30,1.3681151070292699,0.45711222071083263,0.9110028863184374,0.015431627181909591,4
bonos_tesoro,-0.00033989725055332096,-0.038158821477773455,0.00033989725055332096,-0.0117781260146612,0.00044943940793617604,0.044943940793617604,Integra,C_Bloques_ortogonales,2026-06-30,1.3681151070292699,0.45711222071083263,0.9110028863184374,0.015431627181909591,5
spread_credito,-0.0003637386766061747,-0.0740879786142978,0.0003637386766061747,0.005242957081523799,-0.0003884400921316165,-0.038844009213161654,Integra,C_Bloques_ortogonales,2026-06-30,1.3681151070292699,0.45711222071083263,0.9110028863184374,0.015431627181909591,6
peru_extra,0.0014564103639261082,0.13698762414705296,0.0014564103639261082,0.0022963840902201164,0.00031457620064834544,0.031457620064834546,Integra,C_Bloques_ortogonales,2026-06-30,1.3681151070292699,0.45711222071083263,0.9110028863184374,0.015431627181909591,7
fx_usdpen,-1.2133807471459565e-05,-0.000950480104247081,1.2133807471459565e-05,0.0200904493159528,-1.9095572360197512e-05,-0.0019095572360197511,Integra,C_Bloques_ortogonales,2026-06-30,1.3681151070292699,0.45711222071083263,0.9110028863184374,0.015431627181909591,8
cobre_extra,7.004120467330936e-05,0.005660153011533599,7.004120467330936e-05,-0.0028156294313177108,-1.5936893405035574e-05,-0.0015936893405035573,Integra,C_Bloques_ortogonales,2026-06-30,1.3681151070292699,0.45711222071083263,0.9110028863184374,0.015431627181909591,9
peru_usd,0.0012932822656436772,0.0910851241324049,0.0012932822656436772,0.0126121868430044,0.0011487826041761396,0.11487826041761395,Prima,A_USD_mas_FX,2026-06-30,1.47770174438699,0.43307560361138164,1.0446261407756083,0.012464267807053364,1
emergentes_usd,0.0007662787647474575,0.06175438158169702,0.0007662787647474575,0.0145336401082349,0.0008975159570149945,0.08975159570149945,Prima,A_USD_mas_FX,2026-06-30,1.47770174438699,0.43307560361138164,1.0446261407756083,0.012464267807053364,2
tecnologia_usd,0.0004577539522119027,0.03204094933561952,0.0004577539522119027,0.0275605442501583,0.0008830660019814219,0.0883066001981422,Prima,A_USD_mas_FX,2026-06-30,1.47770174438699,0.43307560361138164,1.0446261407756083,0.012464267807053364,3
mercado_global_usd,0.000676815484845771,0.0660774579888242,0.000676815484845771,0.0073802710976105,0.00048766955339849124,0.04876695533984912,Prima,A_USD_mas_FX,2026-06-30,1.47770174438699,0.43307560361138164,1.0446261407756083,0.012464267807053364,4
mineras_cobre_usd,0.0005075687275950064,0.02313233885485572,0.0005075687275950064,0.0162398124059357,0.0003756648435133944,0.03756648435133944,Prima,A_USD_mas_FX,2026-06-30,1.47770174438699,0.43307560361138164,1.0446261407756083,0.012464267807053364,5
vix,-0.0004117933509434416,-0.005101237104349605,0.0004117933509434416,-0.0679886051856325,0.0003468259954459245,0.03468259954459245,Prima,A_USD_mas_FX,2026-06-30,1.47770174438699,0.43307560361138164,1.0446261407756083,0.012464267807053364,6
bonos_tesoro_usd,-0.00016837475876589546,-0.0189027194266847,0.00016837475876589546,-0.0117781260146612,0.0002226386114272767,0.02226386114272767,Prima,A_USD_mas_FX,2026-06-30,1.47770174438699,0.43307560361138164,1.0446261407756083,0.012464267807053364,7
spread_credito_usd,-0.00012338906407212118,-0.02513245615096173,0.00012338906407212118,0.005242957081523799,-0.00013176838895277118,-0.013176838895277118,Prima,A_USD_mas_FX,2026-06-30,1.47770174438699,0.43307560361138164,1.0446261407756083,0.012464267807053364,8
fx_usdpen,-1.5429279778210965e-05,-0.0012086250327068419,1.5429279778210965e-05,0.0200904493159528,-2.42818199615886e-05,-0.00242818199615886,Prima,A_USD_mas_FX,2026-06-30,1.47770174438699,0.43307560361138164,1.0446261407756083,0.012464267807053364,9
peru_pen,0.002017524361993857,0.10792024556364901,0.002017524361993857,0.0329560206594901,0.0035566218423728614,0.3556621842372861,Prima,B_PEN_sin_FX,2026-06-30,1.47770174438699,0.6369152913523306,0.8407864530346594,0.015616312001011474,1
emergentes_pen,0.0010002075730638409,0.057301528578718806,0.0010002075730638409,0.0349160767841585,0.0020007445717041984,0.20007445717041983,Prima,B_PEN_sin_FX,2026-06-30,1.47770174438699,0.6369152913523306,0.8407864530346594,0.015616312001011474,2
tecnologia_pen,0.0006991949552096052,0.03714072725856069,0.0006991949552096052,0.048204697283489,0.0017903575143875465,0.17903575143875464,Prima,B_PEN_sin_FX,2026-06-30,1.47770174438699,0.6369152913523306,0.8407864530346594,0.015616312001011474,3
bonos_tesoro_pen,-0.002377285552388066,-0.15320926699941595,0.002377285552388066,0.0080756954575571,-0.0012372713815628363,-0.12372713815628363,Prima,B_PEN_sin_FX,2026-06-30,1.47770174438699,0.6369152913523306,0.8407864530346594,0.015616312001011474,4
mercado_global_pen,-0.0005891299468353392,-0.03698341869190025,0.0005891299468353392,0.0276189933759878,-0.0010214447958729765,-0.10214447958729765,Prima,B_PEN_sin_FX,2026-06-30,1.47770174438699,0.6369152913523306,0.8407864530346594,0.015616312001011474,5
mineras_cobre_pen,0.0006945440682138205,0.027623290535942865,0.0006945440682138205,0.0366565268499305,0.0010125738912142208,0.10125738912142208,Prima,B_PEN_sin_FX,2026-06-30,1.47770174438699,0.6369152913523306,0.8407864530346594,0.015616312001011474,6
vix,-0.0011839762727035622,-0.014666928640658152,0.0011839762727035622,-0.0679886051856325,0.0009971840206355526,0.09971840206355527,Prima,B_PEN_sin_FX,2026-06-30,1.47770174438699,0.6369152913523306,0.8407864530346594,0.015616312001011474,7
spread_credito_pen,-0.0008092292114563538,-0.1656185052903319,0.0008092292114563538,0.005348290445035701,-0.0008857758693653769,-0.0885775869365377,Prima,B_PEN_sin_FX,2026-06-30,1.47770174438699,0.6369152913523306,0.8407864530346594,0.015616312001011474,8
mercado_global,0.003056811497627728,0.298436335806174,0.003056811497627728,0.0073802710976105,0.0022025410636270877,0.22025410636270876,Prima,C_Bloques_ortogonales,2026-06-30,1.47770174438699,0.44640462426858196,1.031297120118408,0.013181506284687766,1
emergentes_extra,0.0009368000166367226,0.14479514201023483,0.0009368000166367226,0.007016752145032654,0.0010159916232906228,0.10159916232906228,Prima,C_Bloques_ortogonales,2026-06-30,1.47770174438699,0.44640462426858196,1.031297120118408,0.013181506284687766,2
bonos_tesoro,-0.00039154278721426923,-0.04395684664673485,0.00039154278721426923,-0.0117781260146612,0.0005177292790123806,0.05177292790123805,Prima,C_Bloques_ortogonales,2026-06-30,1.47770174438699,0.44640462426858196,1.031297120118408,0.013181506284687766,3
spread_credito,-0.0003861192873081503,-0.07864656507679318,0.0003861192873081503,0.005242957081523799,-0.0004123405653068952,-0.04123405653068952,Prima,C_Bloques_ortogonales,2026-06-30,1.47770174438699,0.44640462426858196,1.031297120118408,0.013181506284687766,4
vix,-0.000489471636862432,-0.006063504594643919,0.000489471636862432,-0.0679886051856325,0.00041224921992651407,0.04122492199265141,Prima,C_Bloques_ortogonales,2026-06-30,1.47770174438699,0.44640462426858196,1.031297120118408,0.013181506284687766,5
peru_extra,0.0014411527873094746,0.13555252094899556,0.0014411527873094746,0.0022963840902201164,0.00031128065249650245,0.031128065249650245,Prima,C_Bloques_ortogonales,2026-06-30,1.47770174438699,0.44640462426858196,1.031297120118408,0.013181506284687766,6
tecnologia_extra,0.00010802455195704118,0.017125163388852862,0.00010802455195704118,0.018021645982582577,0.0003086236319877904,0.03086236319877904,Prima,C_Bloques_ortogonales,2026-06-30,1.47770174438699,0.44640462426858196,1.031297120118408,0.013181506284687766,7
fx_usdpen,-1.2704680710004449e-05,-0.0009951984382539697,1.2704680710004449e-05,0.0200904493159528,-1.9993983783056758e-05,-0.0019993983783056757,Prima,C_Bloques_ortogonales,2026-06-30,1.47770174438699,0.44640462426858196,1.031297120118408,0.013181506284687766,8
cobre_extra,1.691926521214578e-05,0.0013672755971308424,1.691926521214578e-05,-0.0028156294313177108,-3.8497414120040976e-06,-0.00038497414120040977,Prima,C_Bloques_ortogonales,2026-06-30,1.47770174438699,0.44640462426858196,1.031297120118408,0.013181506284687766,9
peru_usd,0.0013660739671470165,0.09621180169025474,0.0013660739671470165,0.0126121868430044,0.0012134412194195793,0.12134412194195793,Profuturo,A_USD_mas_FX,2026-06-30,0.89959633010854,0.45975180169267466,0.4398445284158654,0.017946091446810527,1
