fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,grupo,entidad_administradora,isin,moneda,seccion,estado_identificacion,instrumento_sin_isin,estado_refinado,fila_instrumento_origen,total_refinado,participacion_hoja10_refinada_pct,participacion_reportada_pct,periodo,identificador_final,tipo_identificador,valor_redondeado
2015-01-30,CA-0001-en2015.XLS,10,14,Prima,3,1754.0687145227,miles_soles,0.0002184189811104,9,EUR,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,9123996.08332462,0.0192247859216917,0.0218418981110448,2015-01,EUR,fondo_sin_isin,1754.068715
2015-01-30,CA-0001-en2015.XLS,10,15,Prima,3,3277.6638833299,miles_soles,0.0004081390882193,10,GBP,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,9123996.08332462,0.0359235564482572,0.0408139088219378,2015-01,GBP,fondo_sin_isin,3277.663883
2015-01-30,CA-0001-en2015.XLS,10,16,Prima,3,332.98728031,miles_soles,4.146402127002202e-05,11,JPY,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,9123996.08332462,0.0036495771947839,0.0041464021270022,2015-01,JPY,fondo_sin_isin,332.98728
2015-01-30,CA-0001-en2015.XLS,10,17,Prima,3,4720.6695296692,miles_soles,0.0005878240802613,12,MXN,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,9123996.08332462,0.051739056950023,0.0587824080261333,2015-01,MXN,fondo_sin_isin,4720.66953
2015-01-30,CA-0001-en2015.XLS,10,26,Prima,3,6623.5985745648,miles_soles,0.0008247793487011,19,ACC EXTRANJERO,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,9123996.08332462,0.0725953684556085,0.0824779348701129,2015-01,ACC EXTRANJERO,fondo_sin_isin,6623.598575
2015-01-30,CA-0001-en2015.XLS,10,51,Prima,3,82423.59407744,miles_soles,0.0102634961155181,31,ADS,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,9123996.08332462,0.9033716512447943,1.0263496115518136,2015-01,ADS,fondo_sin_isin,82423.594077
2015-01-30,CA-0001-en2015.XLS,10,58,Prima,3,23347.140606009,miles_soles,0.0029072171579061,35,TIT ESTAD EXTRA,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,9123996.08332462,0.2558872274033432,0.2907217157906195,2015-01,TIT ESTAD EXTRA,fondo_sin_isin,23347.140606
2015-01-30,CA-0001-en2015.XLS,10,97,Prima,3,5364.861846848,miles_soles,0.0006680397687303,40,TIT.EMP.PUB.EXT,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,9123996.08332462,0.0587994755571304,0.0668039768730333,2015-01,TIT.EMP.PUB.EXT,fondo_sin_isin,5364.861847
2015-01-30,CA-0001-en2015.XLS,10,100,Prima,3,54418.277171324895,miles_soles,0.0067762366178345,42,BON SIS FIN EXT,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,9123996.08332462,0.5964302995568127,0.6776236617834579,2015-01,BON SIS FIN EXT,fondo_sin_isin,54418.277171
2015-01-30,CA-0001-en2015.XLS,10,194,Prima,3,4035487.88806008,miles_soles,0.5025043463211659,78,FONDO MUTUO EXT,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,9123996.08332462,44.22939084153597,50.250434632116594,2015-01,FONDO MUTUO EXT,fondo_sin_isin,4035487.88806
2015-01-30,CA-0001-en2015.XLS,10,345,Prima,3,292182.84263027966,miles_soles,0.0363829981441894,116,FMAE,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,9123996.08332462,3.202356072513936,3.6382998144189433,2015-01,FMAE,fondo_sin_isin,292182.84263
2015-01-30,CA-0001-en2015.XLS,10,370,Prima,3,21233.3807006118,miles_soles,0.0026440089488853,141,PARTNERS GROUP,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,9123996.08332462,0.2327201864917366,0.2644008948885374,2015-01,PARTNERS GROUP,fondo_sin_isin,21233.380701
2015-01-30,CA-0001-en2015.XLS,10,372,Prima,3,21233.3807006118,miles_soles,0.0026440089488853,143,"Partners Group Secondary 2008 S.C.A., SICAR",,EUR,,entidad_sin_isin,,entidad_sin_isin_pendiente,,9123996.08332462,0.2327201864917366,0.2644008948885374,2015-01,"Partners Group Secondary 2008 S.C.A., SICAR",fondo_sin_isin,21233.380701
2015-01-30,CA-0001-en2015.XLS,10,387,Prima,3,19640.79485082,miles_soles,0.0024456980299558,158,DEP ON CMS,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,9123996.08332462,0.2152652705179948,0.2445698029955898,2015-01,DEP ON CMS,fondo_sin_isin,19640.794851
2015-01-30,CA-0001-en2015.XLS,10,390,Prima,3,19640.79485082,miles_soles,0.0024456980299558,161,Wells Fargo Ban,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,9123996.08332462,0.2152652705179948,0.2445698029955898,2015-01,Wells Fargo Ban,fondo_sin_isin,19640.794851
2015-01-30,CA-0001-en2015.XLS,10,391,Prima,3,19640.79485082,miles_soles,0.0024456980299558,162,USD,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,9123996.08332462,0.2152652705179948,0.2445698029955898,2015-01,USD,fondo_sin_isin,19640.794851
2015-01-30,CA-0001-en2015.XLS,10,6,Profuturo,3,6074.199646985101,miles_soles,0.0011254499711197,1,CTA CTE EXT,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,6842089.573386067,0.0887769676476049,0.1125449971119707,2015-01,CTA CTE EXT,fondo_sin_isin,6074.199647
2015-01-30,CA-0001-en2015.XLS,10,7,Profuturo,3,6074.199646985101,miles_soles,0.0011254499711197,2,BROWN BROTHERS,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,6842089.573386067,0.0887769676476049,0.1125449971119707,2015-01,BROWN BROTHERS,fondo_sin_isin,6074.199647
2015-01-30,CA-0001-en2015.XLS,10,11,Profuturo,3,2.4131944000000005,miles_soles,4.471255022271581e-07,6,CAD,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,6842089.573386067,3.526984518569727e-05,4.471255022271581e-05,2015-01,CAD,fondo_sin_isin,2.413194
2015-01-30,CA-0001-en2015.XLS,10,12,Profuturo,3,183.8365961866,miles_soles,3.406191825974102e-05,7,CLP,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,6842089.573386067,0.0026868487209181,0.0034061918259741,2015-01,CLP,fondo_sin_isin,183.836596
2015-01-30,CA-0001-en2015.XLS,10,14,Profuturo,3,230.0947911563,miles_soles,4.26328061492326e-05,9,EUR,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,6842089.573386067,0.0033629315823532,0.0042632806149232,2015-01,EUR,fondo_sin_isin,230.094791
2015-01-30,CA-0001-en2015.XLS,10,15,Profuturo,3,2.9055053256,miles_soles,5.38342674727151e-07,10,GBP,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,6842089.573386067,4.246517521345604e-05,5.38342674727151e-05,2015-01,GBP,fondo_sin_isin,2.905505
2015-01-30,CA-0001-en2015.XLS,10,16,Profuturo,3,0.1637629566,miles_soles,3.0342600751924204e-08,11,JPY,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,6842089.573386067,2.393464084963093e-06,3.0342600751924205e-06,2015-01,JPY,fondo_sin_isin,0.163763
2015-01-30,CA-0001-en2015.XLS,10,17,Profuturo,3,0.1335051,miles_soles,2.47363141930824e-08,12,MXN,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,6842089.573386067,1.9512328590274497e-06,2.47363141930824e-06,2015-01,MXN,fondo_sin_isin,0.133505
2015-01-30,CA-0001-en2015.XLS,10,20,Profuturo,3,5654.65229186,miles_soles,0.0010477146996188,15,USD,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,6842089.573386067,0.0826451076269903,0.1047714699618834,2015-01,USD,fondo_sin_isin,5654.652292
2015-01-30,CA-0001-en2015.XLS,10,21,Profuturo,3,11063.80551072,miles_soles,0.0020499424312953,16,AC PRF.CIAL EXT,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,6842089.573386067,0.1617021436514847,0.2049942431295331,2015-01,AC PRF.CIAL EXT,fondo_sin_isin,11063.805511
2015-01-30,CA-0001-en2015.XLS,10,26,Profuturo,3,271700.7594136,miles_soles,0.0503417124241238,19,ACC EXTRANJERO,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,6842089.573386067,3.971020205149677,5.034171242412387,2015-01,ACC EXTRANJERO,fondo_sin_isin,271700.759414
2015-01-30,CA-0001-en2015.XLS,10,58,Profuturo,3,103090.75355569649,miles_soles,0.0191010326223892,35,TIT ESTAD EXTRA,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,6842089.573386067,1.5067144685841658,1.9101032622389216,2015-01,TIT ESTAD EXTRA,fondo_sin_isin,103090.753556
2015-01-30,CA-0001-en2015.XLS,10,97,Profuturo,3,7116.4892398438,miles_soles,0.001318569206633,40,TIT.EMP.PUB.EXT,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,6842089.573386067,0.1040104658600944,0.1318569206633052,2015-01,TIT.EMP.PUB.EXT,fondo_sin_isin,7116.48924
2015-01-30,CA-0001-en2015.XLS,10,100,Profuturo,3,31590.232528775,miles_soles,0.0058531540537725,42,BON SIS FIN EXT,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,6842089.573386067,0.4617044572414356,0.5853154053772555,2015-01,BON SIS FIN EXT,fondo_sin_isin,31590.232529
2015-01-30,CA-0001-en2015.XLS,10,194,Profuturo,3,2874908.554044368,miles_soles,0.5326735927632853,78,FONDO MUTUO EXT,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,6842089.573386067,42.01799060373322,53.26735927632853,2015-01,FONDO MUTUO EXT,fondo_sin_isin,2874908.554044
2015-01-30,CA-0001-en2015.XLS,10,345,Profuturo,3,83672.2459380536,miles_soles,0.0155031003666867,116,FMAE,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,6842089.573386067,1.2229048602859087,1.5503100366686788,2015-01,FMAE,fondo_sin_isin,83672.245938
2015-01-30,CA-0001-en2015.XLS,10,348,Profuturo,3,7455.2407189354,miles_soles,0.0013813343221243,119,Altamar,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,6842089.573386067,0.1089614603692756,0.1381334322124379,2015-01,Altamar,fondo_sin_isin,7455.240719
2015-01-30,CA-0001-en2015.XLS,10,349,Profuturo,3,7455.2407189354,miles_soles,0.0013813343221243,120,"Altamar V - Private Equity Program 2010, F.C.R (de Régimen Simplificado)",,EUR,,entidad_sin_isin,,entidad_sin_isin_pendiente,,6842089.573386067,0.1089614603692756,0.1381334322124379,2015-01,"Altamar V - Private Equity Program 2010, F.C.R (de Régimen Simplificado)",fondo_sin_isin,7455.240719
2015-01-30,CA-0001-en2015.XLS,10,364,Profuturo,3,2415.7649191738,miles_soles,0.00044760177744,135,HV IX-Buy As LC,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,6842089.573386067,0.0353074143982343,0.0447601777440033,2015-01,HV IX-Buy As LC,fondo_sin_isin,2415.764919
2015-01-30,CA-0001-en2015.XLS,10,365,Profuturo,3,2415.7649191738,miles_soles,0.00044760177744,136,Harvour vest Buyout,,USD,,entidad_sin_isin,,entidad_sin_isin_pendiente,,6842089.573386067,0.0353074143982343,0.0447601777440033,2015-01,Harvour vest Buyout,fondo_sin_isin,2415.764919
2015-02-27,CA-0001-fe2015.XLS,10,6,Habitat,3,1357.3029649136,miles_soles,0.0124362104448324,1,CTA CTE EXT,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,139355.31648561978,0.9739872142256312,1.2436210444832425,2015-02,CTA CTE EXT,fondo_sin_isin,1357.302965
2015-02-27,CA-0001-fe2015.XLS,10,7,Habitat,3,1357.3029649136,miles_soles,0.0124362104448324,2,BROWN BROTHERS,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,139355.31648561978,0.9739872142256312,1.2436210444832425,2015-02,BROWN BROTHERS,fondo_sin_isin,1357.302965
2015-02-27,CA-0001-fe2015.XLS,10,14,Habitat,3,0.6467794736,miles_soles,5.926079772174925e-06,9,EUR,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,139355.31648561978,0.0004641225680591,0.0005926079772174,2015-02,EUR,fondo_sin_isin,0.646779
2015-02-27,CA-0001-fe2015.XLS,10,20,Habitat,3,1356.65618544,miles_soles,0.0124302843650602,15,USD,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,139355.31648561978,0.973523091657572,1.243028436506025,2015-02,USD,fondo_sin_isin,1356.656185
2015-02-27,CA-0001-fe2015.XLS,10,186,Habitat,3,67641.70379543949,miles_soles,0.6197632253022105,76,FONDO MUTUO EXT,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,139355.31648561978,48.53901917866156,61.976322530221054,2015-02,FONDO MUTUO EXT,fondo_sin_isin,67641.703795
2015-02-27,CA-0001-fe2015.XLS,10,6,Integra,3,38420.3684418584,miles_soles,0.0044476341898792,1,CTA CTE EXT,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,10613322.18963848,0.362001339028106,0.4447634189879241,2015-02,CTA CTE EXT,fondo_sin_isin,38420.368442
2015-02-27,CA-0001-fe2015.XLS,10,7,Integra,3,38420.3684418584,miles_soles,0.0044476341898792,2,BROWN BROTHERS,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,10613322.18963848,0.362001339028106,0.4447634189879241,2015-02,BROWN BROTHERS,fondo_sin_isin,38420.368442
2015-02-27,CA-0001-fe2015.XLS,10,10,Integra,3,5535.271254440399,miles_soles,0.0006407763038181,5,BRL,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,10613322.18963848,0.0521539924590657,0.0640776303818133,2015-02,BRL,fondo_sin_isin,5535.271254
2015-02-27,CA-0001-fe2015.XLS,10,11,Integra,3,0.000914135,miles_soles,1.058224646210238e-10,6,CAD,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,10613322.18963848,8.613090073647693e-09,1.0582246462102382e-08,2015-02,CAD,fondo_sin_isin,0.000914
2015-02-27,CA-0001-fe2015.XLS,10,12,Integra,3,33.6025164696,miles_soles,3.8899080664033385e-06,7,CLP,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,10613322.18963848,0.0003166069574558,0.0003889908066403,2015-02,CLP,fondo_sin_isin,33.602516
2015-02-27,CA-0001-fe2015.XLS,10,13,Integra,3,10480.41958656,miles_soles,0.0012132385598541,8,COP,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,10613322.18963848,0.0987477756662449,0.1213238559854103,2015-02,COP,fondo_sin_isin,10480.419587
2015-02-27,CA-0001-fe2015.XLS,10,14,Integra,3,732.6791567926001,miles_soles,8.481670010255213e-05,9,EUR,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,10613322.18963848,0.0069033912633679,0.0084816700102552,2015-02,EUR,fondo_sin_isin,732.679157
2015-02-27,CA-0001-fe2015.XLS,10,17,Integra,3,5368.1320228208,miles_soles,0.0006214278646654,12,MXN,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,10613322.18963848,0.0505791864875408,0.0621427864665436,2015-02,MXN,fondo_sin_isin,5368.132023
2015-02-27,CA-0001-fe2015.XLS,10,20,Integra,3,16270.26299064,miles_soles,0.0018834847475501,15,USD,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,10613322.18963848,0.1533003775813406,0.1883484747550148,2015-02,USD,fondo_sin_isin,16270.262991
2015-02-27,CA-0001-fe2015.XLS,10,26,Integra,3,7512.76745856,miles_soles,0.0008696960170975,19,ACC EXTRANJERO,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,10613322.18963848,0.0707861998752334,0.0869696017097523,2015-02,ACC EXTRANJERO,fondo_sin_isin,7512.767459
2015-02-27,CA-0001-fe2015.XLS,10,47,Integra,3,18483.005901078403,miles_soles,0.002139637184942,30,ADS,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,10613322.18963848,0.1741491077989029,0.2139637184942096,2015-02,ADS,fondo_sin_isin,18483.005901
2015-02-27,CA-0001-fe2015.XLS,10,54,Integra,3,140885.39620671349,miles_soles,0.0163092320671496,34,TIT ESTAD EXTRA,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,10613322.18963848,1.3274391721025518,1.630923206714967,2015-02,TIT ESTAD EXTRA,fondo_sin_isin,140885.396207
2015-02-27,CA-0001-fe2015.XLS,10,94,Integra,3,7072.252534200799,miles_soles,0.0008187009507254,39,TIT.EMP.PUB.EXT,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,10613322.18963848,0.0666356151997841,0.0818700950725451,2015-02,TIT.EMP.PUB.EXT,fondo_sin_isin,7072.252534
2015-02-27,CA-0001-fe2015.XLS,10,97,Integra,3,33935.8921145212,miles_soles,0.0039285004322904,41,BON SIS FIN EXT,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,10613322.18963848,0.3197480629359576,0.3928500432290417,2015-02,BON SIS FIN EXT,fondo_sin_isin,33935.892115
2015-02-27,CA-0001-fe2015.XLS,10,186,Integra,3,4835988.107564703,miles_soles,0.5598256060871293,76,FONDO MUTUO EXT,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,10613322.18963848,45.5652624235412,55.98256060871293,2015-02,FONDO MUTUO EXT,fondo_sin_isin,4835988.107565
2015-02-27,CA-0001-fe2015.XLS,10,337,Integra,3,198713.35852323548,miles_soles,0.0230035359679368,114,FMAE,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,10613322.18963848,1.8723011981793445,2.30035359679368,2015-02,FMAE,fondo_sin_isin,198713.358523
2015-02-27,CA-0001-fe2015.XLS,10,381,Integra,3,1847.3735296,miles_soles,0.0002138563997417,158,DEP ON CMS,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,10613322.18963848,0.0174061759041249,0.0213856399741736,2015-02,DEP ON CMS,fondo_sin_isin,1847.37353
2015-02-27,CA-0001-fe2015.XLS,10,382,Integra,3,1847.3735296,miles_soles,0.0002138563997417,159,A NZ Bank Group,,PEN,,entidad_sin_isin,,entidad_sin_isin_pendiente,,10613322.18963848,0.0174061759041249,0.0213856399741736,2015-02,A NZ Bank Group,fondo_sin_isin,1847.37353
2015-02-27,CA-0001-fe2015.XLS,10,6,Prima,3,39002.7522119449,miles_soles,0.0047323444688642,1,CTA CTE EXT,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,9862077.210774444,0.3954821218529287,0.4732344468864258,2015-02,CTA CTE EXT,fondo_sin_isin,39002.752212
2015-02-27,CA-0001-fe2015.XLS,10,7,Prima,3,39002.7522119449,miles_soles,0.0047323444688642,2,BROWN BROTHERS,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,9862077.210774444,0.3954821218529287,0.4732344468864258,2015-02,BROWN BROTHERS,fondo_sin_isin,39002.752212
2015-02-27,CA-0001-fe2015.XLS,10,11,Prima,3,1353.2457370092,miles_soles,0.0001641941815733,6,CAD,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,9862077.210774444,0.0137217110359951,0.0164194181573379,2015-02,CAD,fondo_sin_isin,1353.245737
