fecha,afp,retorno_real,retorno_predicho,segmento
2024-05-23,Habitat,0.0012209965535008305,-0.0017025960609210905,prueba_intocable
2024-05-24,Habitat,0.0014359915894193165,0.0028158385277307317,prueba_intocable
2024-05-29,Habitat,-0.0025890264229107007,-0.0032481620276368487,prueba_intocable
2024-05-30,Habitat,-0.001834658515342813,0.0008783683107428141,prueba_intocable
2024-05-31,Habitat,-0.005034952363516698,0.001988534666038894,prueba_intocable
2024-06-03,Habitat,-0.0005365254806845021,-0.002213442791227219,prueba_intocable
2024-06-04,Habitat,-0.0049999592140789195,-0.0012026413412894864,prueba_intocable
2024-06-05,Habitat,0.002670028787676415,0.0016446916677653864,prueba_intocable
2024-06-06,Habitat,0.001563391488055066,0.0014263927039712765,prueba_intocable
2024-06-07,Habitat,-0.00745371703724973,-0.003221911019077541,prueba_intocable
2024-06-10,Habitat,0.006688896031864067,0.0009357283528148375,prueba_intocable
2024-06-11,Habitat,-0.002180389942778138,-0.0024437315163968083,prueba_intocable
2024-06-12,Habitat,0.008414064122290732,0.0024462554866054535,prueba_intocable
2024-06-13,Habitat,-0.004670050870538955,-0.0008861737711904566,prueba_intocable
2024-06-14,Habitat,0.0003009654210093249,-0.0016438454168651213,prueba_intocable
2024-06-17,Habitat,0.004478514677756618,-0.0013984551087286607,prueba_intocable
2024-06-18,Habitat,0.00448957370837566,0.002528715552598503,prueba_intocable
2024-06-21,Habitat,-0.0019127974171525564,-0.0009930207521048678,prueba_intocable
