id_cluster,fuente,periodo,archivo,fingerprint_vector,numero_filas,filas_excel,fila_conservada,monto_vector_total,prioridades
hoja3_000064,hoja3,2015-03,CA-0001-ma2015.XLS,0.0|0.0|25270.898782|0.0,2,446 | 447,446,25270.898781704,10.12 | 10.04
hoja3_000065,hoja3,2015-03,CA-0001-ma2015.XLS,0.0|0.0|0.0|5269.644072,2,456 | 457,456,5269.6440720419,10.08 | 10.04
hoja3_000066,hoja3,2015-03,CA-0001-ma2015.XLS,0.0|0.0|0.0|2445.784235,2,458 | 459,458,2445.7842347161,10.15 | 10.04
hoja3_000067,hoja3,2015-03,CA-0001-ma2015.XLS,0.0|0.0|0.0|6909.962421,2,469 | 470,469,6909.962420535399,10.15 | 10.04
hoja3_000068,hoja3,2015-03,CA-0001-ma2015.XLS,0.0|0.0|21393.354334|7792.39611,2,481 | 482,481,29185.7504442158,10.14 | 10.04
hoja3_000069,hoja3,2015-03,CA-0001-ma2015.XLS,0.0|1191.043579|0.0|1191.043579,2,483 | 484,483,2382.087157831,10.08 | 10.04
hoja3_000070,hoja3,2015-03,CA-0001-ma2015.XLS,0.0|18165.845003|0.0|5074.257468,2,485 | 486,485,23240.102470782,10.08 | 10.04
hoja3_000071,hoja3,2015-03,CA-0001-ma2015.XLS,0.0|0.0|0.0|13778.658221,2,487 | 488,487,13778.658221464,10.09 | 10.04
hoja3_000072,hoja3,2015-03,CA-0001-ma2015.XLS,0.0|0.0|57632.637369|0.0,2,501 | 502,501,57632.6373686526,10.11 | 10.04
hoja3_000073,hoja3,2015-03,CA-0001-ma2015.XLS,0.0|4934.705116|0.0|3783.281039,2,505 | 506,505,8717.9861542006,10.14 | 10.04
hoja3_000074,hoja3,2015-03,CA-0001-ma2015.XLS,0.0|21951.444929|0.0|0.0,2,525 | 526,525,21951.444928732,10.10 | 10.04
hoja3_000075,hoja3,2015-03,CA-0001-ma2015.XLS,0.0|0.0|12699.971568|0.0,2,529 | 530,529,12699.971567539002,10.09 | 10.04
hoja3_000076,hoja3,2015-04,CA-0001-ab2015.XLS,349.934|20534.092127|39198.276931|0.0,2,117 | 119,117,60082.3030574,10.12 | 10.03
hoja3_000077,hoja3,2015-04,CA-0001-ab2015.XLS,0.0|3880.04503|9406.175829|4232.777249,2,239 | 240,239,17518.9981088647,10.15 | 10.05
hoja3_000078,hoja3,2015-04,CA-0001-ab2015.XLS,0.0|33.846818|0.0|0.0,2,369 | 370,369,33.846818400000004,10.15 | 10.03
hoja3_000079,hoja3,2015-04,CA-0001-ab2015.XLS,0.0|0.0|24329.3648|0.0,2,373 | 374,373,24329.3648,10.05 | 10.03
hoja3_000080,hoja3,2015-04,CA-0001-ab2015.XLS,0.0|0.0|0.0|1931.305466,2,401 | 403,403,1931.305465626,10.03 | 10.15
hoja3_000081,hoja3,2015-04,CA-0001-ab2015.XLS,0.0|0.0|0.0|15402.730022,2,423 | 424,423,15402.7300223056,10.12 | 10.04
hoja3_000082,hoja3,2015-04,CA-0001-ab2015.XLS,0.0|0.0|0.0|7817.777744,2,427 | 428,427,7817.7777439901,10.07 | 10.04
hoja3_000083,hoja3,2015-04,CA-0001-ab2015.XLS,0.0|5747.306968|0.0|5747.306968,2,429 | 430,429,11494.6139359772,10.12 | 10.04
hoja3_000084,hoja3,2015-04,CA-0001-ab2015.XLS,0.0|13059.402292|17412.521747|0.0,2,431 | 432,431,30471.9240391215,10.06 | 10.04
hoja3_000085,hoja3,2015-04,CA-0001-ab2015.XLS,0.0|16535.495793|16132.107627|8872.604725,2,433 | 434,433,41540.20814548091,10.09 | 10.04
hoja3_000086,hoja3,2015-04,CA-0001-ab2015.XLS,0.0|2261.340489|0.0|2261.334228,2,443 | 444,443,4522.6747173802,10.13 | 10.04
hoja3_000087,hoja3,2015-04,CA-0001-ab2015.XLS,0.0|0.0|7426.497777|4084.509171,2,445 | 446,445,11511.0069486438,10.15 | 10.04
hoja3_000088,hoja3,2015-04,CA-0001-ab2015.XLS,0.0|0.0|25548.421572|0.0,2,449 | 450,449,25548.4215719424,10.12 | 10.04
hoja3_000089,hoja3,2015-04,CA-0001-ab2015.XLS,0.0|0.0|0.0|5734.070371,2,459 | 460,459,5734.0703709909,10.08 | 10.04
hoja3_000090,hoja3,2015-04,CA-0001-ab2015.XLS,0.0|0.0|0.0|2562.474639,2,461 | 462,461,2562.4746385711,10.15 | 10.04
hoja3_000091,hoja3,2015-04,CA-0001-ab2015.XLS,0.0|0.0|0.0|6985.847021,2,472 | 473,472,6985.847020760901,10.15 | 10.04
hoja3_000092,hoja3,2015-04,CA-0001-ab2015.XLS,0.0|0.0|23458.397824|8215.996917,2,484 | 485,484,31674.3947415188,10.14 | 10.04
hoja3_000093,hoja3,2015-04,CA-0001-ab2015.XLS,0.0|1433.486802|0.0|1433.486802,2,486 | 487,486,2866.9736031519997,10.08 | 10.04
hoja3_000094,hoja3,2015-04,CA-0001-ab2015.XLS,0.0|18365.340717|0.0|5129.982517,2,488 | 489,488,23495.323234350097,10.08 | 10.04
hoja3_000095,hoja3,2015-04,CA-0001-ab2015.XLS,0.0|0.0|0.0|13929.974236,2,490 | 491,490,13929.974235524,10.09 | 10.04
hoja3_000096,hoja3,2015-04,CA-0001-ab2015.XLS,0.0|0.0|58265.553929|0.0,2,504 | 505,504,58265.553928902606,10.11 | 10.04
hoja3_000097,hoja3,2015-04,CA-0001-ab2015.XLS,0.0|4988.897614|0.0|3824.828699,2,508 | 509,508,8813.7263122247,10.14 | 10.04
hoja3_000098,hoja3,2015-04,CA-0001-ab2015.XLS,0.0|27437.875616|0.0|0.0,2,528 | 529,528,27437.8756161138,10.10 | 10.04
hoja3_000099,hoja3,2015-04,CA-0001-ab2015.XLS,0.0|0.0|13076.607893|0.0,2,532 | 533,532,13076.6078933851,10.09 | 10.04
hoja3_000100,hoja3,2015-05,CA-0001-my2015.XLS,300.46072|20742.358828|37828.428828|0.0,2,110 | 112,110,58871.248375519994,10.12 | 10.03
hoja3_000101,hoja3,2015-05,CA-0001-my2015.XLS,0.0|3919.926699|9502.85298|4276.285107,2,234 | 235,234,17699.064785656403,10.15 | 10.05
hoja3_000102,hoja3,2015-05,CA-0001-my2015.XLS,0.0|0.0|33061.136685|0.0,2,339 | 340,339,33061.136684862,10.15 | 10.03
hoja3_000103,hoja3,2015-05,CA-0001-my2015.XLS,0.0|27.030682|0.0|0.0,2,369 | 370,369,27.0306822999,10.15 | 10.03
hoja3_000104,hoja3,2015-05,CA-0001-my2015.XLS,0.0|0.0|29586.54384|0.0,2,373 | 374,373,29586.54384,10.05 | 10.03
hoja3_000105,hoja3,2015-05,CA-0001-my2015.XLS,0.0|0.0|0.0|1949.821221,2,399 | 401,401,1949.82122145,10.03 | 10.15
hoja3_000106,hoja3,2015-05,CA-0001-my2015.XLS,0.0|0.0|0.0|15736.314555,2,421 | 422,421,15736.3145550113,10.12 | 10.04
hoja3_000107,hoja3,2015-05,CA-0001-my2015.XLS,0.0|0.0|0.0|7727.489,2,425 | 426,425,7727.4889996725,10.07 | 10.04
hoja3_000108,hoja3,2015-05,CA-0001-my2015.XLS,0.0|5680.930416|0.0|5680.930416,2,427 | 428,427,11361.8608323868,10.12 | 10.04
hoja3_000109,hoja3,2015-05,CA-0001-my2015.XLS,0.0|10677.168353|14236.213927|0.0,2,429 | 430,429,24913.3822801946,10.06 | 10.04
hoja3_000110,hoja3,2015-05,CA-0001-my2015.XLS,0.0|19297.844036|18827.080153|10354.842165,2,431 | 432,431,48479.7663541847,10.09 | 10.04
hoja3_000111,hoja3,2015-05,CA-0001-my2015.XLS,0.0|2266.417504|0.0|2266.414344,2,441 | 442,441,4532.8318487241995,10.13 | 10.04
hoja3_000112,hoja3,2015-05,CA-0001-my2015.XLS,0.0|0.0|6930.360051|3811.634626,2,443 | 444,443,10741.994676385,10.15 | 10.04
hoja3_000113,hoja3,2015-05,CA-0001-my2015.XLS,0.0|0.0|26336.777185|0.0,2,447 | 448,447,26336.7771846973,10.12 | 10.04
hoja3_000114,hoja3,2015-05,CA-0001-my2015.XLS,0.0|0.0|0.0|5667.846691,2,457 | 458,457,5667.8466907355005,10.08 | 10.04
hoja3_000115,hoja3,2015-05,CA-0001-my2015.XLS,0.0|0.0|0.0|2583.842239,2,459 | 460,459,2583.8422385924,10.15 | 10.04
hoja3_000116,hoja3,2015-05,CA-0001-my2015.XLS,0.0|0.0|0.0|7044.099611,2,470 | 471,470,7044.099610934,10.15 | 10.04
hoja3_000117,hoja3,2015-05,CA-0001-my2015.XLS,0.0|0.0|23187.4731|9001.665186,2,482 | 483,482,32189.138285545603,10.14 | 10.04
hoja3_000118,hoja3,2015-05,CA-0001-my2015.XLS,0.0|1445.440158|0.0|1445.440158,2,484 | 485,484,2890.880315945,10.08 | 10.04
hoja3_000119,hoja3,2015-05,CA-0001-my2015.XLS,0.0|19957.197679|0.0|5574.635238,2,486 | 487,486,25531.8329165177,10.08 | 10.04
hoja3_000120,hoja3,2015-05,CA-0001-my2015.XLS,0.0|0.0|0.0|14046.131529,2,488 | 489,488,14046.13152867,10.09 | 10.04
hoja3_000121,hoja3,2015-05,CA-0001-my2015.XLS,0.0|0.0|58751.410465|0.0,2,502 | 503,502,58751.4104648593,10.11 | 10.04
hoja3_000122,hoja3,2015-05,CA-0001-my2015.XLS,0.0|11916.161694|0.0|9135.729119,2,506 | 507,506,21051.8908130072,10.14 | 10.04
hoja3_000123,hoja3,2015-05,CA-0001-my2015.XLS,0.0|28304.308645|0.0|0.0,2,526 | 527,526,28304.308645164,10.10 | 10.04
hoja3_000124,hoja3,2015-05,CA-0001-my2015.XLS,0.0|0.0|13185.649256|0.0,2,530 | 531,530,13185.6492563299,10.09 | 10.04
hoja3_000125,hoja3,2015-06,CA-0001-jn2015.XLS,0.0|0.0|0.0|1500.0,2,95 | 98,98,1500.0,10.08 | 10.11
hoja3_000126,hoja3,2015-06,CA-0001-jn2015.XLS,299.556026|19363.205138|8344.077325|0.0,2,112 | 114,112,28006.838488859998,10.12 | 10.03
hoja3_000127,hoja3,2015-06,CA-0001-jn2015.XLS,0.0|3948.368865|9571.803689|4307.312935,2,236 | 237,236,17827.4854895603,10.15 | 10.05
hoja3_000128,hoja3,2015-06,CA-0001-jn2015.XLS,0.0|0.0|40936.116677|0.0,2,345 | 346,345,40936.11667695,10.15 | 10.03
hoja3_000129,hoja3,2015-06,CA-0001-jn2015.XLS,0.0|26.913052|0.0|0.0,2,373 | 374,373,26.913051594,10.15 | 10.03
hoja3_000130,hoja3,2015-06,CA-0001-jn2015.XLS,0.0|0.0|29352.59712|0.0,2,377 | 378,377,29352.59712,10.05 | 10.03
hoja3_000131,hoja3,2015-06,CA-0001-jn2015.XLS,0.0|0.0|0.0|1966.493636,2,405 | 407,407,1966.49363625,10.03 | 10.15
hoja3_000132,hoja3,2015-06,CA-0001-jn2015.XLS,0.0|0.0|0.0|15850.493955,2,427 | 428,427,15850.4939546849,10.12 | 10.04
hoja3_000133,hoja3,2015-06,CA-0001-jn2015.XLS,0.0|0.0|0.0|7899.064318,2,431 | 432,431,7899.0643183445,10.07 | 10.04
hoja3_000134,hoja3,2015-06,CA-0001-jn2015.XLS,0.0|5807.065497|0.0|5807.065497,2,433 | 434,433,11614.130993251,10.12 | 10.04
hoja3_000135,hoja3,2015-06,CA-0001-jn2015.XLS,0.0|10754.639648|14339.508911|0.0,2,435 | 436,435,25094.148559531903,10.06 | 10.04
hoja3_000136,hoja3,2015-06,CA-0001-jn2015.XLS,0.0|19437.865147|18963.6855|10429.974729,2,437 | 438,437,48831.5253762408,10.09 | 10.04
hoja3_000137,hoja3,2015-06,CA-0001-jn2015.XLS,0.0|2282.862155|0.0|2282.858972,2,447 | 448,447,4565.72112642,10.13 | 10.04
hoja3_000138,hoja3,2015-06,CA-0001-jn2015.XLS,0.0|0.0|6980.64529|3839.291048,2,449 | 450,449,10819.936337957599,10.15 | 10.04
hoja3_000139,hoja3,2015-06,CA-0001-jn2015.XLS,0.0|0.0|21274.166834|0.0,2,453 | 454,453,21274.1668339032,10.12 | 10.04
hoja3_000140,hoja3,2015-06,CA-0001-jn2015.XLS,0.0|0.0|0.0|6629.126868,2,463 | 464,463,6629.126868268299,10.08 | 10.04
hoja3_000141,hoja3,2015-06,CA-0001-jn2015.XLS,0.0|0.0|0.0|2906.283173,2,465 | 466,465,2906.2831734163,10.15 | 10.04
hoja3_000142,hoja3,2015-06,CA-0001-jn2015.XLS,0.0|0.0|0.0|6837.062401,2,476 | 477,476,6837.0624005343,10.15 | 10.04
hoja3_000143,hoja3,2015-06,CA-0001-jn2015.XLS,0.0|0.0|22792.601539|9201.531348,2,488 | 489,488,31994.132887223,10.14 | 10.04
hoja3_000144,hoja3,2015-06,CA-0001-jn2015.XLS,0.0|1455.927969|0.0|1455.927969,2,490 | 491,490,2911.8559375144,10.08 | 10.04
hoja3_000145,hoja3,2015-06,CA-0001-jn2015.XLS,0.0|20102.002922|0.0|5615.083623,2,492 | 493,492,25717.0865440289,10.08 | 10.04
hoja3_000146,hoja3,2015-06,CA-0001-jn2015.XLS,0.0|0.0|0.0|18020.326815,2,494 | 495,494,18020.3268146399,10.09 | 10.04
hoja3_000147,hoja3,2015-06,CA-0001-jn2015.XLS,0.0|0.0|59177.698383|0.0,2,508 | 509,508,59177.6983833807,10.11 | 10.04
