fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,grupo,entidad_administradora,isin,moneda,seccion,estado_identificacion,total_canonico,participacion_calculada_pct,instrumento_sin_isin,estado_refinado,fila_instrumento_origen,total_refinado,participacion_hoja10_refinada_pct
2026-01-30,CA-0001-en2026.XLS,10,221,Habitat,3,91.0234505511,miles_soles,1.825494948062249e-05,94,Pictet Asset Management (Europe) S.A.,LU0338482002,USD,,isin,2736482.735417546,0.0033262936167295,,isin,,2710476.0101406495,0.003358209045590361
2026-01-30,CA-0001-en2026.XLS,10,224,Habitat,3,0.1651300233,miles_soles,3.3117182603215284e-08,95,GAM International Management Limited,IE00B3CTFW2X,EUR,,isin,2736482.735417546,6.034389370075951e-06,,isin,,2710476.0101406495,6.092288685906178e-06
2026-01-30,CA-0001-en2026.XLS,10,227,Habitat,3,1141.2743100496,miles_soles,0.000228885026302,96,Robeco Luxembourg S.A.,LU0440072402,USD,,isin,2736482.735417546,0.0417058838076483,,isin,,2710476.0101406495,0.042106047269179776
2026-01-30,CA-0001-en2026.XLS,10,229,Habitat,3,218.2513717742,miles_soles,4.37707837012605e-05,96,Robeco Luxembourg S.A.,LU0936248318,USD,,isin,2736482.735417546,0.0079756166172522,,isin,,2710476.0101406495,0.00805214179936146
2026-01-30,CA-0001-en2026.XLS,10,230,Habitat,3,2456.6555636224,miles_soles,0.0004926875759345,96,Robeco Luxembourg S.A.,LU1529950328,USD,,isin,2736482.735417546,0.0897742029148066,,isin,,2710476.0101406495,0.09063557671904728
2026-01-30,CA-0001-en2026.XLS,10,246,Habitat,3,2303.1650164236,miles_soles,0.000461904715387,101,JP MORGAN ASSET MANAGMENT (EUROPE),LU0248044025,USD,,isin,2736482.735417546,0.0841651579457953,,isin,,2710476.0101406495,0.08497271356790521
2026-01-30,CA-0001-en2026.XLS,10,247,Habitat,3,4404.6058971417,miles_soles,0.0008833532199401,101,JP MORGAN ASSET MANAGMENT (EUROPE),LU0248053877,USD,,isin,2736482.735417546,0.1609586583585598,,isin,,2710476.0101406495,0.1625030393430097
2026-01-30,CA-0001-en2026.XLS,10,253,Habitat,3,51804.5060272,miles_soles,0.0103895055029169,103,First Trust Advisors L.P.,US33738R7044,USD,,isin,2736482.735417546,1.89310553129784,,isin,,2710476.0101406495,1.9112696748978717
2026-01-30,CA-0001-en2026.XLS,10,254,Habitat,3,78475.62023886161,miles_soles,0.0157384550272207,103,First Trust Advisors L.P.,US33741X1028,USD,,isin,2736482.735417546,2.8677549915873093,,isin,,2710476.0101406495,2.8952707917451526
2026-01-30,CA-0001-en2026.XLS,10,262,Habitat,3,224.1509751158,miles_soles,4.495396188561376e-05,106,Invesco Management S.A.,LU1887442066,USD,,isin,2736482.735417546,0.008191207355876,,isin,,2710476.0101406495,0.00826980110789354
2026-01-30,CA-0001-en2026.XLS,10,264,Habitat,3,1.8218718013,miles_soles,3.653803222306022e-07,107,Groupama Asset Management,FR0010589325,EUR,,isin,2736482.735417546,6.65771348644014e-05,,isin,,2710476.0101406495,6.721593530006786e-05
2026-01-30,CA-0001-en2026.XLS,10,265,Habitat,3,9.7515164364,miles_soles,1.9556876698055544e-06,107,Groupama Asset Management,LU0675296932,EUR,,isin,2736482.735417546,0.0003563522002236,,isin,,2710476.0101406495,0.00035977136118957873
2026-01-30,CA-0001-en2026.XLS,10,267,Habitat,3,9983.1792496721,miles_soles,0.0020021481470475,108,Invesco Fund Managers Limited,GB0033031153,GBP,,isin,2736482.735417546,0.3648179146340866,,isin,,2710476.0101406495,0.3683183032176721
2026-01-30,CA-0001-en2026.XLS,10,272,Habitat,3,0.0668464473,miles_soles,1.3406199292956236e-08,110,PIMCO Global Advisors (Ireland) Limited,IE00B29K0P99,USD,,isin,2736482.735417546,2.4427871016624647e-06,,isin,,2710476.0101406495,2.466225380704671e-06
2026-01-30,CA-0001-en2026.XLS,10,281,Habitat,3,2105.7220950978,miles_soles,0.0004223071113378,112,Man Fund Management UK Limited,GB00B0119487,GBP,,isin,2736482.735417546,0.0769499499428231,,isin,,2710476.0101406495,0.0776882764215475
