afp,baseline,segmento,n_publicacion,mape_cuota_5d_pct,mediana_error_abs_5d_pct,p90_error_abs_5d_pct,error_maximo_abs_5d_pct,sesgo_5d_pct,correlacion_retorno_acumulado,direccion_acumulada_pct,cobertura_direccional_acumulada_pct,mape_cuota_5d_retorno_cero_pct,mejora_mape_vs_cero_pct,ranking_mape
Integra,MEDIA_MOVIL_20,prueba,593,1.0392667040872274,0.6885537713650303,2.2863166726976925,6.169242790431473,-0.026556419871380223,0.17558142534869092,59.86509274873525,100.0,1.0506052925984848,1.0792434219718594,2.0
Prima,RETORNO_CERO,entrenamiento,1777,0.8306300394463642,0.6194612214392103,1.736702532927046,10.51439331630666,-0.09400699929302123,,,0.0,0.8306300394463642,0.0,4.0
Prima,RETORNO_CERO,validacion,593,0.7931913681015548,0.5902525395635516,1.6754554069130942,6.573613964200153,0.004783815749687882,,,0.0,0.7931913681015548,0.0,3.0
Prima,RETORNO_CERO,prueba,593,1.0869260599641308,0.753237371448956,2.5560673357324886,8.416653395295315,-0.1857827268687046,,,0.0,1.0869260599641308,0.0,4.0
Prima,PERSISTENCIA_1D,entrenamiento,1774,0.4970397493821787,0.37651058566849915,1.0376354075946628,5.164286011560748,-0.005062910483117664,0.8195844561101013,81.05975197294251,100.0,0.8306300394463642,40.16111556554489,1.0
Prima,PERSISTENCIA_1D,validacion,593,0.4985972411958809,0.3754608410024507,1.021709457074205,3.6933223367581647,0.0014281187333062316,0.810583649962874,81.28161888701517,100.0,0.7931913681015548,37.14035966008597,1.0
Prima,PERSISTENCIA_1D,prueba,593,0.7828344676922951,0.5314608153554778,1.7936279101974792,6.117736773611027,-0.021916219202948763,0.7207827335531861,73.52445193929174,100.0,1.0869260599641308,27.977210545662224,1.0
Prima,MEDIA_EXPANSIVA,entrenamiento,1717,0.8235566848562325,0.5937521077779673,1.744306447242492,10.573752972117244,-0.0289549662009006,0.003898677884895183,58.590564938846825,100.0,0.8306300394463642,0.8515649873253159,2.0
Prima,MEDIA_EXPANSIVA,validacion,593,0.790764741917363,0.5775936316125274,1.643256485392165,6.696701626383095,0.07447631723607377,-0.06671168908736116,54.131534569983145,100.0,0.7931913681015548,0.3059319959570049,2.0
Prima,MEDIA_EXPANSIVA,prueba,593,1.0759889923896409,0.7480685002450582,2.551909056904418,8.476773693845674,-0.12100471785307576,0.06296983028881865,59.527824620573355,100.0,1.0869260599641308,1.0062384165166587,2.0
Prima,MEDIA_MOVIL_20,entrenamiento,1757,0.8242966303034595,0.6166816586324453,1.7500303182750316,8.602095384825347,0.00039421154618203953,0.2951109315084279,59.87478656801366,100.0,0.8306300394463642,0.7624825544626435,3.0
Prima,MEDIA_MOVIL_20,validacion,593,0.818611688592138,0.6127432018979029,1.8495807103122157,5.216826928072438,0.009462943408708537,0.2160562343421457,56.155143338954474,100.0,0.7931913681015548,-3.204815573248717,4.0
Prima,MEDIA_MOVIL_20,prueba,593,1.0823062669809997,0.7308687839668204,2.3453805054520624,7.952699389339091,-0.011192724762861815,0.19793399983507245,59.02192242833052,100.0,1.0869260599641308,0.42503286592314693,3.0
Profuturo,RETORNO_CERO,entrenamiento,1777,0.8444054026320181,0.6368009292993859,1.7157380504972712,9.503696344008361,-0.12388870303709772,,,0.0,0.8444054026320181,0.0,4.0
Profuturo,RETORNO_CERO,validacion,593,0.8412410293274828,0.6271827325626367,1.7069821334111706,7.152342397381761,-0.008678362430554257,,,0.0,0.8412410293274828,0.0,2.0
Profuturo,RETORNO_CERO,prueba,593,1.0971413570388178,0.7873271196802811,2.6182230170554637,7.091164421295981,-0.20058468412262523,,,0.0,1.0971413570388178,0.0,3.0
Profuturo,PERSISTENCIA_1D,entrenamiento,1774,0.5233176052998841,0.38356184828061135,1.1189757676481207,4.787531282631486,-0.0050960658834750565,0.8012285669448966,79.48139797068771,100.0,0.8444054026320181,38.025312999099825,1.0
Profuturo,PERSISTENCIA_1D,validacion,593,0.5324747398062362,0.42284835144967836,1.070280412343818,3.5886724484694765,0.000264697858730778,0.8110444358563569,81.45025295109612,100.0,0.8412410293274828,36.70366503261082,1.0
Profuturo,PERSISTENCIA_1D,prueba,593,0.7893201152109177,0.5106136884849732,1.7228120305051855,6.834489079606909,-0.03501635111049745,0.7077599521663978,78.41483979763912,100.0,1.0971413570388178,28.05666196548355,1.0
Profuturo,MEDIA_EXPANSIVA,entrenamiento,1717,0.8339069892348225,0.6081512535090372,1.686164504869945,9.590623815023292,-0.03036970465786645,0.0035486294358634944,59.289458357600466,100.0,0.8444054026320181,1.2432906474155612,3.0
Profuturo,MEDIA_EXPANSIVA,validacion,593,0.8420037261454538,0.6118379617222613,1.760633755043797,7.318872791428688,0.08732734335405071,-0.06099222001129467,53.62563237774031,100.0,0.8412410293274828,-0.09066329284732554,3.0
Profuturo,MEDIA_EXPANSIVA,prueba,593,1.083472995428331,0.7390584215556606,2.592358479088621,7.2610621169054035,-0.10870578091712625,0.030565022540146217,59.02192242833052,100.0,1.0971413570388178,1.2458159126712312,2.0
Profuturo,MEDIA_MOVIL_20,entrenamiento,1757,0.8315434391467089,0.6359522193068012,1.7565905505768222,7.8132697405827845,-8.771677171865884e-05,0.2831760104465715,61.46841206602163,100.0,0.8444054026320181,1.5231976779421796,2.0
Profuturo,MEDIA_MOVIL_20,validacion,593,0.8709524714827231,0.645380349953717,1.8759680784908195,5.598515382346969,0.0014084438058252241,0.25913235954440056,59.02192242833052,100.0,0.8412410293274828,-3.5318584233810744,4.0
