afp,modelo,esquema_rezago,variable,coef_estandarizado,coef_original,coef_abs_estandarizado
Habitat,M2_hibrido,lag0_1_2,vix_x_rv_total_lag0,-0.0001782926325727176,-0.0026856197436262476,0.0001782926325727176
Habitat,M2_hibrido,lag0_1_2,peru_lag2,0.00015190107320195198,0.010909060950941725,0.00015190107320195198
Habitat,M2_hibrido,lag0_1_2,tesoro_usa_lag0,-0.00014905408793588606,-0.016146061208905615,0.00014905408793588606
Habitat,M2_hibrido,lag0_1_2,cobre_lag0,0.00014254552623070156,0.006578539008041874,0.00014254552623070156
Habitat,M2_hibrido,lag0_1_2,peru_x_rv_local_lag2,0.00013576768037924862,0.02810535023764936,0.00013576768037924862
Habitat,M2_hibrido,lag0_1_2,tesoro_usa_lag1,-0.0001234991413196606,-0.013378729356770248,0.0001234991413196606
Habitat,M2_hibrido,lag0_1_2,credito_hy_lag1,0.00012084657979333818,0.02311786712787761,0.00012084657979333818
Habitat,M2_hibrido,lag0_1_2,emergentes_x_rv_ext_lag1,0.00011275678844005306,0.01829735162289001,0.00011275678844005306
Habitat,M2_hibrido,lag0_1_2,credito_hy_x_rf_ext_lag0,0.00011232495820139581,2.3983924437803372,0.00011232495820139581
Habitat,M2_hibrido,lag0_1_2,emergentes_lag1,9.839117189308512e-05,0.007869649412079342,9.839117189308512e-05
Habitat,M2_hibrido,lag0_1_2,credito_ig_x_rf_ext_lag0,-8.107611062199357e-05,-1.3204142446698628,8.107611062199357e-05
Habitat,M2_hibrido,lag0_1_2,emergentes_x_rv_ext_lag2,-7.304471998038313e-05,-0.011853165952728164,7.304471998038313e-05
Habitat,M2_hibrido,lag0_1_2,fx_usdpen_lag2,-6.694153689547725e-05,-0.005249694638198335,6.694153689547725e-05
Habitat,M2_hibrido,lag0_1_2,cobre_x_rv_total_lag0,5.527945516488994e-05,0.0032303638816999374,5.527945516488994e-05
Habitat,M2_hibrido,lag0_1_2,tesoro_x_rf_ext_lag0,-4.6843086092417394e-05,-0.39122890431549273,4.6843086092417394e-05
