periodo,fecha_cartera,archivo,fila_excel_aprox,Habitat,Integra,Prima,Profuturo,pct_Habitat,pct_Integra,pct_Prima,pct_Profuturo,entidad_administradora,isin,instrumento_sin_isin,moneda,estado_refinado,nombre_final,monto_vector_total,es_isin,es_moneda_suelta,activo_jerarquia,es_subtotal_jerarquico,id_relacion_padre,iteracion_eliminacion
2021-08,2021-08-31,CA-0001-ag2021.XLS,271,0.0,7124.929037928,0.0,0.0,,0.1347516634649096,,,PineBridge inve,IE0030395846,,USD,isin,IE0030395846,7124.929037928,True,False,True,False,,
2021-08,2021-08-31,CA-0001-ag2021.XLS,272,0.0,32032.983855091697,0.0,0.0,,0.6058302949040293,,,PineBridge inve,IE00B0JY6L58,,USD,isin,IE00B0JY6L58,32032.983855091697,True,False,True,False,,
2021-08,2021-08-31,CA-0001-ag2021.XLS,273,0.0,0.0,48278.9000418918,0.0,,,1.094922627044881,,PineBridge inve,IE0030395952,,JPY,isin,IE0030395952,48278.9000418918,True,False,True,False,,
2021-08,2021-08-31,CA-0001-ag2021.XLS,274,0.0,0.0,21075.494678437502,0.0,,,0.4779735242427235,,PineBridge inve,IE0003895277,,USD,isin,IE0003895277,21075.494678437502,True,False,True,False,,
2021-08,2021-08-31,CA-0001-ag2021.XLS,276,12924.3732451848,0.0,0.0,0.0,0.7768926546304735,,,,Wellington Luxe,LU0050381036,,USD,isin,LU0050381036,12924.3732451848,True,False,True,False,,
2021-08,2021-08-31,CA-0001-ag2021.XLS,278,0.0,0.0,0.0,51966.5464571685,,,,1.2406869381656118,Amundi Asset,LU0729060128,,USD,isin,LU0729060128,51966.5464571685,True,False,True,False,,
2021-08,2021-08-31,CA-0001-ag2021.XLS,286,7529.8727258268,0.0,0.0,0.0,0.4526256476828899,,,,JP MORGAN ASSET,LU0248044025,,USD,isin,LU0248044025,7529.8727258268,True,False,True,False,,
2021-08,2021-08-31,CA-0001-ag2021.XLS,288,6911.000553636,0.0,0.0,0.0,0.4154248306212681,,,,JP MORGAN ASSET,LU0248053877,,USD,isin,LU0248053877,6911.000553636,True,False,True,False,,
2021-08,2021-08-31,CA-0001-ag2021.XLS,289,0.0,0.0,24018.9675,0.0,,,0.5447288768216746,,JP MORGAN ASSET,LU0318933560,,USD,isin,LU0318933560,24018.9675,True,False,True,False,,
2021-08,2021-08-31,CA-0001-ag2021.XLS,293,11152.0349775,0.0,0.0,0.0,0.670356224927949,,,,First Trust Adv,US33733E3027,,USD,isin,US33733E3027,11152.0349775,True,False,True,False,,
2021-08,2021-08-31,CA-0001-ag2021.XLS,299,154.6632760683,0.0,0.0,0.0,0.0092969121859208,,,,Deutsche Asset,LU1769937829,,EUR,isin,LU1769937829,154.6632760683,True,False,True,False,,
2021-08,2021-08-31,CA-0001-ag2021.XLS,302,0.0,0.0,0.0002021432,0.0,,,4.584428464426672e-09,,Aberdeen GS,LU0132414144,,USD,isin,LU0132414144,0.0002021432,True,False,True,False,,
2021-08,2021-08-31,CA-0001-ag2021.XLS,305,0.0,0.0,0.0,0.0756599487,,,,1.8063603701612035e-06,Aberdeen GS,LU1130125799,,USD,isin,LU1130125799,0.0756599487,True,False,True,False,,
2021-08,2021-08-31,CA-0001-ag2021.XLS,307,0.0,0.0,0.0,683.0513595583,,,,0.0163076624804907,Invesco Managem,LU1240965456,,EUR,isin,LU1240965456,683.0513595583,True,False,True,False,,
