afp,familia,modelo,parametros,val_mae,val_rmse,val_r2,val_mape_5d_pct,val_p90_5d_pct,estado,seleccionado_familia
Integra,EW_RIDGE,EW_RIDGE_HL120_A10,"{""alpha"": 10.0, ""half_life"": 120}",0.003377289817493856,0.005516602803696865,0.16459931455133558,0.6839972081339212,1.4035230837785173,CORRECTO,False
Integra,EW_RIDGE,EW_RIDGE_HL250_A0.001,"{""alpha"": 0.001, ""half_life"": 250}",0.0034354861370602093,0.005549724999713386,0.1545375523452327,0.6824334203642763,1.4091143523404481,CORRECTO,False
Integra,EW_RIDGE,EW_RIDGE_HL250_A0.1,"{""alpha"": 0.1, ""half_life"": 250}",0.0034354005611446203,0.005549680590400453,0.15455108319809052,0.6824434853692735,1.4092046314800921,CORRECTO,False
Integra,EW_RIDGE,EW_RIDGE_HL250_A10,"{""alpha"": 10.0, ""half_life"": 250}",0.0034276971051627183,0.005545599278503416,0.1557941356147472,0.6834815786019534,1.4176989259546606,CORRECTO,False
Integra,EW_RIDGE,EW_RIDGE_HL500_A0.001,"{""alpha"": 0.001, ""half_life"": 500}",0.003436865191302463,0.0055562629984249315,0.15254434065287614,0.6890250928177625,1.4110804284029488,CORRECTO,False
Integra,EW_RIDGE,EW_RIDGE_HL500_A0.1,"{""alpha"": 0.1, ""half_life"": 500}",0.003436827495730928,0.005556248255114528,0.15254883802287655,0.6890307433312246,1.411048777588575,CORRECTO,False
Integra,EW_RIDGE,EW_RIDGE_HL500_A10,"{""alpha"": 10.0, ""half_life"": 500}",0.0034331798128015728,0.005554842715822881,0.15297753565996164,0.6895941639689986,1.4099005442292614,CORRECTO,False
Prima,ARIMAX,ARIMAX_000,"{""order"": [0, 0, 0]}",0.0031179877235206505,0.004359679950646402,0.20091391128204505,0.6553415286629545,1.4170389770448741,CORRECTO,True
Prima,ARIMAX,ARIMAX_100,"{""order"": [1, 0, 0]}",0.0030950985110353266,0.004320064044157687,0.2153703349464069,0.6564195344982034,1.4191852869629356,CORRECTO,False
Prima,ARIMAX,ARIMAX_200,"{""order"": [2, 0, 0]}",0.0030799489932536693,0.004320914946665638,0.21506121494529018,0.6581796235681254,1.4057739970792127,CORRECTO,False
Prima,ARIMAX,ARIMAX_101,"{""order"": [1, 0, 1]}",0.003082723391524377,0.0043158888905727956,0.2168862228102274,0.655802736419435,1.3919503338268286,CORRECTO,False
Prima,ROLLING_RIDGE,ROLLING_RIDGE_W120_A0.001,"{""alpha"": 0.001, ""ventana"": 120}",0.0030859877057651587,0.004251870524301556,0.23994605821889015,0.6341112713047087,1.3324455032370437,CORRECTO,False
Prima,ROLLING_RIDGE,ROLLING_RIDGE_W120_A0.1,"{""alpha"": 0.1, ""ventana"": 120}",0.003085342708431235,0.004251360081081112,0.24012853841987136,0.6341128383648025,1.333045292183895,CORRECTO,False
Prima,ROLLING_RIDGE,ROLLING_RIDGE_W120_A10,"{""alpha"": 10.0, ""ventana"": 120}",0.003047755633990686,0.004231200141459062,0.24731806894730068,0.6369214536223853,1.341314867408881,CORRECTO,False
Prima,ROLLING_RIDGE,ROLLING_RIDGE_W250_A0.001,"{""alpha"": 0.001, ""ventana"": 250}",0.003156291906273665,0.004352571841813391,0.20351747877543458,0.6506731909618997,1.3603937667212729,CORRECTO,False
Prima,ROLLING_RIDGE,ROLLING_RIDGE_W250_A0.1,"{""alpha"": 0.1, ""ventana"": 250}",0.00315607978499694,0.004352268991116963,0.2036283129687192,0.650653566093542,1.3598474340260025,CORRECTO,False
Prima,ROLLING_RIDGE,ROLLING_RIDGE_W250_A10,"{""alpha"": 10.0, ""ventana"": 250}",0.00314024097507096,0.004330477901132326,0.2115829514847294,0.6495984771489396,1.376434557871269,CORRECTO,False
Prima,ROLLING_RIDGE,ROLLING_RIDGE_W500_A0.001,"{""alpha"": 0.001, ""ventana"": 500}",0.0031569354697338755,0.004341393325279797,0.20760336644505062,0.6537373729196132,1.4093690866648432,CORRECTO,False
Prima,ROLLING_RIDGE,ROLLING_RIDGE_W500_A0.1,"{""alpha"": 0.1, ""ventana"": 500}",0.0031568805769046967,0.004341350260586706,0.2076190868122345,0.6537331465671273,1.4093909375179303,CORRECTO,False
Prima,ROLLING_RIDGE,ROLLING_RIDGE_W500_A10,"{""alpha"": 10.0, ""ventana"": 500}",0.00315221408144039,0.004338038356233786,0.20882759966493325,0.6534584062997123,1.4119528656684313,CORRECTO,False
Prima,ROLLING_RIDGE,ROLLING_RIDGE_W1000_A0.001,"{""alpha"": 0.001, ""ventana"": 1000}",0.0032052347926626945,0.004350232143388496,0.20437353726396978,0.6203992332859596,1.3230486487871447,CORRECTO,True
Prima,ROLLING_RIDGE,ROLLING_RIDGE_W1000_A0.1,"{""alpha"": 0.1, ""ventana"": 1000}",0.0032052047171285615,0.0043502297470453125,0.20437441381191634,0.6204063214744696,1.3229875929989214,CORRECTO,False
Prima,ROLLING_RIDGE,ROLLING_RIDGE_W1000_A10,"{""alpha"": 10.0, ""ventana"": 1000}",0.003202326662513558,0.0043501275010652445,0.20441181347425819,0.6210865099058901,1.317440824189005,CORRECTO,False
Prima,EW_RIDGE,EW_RIDGE_HL60_A0.001,"{""alpha"": 0.001, ""half_life"": 60}",0.0030789734467383113,0.004253772488836477,0.2392659251063789,0.6372179534598178,1.362769079190956,CORRECTO,False
Prima,EW_RIDGE,EW_RIDGE_HL60_A0.1,"{""alpha"": 0.1, ""half_life"": 60}",0.0030780896201249987,0.00425319757190304,0.2394715446345096,0.6371918922976829,1.3629862355864881,CORRECTO,False
Prima,EW_RIDGE,EW_RIDGE_HL60_A10,"{""alpha"": 10.0, ""half_life"": 60}",0.0030448118267074197,0.004239235145483332,0.24445668470701254,0.6385346466332822,1.3535125356545041,CORRECTO,False
Prima,EW_RIDGE,EW_RIDGE_HL120_A0.001,"{""alpha"": 0.001, ""half_life"": 120}",0.0030916460097293653,0.004267214196552609,0.23445056591747004,0.6349382679628207,1.3422245008548443,CORRECTO,False
Prima,EW_RIDGE,EW_RIDGE_HL120_A0.1,"{""alpha"": 0.1, ""half_life"": 120}",0.003091375492665584,0.004267051578358536,0.23450891306790012,0.6349327523209553,1.343107917669623,CORRECTO,False
Prima,EW_RIDGE,EW_RIDGE_HL120_A10,"{""alpha"": 10.0, ""half_life"": 120}",0.0030754569440927058,0.004259708615884505,0.23714123929731,0.6352142699610195,1.3471658768668209,CORRECTO,False
Prima,EW_RIDGE,EW_RIDGE_HL250_A0.001,"{""alpha"": 0.001, ""half_life"": 250}",0.0031166559231239526,0.004285060892693232,0.22803368699945215,0.6292545652608367,1.339677791753391,CORRECTO,True
Prima,EW_RIDGE,EW_RIDGE_HL250_A0.1,"{""alpha"": 0.1, ""half_life"": 250}",0.003116580268141327,0.004285035875349397,0.228042700869168,0.6292566157984112,1.3400054152079965,CORRECTO,False
