escenario,variante_confianza,periodo,fecha_cartera,afp,estado_cobertura,error_cobertura_pct,factor_reescala,peso_exterior_total,peso_total_fondo_total,peso_publico_modelado,peso_no_publico_o_no_mapeado,peso_excluido_confianza,ACWI,SPY,QQQ,EEM,ILF,EPU,VGK,EWJ,MCHI,XLK,XLF,XLE,XLB,XLI,XLV,XLY,XLP,GLD,CPER,COPX,TLT,LQD,HYG,PRIVATE_ALTERNATIVES,RESIDUAL_NO_MAPEADO,PESO_EXCLUIDO_POR_CONFIANZA,peso_total_reconstruido,diferencia_control,estado_control,fecha_disponible,siguiente_fecha_disponible,fecha_fin_por_antiguedad,fecha_fin_validez,dias_ventana,ventana_utilizable
ampliado_15pct,alta_media,2016-05,2016-05-31,Habitat,operativo,2.3454200927128577,1.024017512490859,0.9999999999999987,0.5801234601852022,0.4967058217317085,0.0834176384534937,0.0,0.0,0.2239421745610434,0.0,0.036960756964816696,0.0,0.0,0.1670620946382357,0.0650498058059016,0.0036909897617111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0834176384534937,0.0,0.5801234601852022,0.0,correcto,2016-07-15,2016-08-14,2016-08-14,2016-08-13,30,True
ampliado_15pct,alta_media,2016-06,2016-06-30,Habitat,ampliado,5.200248595295475,1.0548550868355695,0.9999999999999984,0.6012283199211919,0.5020489114519582,0.0991794084692337,0.0,0.0,0.2258850134740018,0.0,0.047183335584147,0.0,0.0,0.1469935298114995,0.0783746602297197,0.0036123723525902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0991794084692337,0.0,0.6012283199211919,0.0,correcto,2016-08-14,2016-09-12,2016-09-13,2016-09-11,29,True
ampliado_15pct,alta_media,2016-07,2016-07-29,Habitat,operativo,2.1164216019519344,1.0216218249944378,0.9999999999999987,0.5971871974181039,0.5082896825053687,0.0888975149127353,0.0,0.0,0.20601173605626222,0.0,0.0583965036446356,0.0,0.0,0.1612049285833437,0.0793883575832192,0.0032881566379079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0888975149127353,0.0,0.597187197418104,1.1102230246251565e-16,correcto,2016-09-12,2016-10-15,2016-10-12,2016-10-12,31,True
ampliado_15pct,alta_media,2016-08,2016-08-31,Habitat,operativo,3.2715521047872564,1.0338220262598583,0.9999999999999986,0.5823224512695486,0.49134066352002154,0.090981787749527,0.0,0.0,0.2045840599845853,0.0,0.051376632912856005,0.0,0.0,0.16332562733439981,0.0645089451215464,0.0067045979774781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000840800189156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090981787749527,0.0,0.5823224512695485,-1.1102230246251565e-16,correcto,2016-10-15,2016-11-14,2016-11-14,2016-11-13,30,True
ampliado_15pct,alta_media,2016-09,2016-09-30,Habitat,operativo,4.507371350834188,1.0472012490869216,0.9999999999999986,0.6084299663933238,0.5174697462442821,0.0909602201490417,0.0,0.0,0.1946399527490234,0.0,0.0718042911739804,0.0,0.0,0.177013446463021,0.06639712883581089,0.0067998987843122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008150282381342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909602201490417,0.0,0.6084299663933238,0.0,correcto,2016-11-14,2016-12-15,2016-12-14,2016-12-14,31,True
ampliado_15pct,alta_media,2016-10,2016-10-31,Habitat,estricto,0.7602997843237258,1.0076612462821972,0.9999999999999984,0.5961385044706171,0.4766962614279251,0.11944224304269199,0.0,0.0,0.19078553054649372,0.0,0.053647282103839705,0.0,0.0,0.1629099364047085,0.06306506746315549,0.0062884449097277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11944224304269199,0.0,0.5961385044706171,0.0,correcto,2016-12-15,2017-01-14,2017-01-14,2017-01-13,30,True
ampliado_15pct,alta_media,2016-11,2016-11-30,Habitat,estricto,0.8362746628095663,1.0084332719446143,0.9999999999999983,0.5865203861096094,0.4797828974187621,0.1067374886908474,0.0,0.0,0.2039295859760887,0.0,0.0314523840255109,0.0,0.0,0.16332423417712819,0.06688800512054349,0.005916623189593,0.0,0.0026840226268501,0.0,0.0,0.0,0.0040688399875003,0.0010166187805775,0.0005025835349699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1067374886908474,0.0,0.5865203861096095,1.1102230246251565e-16,correcto,2017-01-14,2017-02-13,2017-02-13,2017-02-12,30,True
ampliado_15pct,alta_media,2016-12,2016-12-30,Habitat,operativo,2.221730850909132,1.0227221331512983,0.9999999999999987,0.5857024258006205,0.487229809335616,0.0984726164650045,0.0,0.0,0.1874474555682395,0.0,0.0365411043845355,0.0,0.0,0.1750660392037436,0.0829014018175139,0.0052738083615834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0984726164650045,0.0,0.5857024258006205,0.0,correcto,2017-02-13,2017-03-17,2017-03-15,2017-03-15,31,True
ampliado_15pct,alta_media,2017-01,2017-01-31,Habitat,estricto,1.9681394548540447,1.020076528629666,0.9999999999999984,0.6194516731937079,0.4918769212764943,0.1205450540537339,0.0070296978634796,0.0,0.1686213995664739,0.0,0.049648484809179896,0.0,0.0,0.1771253794339958,0.0833641920824344,0.0053567200752987,0.0,0.0077607453091116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1205450540537339,0.0070296978634796,0.6194516731937079,0.0,correcto,2017-03-17,2017-04-14,2017-04-16,2017-04-13,28,True
ampliado_15pct,alta_media,2017-02,2017-02-28,Habitat,operativo,4.759443746880288,1.0499728680104636,0.9999999999999979,0.6363896862838454,0.5003899292545977,0.1148967518134718,0.0211030052157759,0.0,0.1790185448134584,0.0,0.057375134008231105,0.0,0.0,0.1620004298759723,0.09073972300078939,0.0053126259449202,0.0,0.0059434716112263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1148967518134718,0.0211030052157759,0.6363896862838454,0.0,correcto,2017-04-14,2017-05-15,2017-05-14,2017-05-14,31,True
ampliado_15pct,alta_media,2017-03,2017-03-31,Habitat,estricto,1.63072380549818,1.0165775724757171,0.9999999999999983,0.6150393742852989,0.4812474108827827,0.11164442127927253,0.0221475421232435,0.0,0.1580756329266152,0.0,0.0691417637294683,0.0,0.0,0.1582925771074095,0.0907787028503453,0.0049587342689445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11164442127927253,0.0221475421232435,0.6150393742852988,-1.1102230246251565e-16,correcto,2017-05-15,2017-06-12,2017-06-14,2017-06-11,28,True
ampliado_15pct,alta_media,2017-04,2017-04-28,Habitat,operativo,2.167831908042161,1.0221586820605315,0.999999999999998,0.6239349896418939,0.4934906414417119,0.10725951039753223,0.0231848378026497,0.0,0.1490706421643689,0.0,0.0725986473221186,0.0,0.0,0.17240566009165198,0.0855219914699757,0.0096886723853806,0.0,0.0042050280082161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10725951039753223,0.0231848378026497,0.6239349896418939,0.0,correcto,2017-06-12,2017-07-15,2017-07-12,2017-07-12,31,True
ampliado_15pct,alta_media,2017-05,2017-05-31,Habitat,estricto,1.4117736095274225,1.0143199006738988,0.9999999999999982,0.6169758283578137,0.49712186841400907,0.09662173781696268,0.0232322221268419,0.0,0.1437181014671942,0.0,0.0767333228206282,0.0,0.0,0.1765933750194221,0.08624232731287271,0.0138347417938919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09662173781696268,0.0232322221268419,0.6169758283578137,0.0,correcto,2017-07-15,2017-08-14,2017-08-14,2017-08-13,30,True
