escenario,afp,periodo_anterior,periodo_actual,salto_meses,turnover_mensual,solapamiento_pesos,identificadores_nuevos,identificadores_salientes,comparacion_consecutiva
ampliado_15pct,Habitat,2023-10,2023-11,1,0.28619238080322573,0.7138076191967694,8,8,True
ampliado_15pct,Habitat,2023-11,2023-12,1,0.25699776714468014,0.743002232855315,4,7,True
ampliado_15pct,Habitat,2023-12,2024-01,1,0.24992477407413866,0.7500752259258566,4,6,True
ampliado_15pct,Habitat,2024-01,2024-02,1,0.23774906083811595,0.7622509391618796,5,7,True
ampliado_15pct,Habitat,2024-02,2024-03,1,0.2770666855411929,0.7229333144588028,10,6,True
ampliado_15pct,Habitat,2024-03,2024-04,1,0.23571611261810607,0.7642838873818892,5,6,True
ampliado_15pct,Habitat,2024-04,2024-05,1,0.15863400018937815,0.8413659998106171,5,5,True
ampliado_15pct,Habitat,2024-05,2024-06,1,0.2289888226947038,0.7710111773052917,6,9,True
ampliado_15pct,Habitat,2024-06,2024-07,1,0.23985318659231997,0.7601468134076752,7,9,True
ampliado_15pct,Habitat,2024-07,2024-08,1,0.1908592897767597,0.8091407102232356,2,3,True
ampliado_15pct,Habitat,2024-08,2024-09,1,0.11370367517464441,0.8862963248253513,2,9,True
ampliado_15pct,Habitat,2024-09,2024-10,1,0.16232426617792156,0.837675733822074,6,4,True
ampliado_15pct,Habitat,2024-10,2024-11,1,0.1344420889158194,0.8655579110841761,4,5,True
ampliado_15pct,Habitat,2024-11,2024-12,1,0.11386156884699315,0.8861384311530027,0,4,True
ampliado_15pct,Habitat,2024-12,2025-01,1,0.06606459071698528,0.933935409283011,3,0,True
ampliado_15pct,Habitat,2025-01,2025-02,1,0.08350285081292773,0.916497149187068,3,3,True
ampliado_15pct,Habitat,2025-02,2025-03,1,0.1375525328942107,0.8624474671057851,5,2,True
ampliado_15pct,Habitat,2025-03,2025-04,1,0.13191019969973436,0.8680898003002616,1,3,True
ampliado_15pct,Habitat,2025-04,2025-05,1,0.15789731504312207,0.8421026849568738,5,5,True
ampliado_15pct,Habitat,2025-05,2025-06,1,0.2553888270222914,0.7446111729777047,4,3,True
ampliado_15pct,Habitat,2025-06,2025-07,1,0.1490740620557316,0.8509259379442645,2,4,True
ampliado_15pct,Habitat,2025-07,2025-08,1,0.1266042963262375,0.8733957036737587,3,3,True
ampliado_15pct,Habitat,2025-08,2025-09,1,0.10371864119212326,0.8962813588078729,1,1,True
ampliado_15pct,Habitat,2025-09,2025-10,1,0.2109378892377315,0.7890621107622647,1,4,True
ampliado_15pct,Habitat,2025-10,2025-11,1,0.11922950892327981,0.8807704910767167,4,2,True
ampliado_15pct,Habitat,2025-11,2025-12,1,0.2374952499125113,0.7625047500874852,3,3,True
ampliado_15pct,Habitat,2025-12,2026-01,1,0.2266949676105065,0.7733050323894899,4,1,True
ampliado_15pct,Integra,2015-01,2015-02,1,0.11711323384315336,0.8828867661568435,1,0,True
ampliado_15pct,Integra,2015-02,2015-03,1,0.1508516119341482,0.8491483880658488,4,4,True
ampliado_15pct,Integra,2015-03,2015-04,1,0.07807592695936573,0.9219240730406314,0,2,True
ampliado_15pct,Integra,2015-04,2015-05,1,0.1269051826617706,0.8730948173382261,2,2,True
ampliado_15pct,Integra,2015-05,2015-06,1,0.053199982721101984,0.9468000172788947,0,2,True
ampliado_15pct,Integra,2015-06,2015-07,1,0.09934414134901022,0.9006558586509866,4,3,True
ampliado_15pct,Integra,2015-07,2015-08,1,0.23513333338324408,0.7648666666167532,1,8,True
ampliado_15pct,Integra,2015-08,2015-09,1,0.11707871588174094,0.8829212841182564,2,0,True
ampliado_15pct,Integra,2015-09,2015-10,1,0.09602932054044702,0.9039706794595499,4,1,True
ampliado_15pct,Integra,2015-10,2015-11,1,0.12942344155542945,0.8705765584445676,3,0,True
ampliado_15pct,Integra,2015-11,2015-12,1,0.19860404325730194,0.8013959567426953,5,5,True
ampliado_15pct,Integra,2015-12,2016-01,1,0.10694887418310091,0.8930511258168959,2,1,True
ampliado_15pct,Integra,2016-01,2016-02,1,0.09422984578428414,0.9057701542157125,1,6,True
ampliado_15pct,Integra,2016-02,2016-03,1,0.05229919699315884,0.947700803006838,1,2,True
ampliado_15pct,Integra,2016-03,2016-04,1,0.08299672008617708,0.9170032799138196,1,0,True
ampliado_15pct,Integra,2016-04,2016-05,1,0.10147344485186148,0.898526555148135,3,0,True
ampliado_15pct,Integra,2016-05,2016-06,1,0.07256279077217503,0.9274372092278214,0,0,True
ampliado_15pct,Integra,2016-06,2016-07,1,0.10044008186623195,0.8995599181337646,1,2,True
ampliado_15pct,Integra,2016-07,2016-08,1,0.10375853844719167,0.8962414615528048,14,2,True
ampliado_15pct,Integra,2016-08,2016-09,1,0.09394660352491879,0.9060533964750777,4,2,True
ampliado_15pct,Integra,2016-09,2016-10,1,0.07493378598045426,0.925066214019542,1,3,True
ampliado_15pct,Integra,2016-10,2016-11,1,0.18079010614985894,0.8192098938501374,4,4,True
ampliado_15pct,Integra,2016-11,2016-12,1,0.06821689483839449,0.9317831051616021,1,1,True
