afp,identificador_final,tipo_identificador,isin,entidad_administradora,moneda_normalizada,primera_fecha,ultima_fecha,meses_presentes,peso_mediano_exterior,peso_promedio_exterior,peso_maximo_exterior,peso_mediano_total_fondo,escenario,meses_elegibles_afp,persistencia_pct
Habitat,CL0002535525,isin,CL0002535525,MONEDA,USD,2019-08-30,2020-03-31,8,0.00823183483112745,0.008257137292582475,0.0094894213514006,0.0042578675756368995,principal_5pct,124,6.451612903225806
Habitat,CL0002535566,isin,CL0002535566,Moneda S.A. AGF,USD,2020-02-28,2022-08-31,27,0.0074877727271251,0.006598075289942152,0.0097448059407678,0.0038131549404463,principal_5pct,124,21.774193548387096
Habitat,CL0002839505,isin,CL0002839505,República de Chile,CLP,2024-05-31,2024-06-28,2,0.0095222207179935,0.0095222207179935,0.0096097277913115,0.0044850646722758,principal_5pct,124,1.6129032258064515
Habitat,CL0002935048,isin,CL0002935048,República de Chile,CLP,2024-05-31,2024-05-31,1,0.0095626869229016,0.0095626869229016,0.0095626869229016,0.0045348480963121,principal_5pct,124,0.8064516129032258
Habitat,COL17CT02914,isin,COL17CT02914,GOB COL,COP,2020-05-29,2022-05-31,3,0.0086757505705489,0.009596275947962933,0.0120452639831281,0.0040641861707967,principal_5pct,124,2.4193548387096775
Habitat,COL17CT03615,isin,COL17CT03615,GOB COL,COP,2020-05-29,2020-06-30,2,0.0022494497735503,0.0022494497735503,0.002340277561754,0.00107214186896125,principal_5pct,124,1.6129032258064515
Habitat,COL17CT03722,isin,COL17CT03722,GOB COL,COP,2023-07-31,2024-03-29,5,0.0132738246600781,0.01311134237539778,0.0136847405926472,0.0064077352171188,principal_5pct,124,4.032258064516129
Habitat,COL17CT03722,isin,COL17CT03722,República de Colombia,COP,2024-04-30,2024-05-31,2,0.01282715803275515,0.01282715803275515,0.0134751192743061,0.0059932320229629,principal_5pct,124,1.6129032258064515
Habitat,COL17CT03813,isin,COL17CT03813,GOB COL,COP,2023-06-30,2024-03-29,6,0.0293568087488255,0.0265077947518238,0.0366453526019947,0.0144245269923946,principal_5pct,124,4.838709677419355
Habitat,COL17CT03813,isin,COL17CT03813,República de Colombia,COP,2024-04-30,2024-05-31,2,0.0070701919918967,0.0070701919918967,0.0102749903084682,0.0032844484029064,principal_5pct,124,1.6129032258064515
Habitat,COL17CT03862,isin,COL17CT03862,GOB COL,COP,2023-07-31,2023-11-30,4,0.0013673137460018,0.0013981768424174501,0.0015743749956978,0.0006855080121613,principal_5pct,124,3.225806451612903
Habitat,FR0010589325,isin,FR0010589325,GRAM,EUR,2017-01-31,2024-03-29,78,0.02334512541304435,0.022976324611792713,0.0467993344194202,0.01279138169640735,principal_5pct,124,62.903225806451616
Habitat,FR0010589325,isin,FR0010589325,GRAM,SIN_DATO,2018-03-30,2018-03-30,1,0.0249144352099411,0.0249144352099411,0.0249144352099411,0.0152265119738709,principal_5pct,124,0.8064516129032258
Habitat,FR0010589325,isin,FR0010589325,Groupama Asset Management,EUR,2024-04-30,2026-01-30,22,9.471565841018344e-07,0.0015569392192847505,0.0054020211249639,4.963573589314105e-07,principal_5pct,124,17.741935483870968
Habitat,FR0013185550,isin,FR0013185550,Lazard Freres,USD,2018-08-31,2021-09-30,37,0.0211575232084964,0.018659109736329,0.0306384726199818,0.0102715994544234,principal_5pct,124,29.838709677419356
Habitat,Fortress Real Estate Opportunities Fund III (C) L.P.,fondo_sin_isin,,FRO Fund III,USD,2019-09-30,2024-03-29,47,0.0036017810421545,0.004183908274649407,0.0086546450737428,0.0017538942400203,principal_5pct,124,37.903225806451616
Habitat,Fortress Real Estate Opportunities Fund III (C) L.P.,fondo_sin_isin,,FRO Fund III GP LLC,USD,2024-04-30,2026-01-30,22,0.00568123374860275,0.004981936495629004,0.0065228225256111,0.0028011529391757497,principal_5pct,124,17.741935483870968
Habitat,GB0030810021,isin,GB0030810021,THREADNEEDLE IN,EUR,2015-08-31,2019-12-31,51,0.018732411212441,0.016921021155534254,0.0464020788237406,0.0116878067958021,principal_5pct,124,41.12903225806452
Habitat,GB0030810021,isin,GB0030810021,THREADNEEDLE IN,USD,2018-03-30,2018-03-30,1,0.0097201725456792,0.0097201725456792,0.0097201725456792,0.0059405048682709,principal_5pct,124,0.8064516129032258
Habitat,GB0033028001,isin,GB0033028001,Invesco Fund,GBP,2017-12-29,2019-12-31,24,0.00011527656918255001,0.0027663625932336966,0.0276446027595887,6.439866650876516e-05,principal_5pct,124,19.35483870967742
Habitat,GB0033028001,isin,GB0033028001,Invesco Fund,SIN_DATO,2018-03-30,2018-03-30,1,0.0053493831397531,0.0053493831397531,0.0053493831397531,0.0032692872924437,principal_5pct,124,0.8064516129032258
Habitat,GB0033031153,isin,GB0033031153,Invesco Fund,GBP,2022-09-30,2024-03-29,15,0.004627018319454,0.0047561696142549995,0.0061751589082834,0.0023367169474942,principal_5pct,124,12.096774193548388
Habitat,GB0033031153,isin,GB0033031153,Invesco Fund Managers Limited,GBP,2024-04-30,2026-01-30,22,0.004419778299168901,0.0043847888388281,0.0056632938220488,0.00223732369261305,principal_5pct,124,17.741935483870968
Habitat,GB00B0119487,isin,GB00B0119487,Man Fund Manag,GBP,2019-07-31,2024-03-29,49,0.0089658873773923,0.009763037761963009,0.0205884581767649,0.0047850995893503,principal_5pct,124,39.516129032258064
Habitat,GB00B0119487,isin,GB00B0119487,Man Fund Management UK Limited,GBP,2024-04-30,2026-01-30,22,0.0011498608240968,0.0011339279300195454,0.0015491962546223,0.00059138748943985,principal_5pct,124,17.741935483870968
Habitat,GB00B5TGB445,isin,GB00B5TGB445,Jupiter Unit,GBP,2020-03-31,2020-05-29,2,0.0313577074107197,0.0313577074107197,0.0365164799267681,0.015250440189587749,principal_5pct,124,1.6129032258064515
Habitat,GB00B8JYLC77,isin,GB00B8JYLC77,Legg Mason Inv,GBP,2021-02-26,2022-08-31,16,0.0085013952769622,0.006700235676390281,0.0104138238697181,0.0044193004268296004,principal_5pct,124,12.903225806451612
Habitat,GB00BKPQVT86,isin,GB00BKPQVT86,LionTrust Europ,GBP,2023-01-31,2024-03-29,11,0.0056274361345406,0.0070629622067163176,0.0107710239127554,0.0027151628517958,principal_5pct,124,8.870967741935484
Habitat,GB00BKPQVT86,isin,GB00BKPQVT86,LionTrust European Dynamic,GBP,2024-04-30,2024-11-29,8,0.0060403376896677,0.006023662107470475,0.006685243342391,0.00281136875116415,principal_5pct,124,6.451612903225806
Habitat,GB00BKPQVT86,isin,GB00BKPQVT86,LionTrust Fund Partners LLP,GBP,2025-12-31,2026-01-30,2,0.00458225917057425,0.00458225917057425,0.0046586287999334,0.0025491917417897,principal_5pct,124,1.6129032258064515
Habitat,GB00BKPQVT86,isin,GB00BKPQVT86,Liontrust Fund Partners LLP,GBP,2025-01-31,2025-11-28,11,0.0050585444122178,0.005006098138371345,0.0055577918814133,0.0027761181899155,principal_5pct,124,8.870967741935484
Habitat,GB00BKPQVT86,isin,GB00BKPQVT86,Liontrust Fund Partners LLP *,GBP,2024-12-31,2024-12-31,1,0.0051813795790772,0.0051813795790772,0.0051813795790772,0.0026589743028068,principal_5pct,124,0.8064516129032258
Habitat,GB00BZ0FTN58,isin,GB00BZ0FTN58,M&G,SIN_DATO,2018-03-30,2018-03-30,1,0.0132103710573843,0.0132103710573843,0.0132103710573843,0.0080735473788416,principal_5pct,124,0.8064516129032258
Habitat,GB00BZ0FTN58,isin,GB00BZ0FTN58,M&G,USD,2018-04-30,2018-11-30,8,0.0067046573728715,0.007481392085657338,0.0128222207959174,0.0038905339171111004,principal_5pct,124,6.451612903225806
Habitat,GB00BZ2YND85,isin,GB00BZ2YND85,Jupiter Unit,GBP,2022-10-31,2024-03-29,14,0.00968033056302365,0.010126491344147063,0.0136984374135072,0.0047670078048497,principal_5pct,124,11.29032258064516
Habitat,GB00BZ2YND85,isin,GB00BZ2YND85,Jupiter Unit Trust Managers Limited,GBP,2024-04-30,2026-01-30,22,0.00918409911647995,0.008039891010932236,0.0123154273726402,0.0048113855507590005,principal_5pct,124,17.741935483870968
Habitat,IE0002420739,isin,IE0002420739,PIMCO,SIN_DATO,2018-03-30,2018-03-30,1,0.0013212683144832,0.0013212683144832,0.0013212683144832,0.0008074960416179,principal_5pct,124,0.8064516129032258
Habitat,IE0002420739,isin,IE0002420739,PIMCO,USD,2017-04-28,2019-04-30,24,0.0012873156702235,0.0025595499649620707,0.0064681948357154,0.0007524736969176,principal_5pct,124,19.35483870967742
Habitat,IE0002459539,isin,IE0002459539,PIMCO,USD,2019-11-29,2020-08-31,9,0.0422665156262073,0.03289944791049462,0.0533596054995335,0.0204095141325961,principal_5pct,124,7.258064516129033
Habitat,IE0007292422,isin,IE0007292422,Vanguard Grp Ir,USD,2018-06-29,2020-01-31,20,0.0286425423768422,0.02554848962505561,0.0695588493134893,0.0159932511802153,principal_5pct,124,16.129032258064516
Habitat,IE0030395846,isin,IE0030395846,PineBridge inve,USD,2018-06-29,2020-02-28,21,0.0118099505099037,0.010696281287890814,0.0163493659126807,0.0066252643703303,principal_5pct,124,16.93548387096774
Habitat,IE0030759645,isin,IE0030759645,PIMCO,JPY,2018-03-30,2018-03-30,1,0.0014133255976943,0.0014133255976943,0.0014133255976943,0.0008637570530872,principal_5pct,124,0.8064516129032258
Habitat,IE0030759645,isin,IE0030759645,PIMCO,USD,2017-09-29,2023-11-30,25,0.0029196261863842,0.004021608978706396,0.0107028871482815,0.0017633716311757,principal_5pct,124,20.161290322580644
Habitat,IE00B02JYG83,isin,IE00B02JYG83,Vanguard Grp Ir,USD,2018-07-31,2020-01-31,19,0.0006622497907202,0.0038136828241359527,0.0335813501276185,0.0003748898883356,principal_5pct,124,15.32258064516129
Habitat,IE00B138F130,isin,IE00B138F130,Russell Investm,EUR,2018-08-31,2020-03-31,20,0.01894647598136415,0.021805696946806254,0.0320947725884073,0.0115632606521873,principal_5pct,124,16.129032258064516
Habitat,IE00B29K0P99,isin,IE00B29K0P99,PIMCO,USD,2023-08-31,2024-03-29,4,0.00459947448759855,0.004694202513005575,0.0052402209776145,0.0022722410136933498,principal_5pct,124,3.225806451612903
Habitat,IE00B29K0P99,isin,IE00B29K0P99,PIMCO Global Advisors (Ireland) Limited,USD,2024-04-30,2026-01-30,22,0.0022567518010708897,0.010383202838207187,0.0304012577262193,0.0010702047197477253,principal_5pct,124,17.741935483870968
Habitat,IE00B3CTFW21,isin,IE00B3CTFW21,GAM Internation,EUR,2015-09-30,2023-09-29,91,0.0124996765635361,0.018568653019016567,0.045481982099389,0.0061158744859129,principal_5pct,124,73.38709677419355
Habitat,IE00B3CTFW21,isin,IE00B3CTFW21,GAM Internation,USD,2018-03-30,2018-03-30,1,0.0260778377013003,0.0260778377013003,0.0260778377013003,0.0159375279698523,principal_5pct,124,0.8064516129032258
Habitat,IE00B3CTFW2X,isin,IE00B3CTFW2X,GAM Internation,EUR,2023-11-30,2024-03-29,2,0.00785617481029335,0.00785617481029335,0.0080755737115987,0.0037438000501274,principal_5pct,124,1.6129032258064515
Habitat,IE00B3CTFW2X,isin,IE00B3CTFW2X,GAM International Management Limited,EUR,2024-04-30,2026-01-30,22,8.008256669277735e-08,0.0037159957131357346,0.0094293791266393,4.1582892847352703e-08,principal_5pct,124,17.741935483870968
Habitat,IE00B3RW8498,isin,IE00B3RW8498,Nomura Asset Ma,SIN_DATO,2018-03-30,2018-03-30,1,0.0006561947580464,0.0006561947580464,0.0006561947580464,0.0004010348722092,principal_5pct,124,0.8064516129032258
Habitat,IE00B3RW8498,isin,IE00B3RW8498,Nomura Asset Ma,USD,2015-10-30,2020-07-31,49,0.0043292936466452,0.008381659190357913,0.0254506880363246,0.0025116595363485,principal_5pct,124,39.516129032258064
Habitat,IE00B3SHFF36,isin,IE00B3SHFF36,Nomura Asset Ma,USD,2019-10-31,2024-03-29,46,2.400225966905467e-05,0.0006835234131201295,0.0177048735377115,1.1909242934116719e-05,principal_5pct,124,37.096774193548384
Habitat,IE00B3SHFF36,isin,IE00B3SHFF36,Nomura Asset Management UK Ltd.,USD,2024-04-30,2026-01-30,22,0.008124020087835651,0.005492158371579427,0.0107372987484402,0.00437187575807,principal_5pct,124,17.741935483870968
Habitat,IE00B5769310,isin,IE00B5769310,GAM Internation,USD,2017-01-31,2019-04-30,28,0.02514959183409445,0.02378165965500611,0.0386384227635403,0.01551008775463535,principal_5pct,124,22.58064516129032
Habitat,IE00B59XD059,isin,IE00B59XD059,Muzinich,SIN_DATO,2015-02-27,2015-02-27,1,0.0142222718739568,0.0142222718739568,0.0142222718739568,0.0089913122537565,principal_5pct,124,0.8064516129032258
Habitat,IE00B59XD059,isin,IE00B59XD059,Muzinich,USD,2015-01-30,2017-04-28,14,0.01107069704601675,0.01144208939857495,0.0174843253307633,0.00727959098313935,principal_5pct,124,11.29032258064516
Habitat,IE00B5M4WH52,isin,IE00B5M4WH52,BlackRock AMIL,USD,2019-01-31,2019-12-31,6,0.0030298536953453003,0.003015991285672167,0.0055586803523273,0.00157966185232575,principal_5pct,124,4.838709677419355
Habitat,IE00B5N2XQ43,isin,IE00B5N2XQ43,Deutsche Asset,EUR,2018-03-30,2018-03-30,1,0.0088463153827448,0.0088463153827448,0.0088463153827448,0.005406445137727,principal_5pct,124,0.8064516129032258
Habitat,IE00B5N2XQ43,isin,IE00B5N2XQ43,Deutsche Asset,USD,2018-12-31,2019-11-29,2,0.02895392700680035,0.02895392700680035,0.0438184875987159,0.01686865888550115,principal_5pct,124,1.6129032258064515
Habitat,IE00BD065N65,isin,IE00BD065N65,Veritas AM,SIN_DATO,2018-03-30,2018-03-30,1,0.0171290364603212,0.0171290364603212,0.0171290364603212,0.0104684483740528,principal_5pct,124,0.8064516129032258
Habitat,IE00BD065N65,isin,IE00BD065N65,Veritas AM,USD,2017-12-29,2024-03-29,67,0.0082517281090973,0.00823403087487286,0.0165578855011884,0.0041444504388885,principal_5pct,124,54.03225806451613
Habitat,IE00BD065N65,isin,IE00BD065N65,Veritas Asset Management LLP,USD,2024-04-30,2026-01-30,22,0.0071678449133509,0.0074692838216616686,0.0092656144124704,0.0038198320857019998,principal_5pct,124,17.741935483870968
Habitat,IE00BD4GV785,isin,IE00BD4GV785,FRANKLIN TEMP,USD,2022-09-30,2024-03-29,15,4.1506483336008825e-08,0.0034587053191431185,0.0183846532981902,2.085669291448352e-08,principal_5pct,124,12.096774193548388
Habitat,IE00BD4GV785,isin,IE00BD4GV785,FRANKLIN TEMPLETON INTERNATIONAL SERVICES S.A,USD,2024-04-30,2026-01-30,22,3.7194939983213306e-08,3.640363692199864e-08,4.5502894034659794e-08,1.9085445813209606e-08,principal_5pct,124,17.741935483870968
Habitat,IE00BD9G0980,isin,IE00BD9G0980,Invesco Global,EUR,2018-01-31,2018-08-31,7,0.0226085020362798,0.0210431216631855,0.0249877553979291,0.0137110177959929,principal_5pct,124,5.64516129032258
Habitat,IE00BD9G0980,isin,IE00BD9G0980,Invesco Global,SIN_DATO,2018-03-30,2018-03-30,1,0.0266115111801328,0.0266115111801328,0.0266115111801328,0.0162636836923123,principal_5pct,124,0.8064516129032258
Habitat,IE00BGGJJ945,isin,IE00BGGJJ945,Baillie Gifford,USD,2022-02-28,2024-03-29,20,0.0001304863553238,0.00013634651920677797,0.0002395558780617,6.290770759078459e-05,principal_5pct,124,16.129032258064516
Habitat,IE00BGGJJ945,isin,IE00BGGJJ945,Baillie Gifford & Co Ltd,USD,2024-04-30,2024-09-30,6,9.163296685649197e-05,9.211056390442822e-05,0.0001028311767505,4.2682474332687015e-05,principal_5pct,124,4.838709677419355
Habitat,IE00BKZGKM40,isin,IE00BKZGKM40,BARING INT,USD,2023-02-28,2023-11-30,9,0.009849119502768,0.009958025451805689,0.0109583301403843,0.0050058618139939,principal_5pct,124,7.258064516129033
Habitat,IE00BN6Q7C39,isin,IE00BN6Q7C39,NS Partners Europe S.A.,USD,2024-04-30,2026-01-30,22,0.00980838652472455,0.008587970821522765,0.0123316546949809,0.0050476589296552,principal_5pct,124,17.741935483870968
Habitat,IE00BYPC7R45,isin,IE00BYPC7R45,UTI Inter SPL,USD,2019-09-30,2024-03-29,26,0.0023217666030920497,0.0030732072886502306,0.0074360881481134,0.0010112370879975,principal_5pct,124,20.967741935483872
Habitat,IE00BYPC7R45,isin,IE00BYPC7R45,UTI International (Singapore) Private Limited,USD,2024-04-30,2026-01-30,22,3.798780477423205e-08,3.7825110369734684e-08,5.303455672532736e-08,1.9696899933496752e-08,principal_5pct,124,17.741935483870968
Habitat,IE00BYYJHR67,isin,IE00BYYJHR67,HSBC GL Fund,USD,2019-10-31,2020-03-31,5,0.0661975934539862,0.06924091179351861,0.1041746021790085,0.0328018282005437,principal_5pct,124,4.032258064516129
Habitat,IE00BYYTL417,isin,IE00BYYTL417,Tokio Marine,JPY,2016-12-30,2019-12-31,36,0.00788651519460365,0.011197317629822217,0.0270164082639589,0.0046454881384948,principal_5pct,124,29.03225806451613
Habitat,IE00BYYTL417,isin,IE00BYYTL417,Tokio Marine,USD,2018-03-30,2018-03-30,1,0.0137678193655945,0.0137678193655945,0.0137678193655945,0.0084142331406601,principal_5pct,124,0.8064516129032258
Habitat,IL0011684185,isin,IL0011684185,JFrog Ltd.,USD,2023-08-31,2023-08-31,1,1.3408458508282326e-05,1.3408458508282326e-05,1.3408458508282326e-05,6.997714831228976e-06,principal_5pct,124,0.8064516129032258
Habitat,IL0011762130,isin,IL0011762130,Monday.com Ltd,USD,2021-09-30,2021-11-30,2,1.3935031797605903e-05,1.3935031797605903e-05,1.5508351463043603e-05,7.0174563898225565e-06,principal_5pct,124,1.6129032258064515
Habitat,LU0048575426,isin,LU0048575426,FIDELITY,USD,2015-06-30,2024-03-29,97,0.0088881569888694,0.01731917526348372,0.068312791008453,0.0045426919494976,principal_5pct,124,78.2258064516129
Habitat,LU0048575426,isin,LU0048575426,FIDELITY INTERNATIONAL LTD.,USD,2024-10-31,2026-01-30,16,0.00080783183229055,0.0008180492349465812,0.0010317398383433,0.0004385796467215,principal_5pct,124,12.903225806451612
Habitat,LU0048575426,isin,LU0048575426,Fidelity International Ltd,USD,2024-04-30,2024-09-30,6,0.00100506255579875,0.0010023614202622,0.0010814654979782,0.0004685401222592,principal_5pct,124,4.838709677419355
Habitat,LU0050381036,isin,LU0050381036,Wellington Luxe,GBP,2018-03-30,2018-03-30,1,0.0383653281584095,0.0383653281584095,0.0383653281584095,0.0234470548364033,principal_5pct,124,0.8064516129032258
Habitat,LU0050381036,isin,LU0050381036,Wellington Luxe,USD,2016-01-29,2024-03-29,89,0.0185924643691109,0.027432486790210285,0.1008814768075855,0.010483520043256,principal_5pct,124,71.7741935483871
Habitat,LU0050381036,isin,LU0050381036,Wellington Luxembourg S.à r.l.,USD,2024-04-30,2025-07-31,16,0.0001423658717517,0.000141498354522125,0.0001668181523909,6.99526590426527e-05,principal_5pct,124,12.903225806451612
Habitat,LU0067412154,isin,LU0067412154,UBS,SIN_DATO,2018-03-30,2018-03-30,1,0.0128727996409776,0.0128727996409776,0.0128727996409776,0.0078672398639154,principal_5pct,124,0.8064516129032258
Habitat,LU0067412154,isin,LU0067412154,UBS,USD,2018-02-28,2020-03-31,25,0.0308013684632657,0.031737550445154715,0.0596334755060899,0.017236410179071,principal_5pct,124,20.161290322580644
Habitat,LU0080998981,isin,LU0080998981,PAI Europe,JPY,2015-08-31,2015-08-31,1,0.014347058558555,0.014347058558555,0.014347058558555,0.0097637536351047,principal_5pct,124,0.8064516129032258
Habitat,LU0080998981,isin,LU0080998981,Pic Asset Ma Eu,JPY,2015-09-30,2016-05-31,9,0.011195881936731,0.01136716310525069,0.0134263051783266,0.0071694929482285,principal_5pct,124,7.258064516129033
Habitat,LU0099405374,isin,LU0099405374,GAM Luxembourg,JPY,2015-08-31,2019-12-31,51,0.0153464005144006,0.014696423720170847,0.0428143125026912,0.0093253747894449,principal_5pct,124,41.12903225806452
Habitat,LU0099405374,isin,LU0099405374,GAM Luxembourg,USD,2018-03-30,2018-03-30,1,0.000732770176349,0.000732770176349,0.000732770176349,0.0004478341078276,principal_5pct,124,0.8064516129032258
Habitat,LU0101689882,isin,LU0101689882,Pic Asset Ma Eu,USD,2019-10-31,2024-03-29,46,0.01204151489284605,0.010486879211710636,0.0234515087219659,0.005997727206808,principal_5pct,124,37.096774193548384
Habitat,LU0101689882,isin,LU0101689882,Pictet Asset Management (Europe) S.A.,USD,2024-04-30,2026-01-30,22,0.0001613481191297,0.005945790003085146,0.0143689514449667,7.869493832107916e-05,principal_5pct,124,17.741935483870968
Habitat,LU0102000758,isin,LU0102000758,BNP PARIBAS INV,JPY,2017-10-31,2024-03-29,69,0.0103556219941139,0.011896004642921405,0.0346461255423811,0.0056163274810409,principal_5pct,124,55.64516129032258
Habitat,LU0102000758,isin,LU0102000758,BNP PARIBAS INV,USD,2018-03-30,2018-03-30,1,0.0281352352015662,0.0281352352015662,0.0281352352015662,0.0171949109853144,principal_5pct,124,0.8064516129032258
Habitat,LU0102000758,isin,LU0102000758,BNP PARIBAS INVESTMENT PARTNERS LUXEMBOURG,JPY,2024-04-30,2026-01-30,22,0.02062486489753635,0.02081935160265268,0.040445259381199,0.01056954785649605,principal_5pct,124,17.741935483870968
Habitat,LU010200075Y,isin,LU010200075Y,BNP PARIBAS INV,JPY,2017-05-31,2017-09-29,5,0.0232599897385483,0.02015695234468918,0.0241665255262372,0.014300120701038,principal_5pct,124,4.032258064516129
Habitat,LU0103813712,isin,LU0103813712,JP MORGAN ASSET,GBP,2018-03-30,2018-03-30,1,0.0078800731650271,0.0078800731650271,0.0078800731650271,0.0048159240773954,principal_5pct,124,0.8064516129032258
Habitat,LU0103813712,isin,LU0103813712,JP MORGAN ASSET,USD,2017-12-29,2020-02-28,7,0.0210745225687708,0.03598272162607019,0.0961300078996295,0.0102689522991981,principal_5pct,124,5.64516129032258
Habitat,LU0106820292,isin,LU0106820292,SCHRODER,EUR,2018-01-31,2020-02-28,25,0.0025894432798995,0.006685172363004232,0.0178845777203277,0.0012955554100601,principal_5pct,124,20.161290322580644
Habitat,LU0106820292,isin,LU0106820292,SCHRODER,USD,2018-03-30,2018-03-30,1,0.0105371938097067,0.0105371938097067,0.0105371938097067,0.0064398292139682,principal_5pct,124,0.8064516129032258
Habitat,LU0106820292,isin,LU0106820292,SCHRODER INVESTMENT MANAGEMENT,EUR,2025-07-31,2026-01-30,7,0.0163974984982119,0.015812458462694388,0.0184773441677593,0.0094372183139384,principal_5pct,124,5.64516129032258
Habitat,LU0107852435,isin,LU0107852435,GAM Luxembourg,USD,2016-07-29,2019-12-31,39,0.0106666597035196,0.0103906933973408,0.0240001284549377,0.0065094699186226,principal_5pct,124,31.451612903225808
Habitat,LU0113993397,isin,LU0113993397,GARTMORE,EUR,2015-01-30,2023-11-30,46,0.02565691262415205,0.022278768936308226,0.0487735520954962,0.015155827772467451,principal_5pct,124,37.096774193548384
Habitat,LU0113993397,isin,LU0113993397,GARTMORE,SIN_DATO,2015-02-27,2015-02-27,1,0.0291286526901757,0.0291286526901757,0.0291286526901757,0.0184151177948006,principal_5pct,124,0.8064516129032258
Habitat,LU0113993397,isin,LU0113993397,Janus Henderson,EUR,2024-03-29,2024-03-29,1,0.0048585213876267,0.0048585213876267,0.0048585213876267,0.0024134132375887,principal_5pct,124,0.8064516129032258
Habitat,LU0113993397,isin,LU0113993397,Janus Henderson Investors Europe S.A,EUR,2024-04-30,2024-09-30,6,0.0050919359964906,0.004521845686449501,0.0052425437017632,0.00239822628185565,principal_5pct,124,4.838709677419355
Habitat,LU0113993397,isin,LU0113993397,Janus Henderson Investors Europe S.A.,EUR,2024-10-31,2026-01-30,16,4.1797849616284016e-08,0.0006742977245608428,0.0030654584909423,2.2562117520629375e-08,principal_5pct,124,12.903225806451612
Habitat,LU0113993553,isin,LU0113993553,Henderson,EUR,2018-04-30,2019-12-31,21,0.0001002445049974,0.00241585533913869,0.0106475978870565,5.639931084981084e-05,principal_5pct,124,16.93548387096774
Habitat,LU0113993553,isin,LU0113993553,Henderson,USD,2018-03-30,2018-03-30,1,0.0114574015628947,0.0114574015628947,0.0114574015628947,0.0070022162098723,principal_5pct,124,0.8064516129032258
Habitat,LU0132199406,isin,LU0132199406,PIONEER,EUR,2015-02-27,2015-02-27,1,0.0281074341106437,0.0281074341106437,0.0281074341106437,0.0177695039850461,principal_5pct,124,0.8064516129032258
Habitat,LU0132199406,isin,LU0132199406,PIONEER,SIN_DATO,2018-03-30,2018-03-30,1,0.0039910368795446,0.0039910368795446,0.0039910368795446,0.0024391309825999,principal_5pct,124,0.8064516129032258
Habitat,LU0132199406,isin,LU0132199406,PIONEER,USD,2015-01-30,2019-05-31,50,0.0081490871697771,0.009784949431214706,0.0291499131412331,0.0050470027680217504,principal_5pct,124,40.32258064516129
Habitat,LU0149084476,isin,LU0149084476,MORGAN STAN INV,SIN_DATO,2015-02-27,2015-02-27,1,0.0075192579323569,0.0075192579323569,0.0075192579323569,0.0047536706220725,principal_5pct,124,0.8064516129032258
Habitat,LU0149084476,isin,LU0149084476,MORGAN STAN INV,USD,2015-01-30,2016-01-29,12,0.009421840165845501,0.009299025134097425,0.0125264648072224,0.00615461542249595,principal_5pct,124,9.67741935483871
