isin,numero_resultados,shareclass_unicas,composite_unicas,nombres_unicos,tickers_unicos,tipos_unicos,clase_ambiguedad,razon_ambiguedad
IE00B8JGVH80,1,1,1,1,1,1,unico,un_solo_resultado
IE00B945VV12,163,1,90,1,16,1,ambiguedad_benigna,misma_shareclass_figi
IE00B95PGT31,177,1,93,1,19,1,ambiguedad_benigna,misma_shareclass_figi
IE00BD065N65,1,1,1,1,1,1,unico,un_solo_resultado
IE00BD4GV785,1,1,1,1,1,1,unico,un_solo_resultado
IE00BHWQNN83,1,1,1,1,1,1,unico,un_solo_resultado
IE00BK70NJ20,1,1,1,1,1,1,unico,un_solo_resultado
IE00BKLWXM74,3,1,3,1,2,1,ambiguedad_benigna,misma_shareclass_figi
IE00BKLWXN81,1,1,1,1,1,1,unico,un_solo_resultado
IE00BKM4GZ66,192,1,113,1,24,1,ambiguedad_benigna,misma_shareclass_figi
IE00BKZGKM40,1,1,1,1,1,1,unico,un_solo_resultado
IE00BN6Q7C39,1,1,1,1,1,1,unico,un_solo_resultado
IE00BNRQM384,107,1,47,1,14,1,ambiguedad_benigna,misma_shareclass_figi
IE00BQ1YBP44,1,1,1,1,1,1,unico,un_solo_resultado
IE00BQN1K901,155,1,78,1,15,1,ambiguedad_benigna,misma_shareclass_figi
IE00BYPC1H27,96,1,70,1,14,1,ambiguedad_benigna,misma_shareclass_figi
IE00BYPC7R45,1,1,1,1,1,1,unico,un_solo_resultado
IE00BYYJHR67,1,1,1,1,1,1,unico,un_solo_resultado
IE00BYYTL417,1,1,1,1,1,1,unico,un_solo_resultado
IL0011684185,71,1,10,1,5,1,ambiguedad_benigna,misma_shareclass_figi
IL0011762130,92,1,13,1,6,1,ambiguedad_benigna,misma_shareclass_figi
LU0040507039,21,1,14,1,4,1,ambiguedad_benigna,misma_shareclass_figi
LU0048575426,16,1,9,1,4,1,ambiguedad_benigna,misma_shareclass_figi
LU0048581077,16,1,11,1,4,1,ambiguedad_benigna,misma_shareclass_figi
LU0050381036,1,1,1,1,1,1,unico,un_solo_resultado
LU0067412154,22,1,14,1,5,1,ambiguedad_benigna,misma_shareclass_figi
LU0080998981,7,1,2,1,2,1,ambiguedad_benigna,misma_shareclass_figi
LU0085136942,11,1,9,2,3,1,ambiguedad_benigna,misma_shareclass_figi
LU0099390162,2,1,2,1,1,1,ambiguedad_benigna,misma_shareclass_figi
LU0099405374,1,1,1,1,1,1,unico,un_solo_resultado
LU0100598878,1,1,1,1,1,1,unico,un_solo_resultado
LU0100600369,1,1,1,1,1,1,unico,un_solo_resultado
