afp,baseline,fecha_hoy_simulada,segmento,fecha_ultima_cuota_visible,cuotas_ocultas_estimadas,cuota_ultima_visible,cuota_estimada_hoy,cuota_real_hoy,error_pct,error_abs_pct,retorno_estimado_acumulado,retorno_real_acumulado
Habitat,RETORNO_CERO,2015-04-21,entrenamiento,2015-04-16,3,11.4245253,11.4245253,11.4037915,0.0018181496917055728,0.0018181496917055728,0.0,-0.0018148500226963238
Habitat,RETORNO_CERO,2015-04-22,entrenamiento,2015-04-17,3,11.3337066,11.3337066,11.4377169,-0.009093624270417155,0.009093624270417155,0.0,0.009177077162029201
Habitat,RETORNO_CERO,2015-04-23,entrenamiento,2015-04-17,4,11.3337066,11.3337066,11.4639566,-0.011361696885698325,0.011361696885698325,0.0,0.011492268557578456
Habitat,RETORNO_CERO,2015-04-24,entrenamiento,2015-04-17,5,11.3337066,11.3337066,11.492445,-0.013812413285423708,0.013812413285423708,0.0,0.014005868124378651
Habitat,RETORNO_CERO,2015-04-27,entrenamiento,2015-04-22,3,11.4377169,11.4377169,11.4990507,-0.005333814207811094,0.005333814207811094,0.0,0.005362416340275011
Habitat,RETORNO_CERO,2015-04-28,entrenamiento,2015-04-23,3,11.4639566,11.4639566,11.4887427,-0.0021574249373693677,0.0021574249373693677,0.0,0.0021620894831371196
Habitat,RETORNO_CERO,2015-04-29,entrenamiento,2015-04-24,3,11.492445,11.492445,11.4126661,0.006990382378750271,0.006990382378750271,0.0,-0.00694185614984455
Habitat,RETORNO_CERO,2015-04-30,entrenamiento,2015-04-24,4,11.492445,11.492445,11.3584331,0.011798449559033086,0.011798449559033086,0.0,-0.011660869379840455
Habitat,RETORNO_CERO,2015-05-01,entrenamiento,2015-04-24,5,11.492445,11.492445,11.4206381,0.006287468298290744,0.006287468298290744,0.0,-0.006248183045470368
Habitat,RETORNO_CERO,2015-05-04,entrenamiento,2015-04-29,3,11.4126661,11.4126661,11.5073223,-0.008225736407852291,0.008225736407852291,0.0,0.008293960339381234
Habitat,RETORNO_CERO,2015-05-05,entrenamiento,2015-04-30,3,11.3584331,11.3584331,11.4297101,-0.0062361161723603065,0.0062361161723603065,0.0,0.006275249356357149
Habitat,RETORNO_CERO,2015-05-06,entrenamiento,2015-05-01,3,11.4206381,11.4206381,11.3859339,0.0030479888874113126,0.0030479888874113126,0.0,-0.0030387268816441937
Habitat,RETORNO_CERO,2015-05-07,entrenamiento,2015-05-01,4,11.4206381,11.4206381,11.4044947,0.0014155296157047914,0.0014155296157047914,0.0,-0.0014135287239334104
Habitat,RETORNO_CERO,2015-05-08,entrenamiento,2015-05-01,5,11.4206381,11.4206381,11.4881089,-0.005873098922312692,0.005873098922312692,0.0,0.005907795992589948
Habitat,RETORNO_CERO,2015-05-11,entrenamiento,2015-05-06,3,11.3859339,11.3859339,11.4925268,-0.009274975108172101,0.009274975108172101,0.0,0.00936180562228639
Habitat,RETORNO_CERO,2015-05-12,entrenamiento,2015-05-07,3,11.4044947,11.4044947,11.4737461,-0.006035639920600855,0.006035639920600855,0.0,0.006072290076999165
Habitat,RETORNO_CERO,2015-05-13,entrenamiento,2015-05-08,3,11.4881089,11.4881089,11.4776686,0.0009096185265360379,0.0009096185265360379,0.0,-0.000908791872611947
Habitat,RETORNO_CERO,2015-05-14,entrenamiento,2015-05-08,4,11.4881089,11.4881089,11.535639,-0.00412028323701874,0.00412028323701874,0.0,0.004137330209326162
Habitat,RETORNO_CERO,2015-05-15,entrenamiento,2015-05-08,5,11.4881089,11.4881089,11.5509411,-0.005439574096694044,0.005439574096694044,0.0,0.005469324894717742
Habitat,RETORNO_CERO,2015-05-18,entrenamiento,2015-05-13,3,11.4776686,11.4776686,11.5904964,-0.00973450973161083,0.00973450973161083,0.0,0.00983020192794215
Habitat,RETORNO_CERO,2015-05-19,entrenamiento,2015-05-14,3,11.535639,11.535639,11.6148779,-0.00682218966761583,0.00682218966761583,0.0,0.006869051640745694
Habitat,RETORNO_CERO,2015-05-20,entrenamiento,2015-05-15,3,11.5509411,11.5509411,11.5994045,-0.004178093797832516,0.004178093797832516,0.0,0.004195623506382695
Habitat,RETORNO_CERO,2015-05-21,entrenamiento,2015-05-15,4,11.5509411,11.5509411,11.5850482,-0.002944061984998858,0.002944061984998858,0.0,0.0029527550789778534
Habitat,RETORNO_CERO,2015-05-22,entrenamiento,2015-05-15,5,11.5509411,11.5509411,11.5943261,-0.0037419164879277655,0.0037419164879277655,0.0,0.003755971017807447
Habitat,RETORNO_CERO,2015-05-25,entrenamiento,2015-05-20,3,11.5994045,11.5994045,11.6134098,-0.001205959338488105,0.001205959338488105,0.0,0.001207415432404213
Habitat,RETORNO_CERO,2015-05-26,entrenamiento,2015-05-21,3,11.5850482,11.5850482,11.5441724,0.003540816836727023,0.003540816836727023,0.0,-0.0035283236888041802
