afp,factor,ventanas,coef_mediana,coef_promedio,coef_abs_mediana,top5_frecuencia_pct,signo_positivo_pct,ultimo_coef,ultimo_ranking,consistencia_signo_pct,puntaje_estabilidad,ranking_estabilidad,columna_modelo,ticker,nombre,grupo,moneda
Profuturo,ret_MCHI,129,0.00037339121224268587,0.000330268846644352,0.00037339121224268587,27.131782945736433,91.47286821705426,-9.649638181464654e-05,25,82.94573643410851,49.45736434108527,8,ret_MCHI,MCHI,China,region,USD
Profuturo,ret_GLD,129,-0.0002672204401082192,-0.0002000430695211385,0.0003815100736235295,36.434108527131784,20.155038759689923,0.0019432834962660535,3,59.689922480620154,45.736434108527135,9,ret_GLD,GLD,Oro,materia_prima,USD
Profuturo,ret_EEM,129,0.00030713771679362546,0.00031035441650113885,0.00030713771679362546,7.751937984496124,100.0,0.0010906738506505302,6,100.0,44.651162790697676,10,ret_EEM,EEM,Mercados emergentes,mercado,USD
Profuturo,ret_XLK,129,0.00022671740358129312,0.0002642919282341063,0.00022671740358129312,5.426356589147287,94.57364341085271,0.0007496101003827947,13,89.14728682170542,38.91472868217054,11,ret_XLK,XLK,Tecnología,sector,USD
Profuturo,ret_QQQ,129,0.0002173440052300837,0.00022994058870710643,0.0002173440052300837,3.10077519379845,91.47286821705426,0.0003879655574380012,20,82.94573643410851,35.03875968992248,12,ret_QQQ,QQQ,Estados Unidos - Nasdaq 100,mercado,USD
Profuturo,ret_ACWI,129,0.00016951666147612944,0.0001658694101152711,0.00016951666147612944,0.0,93.02325581395348,0.00022192997598930914,23,86.04651162790697,34.41860465116279,13,ret_ACWI,ACWI,Acciones globales,mercado,USD
Profuturo,ret_XLP,129,-0.00018841236521835762,-0.00019525545027398547,0.00018841236521835762,0.0,10.077519379844961,-0.0005963500054957724,18,79.84496124031008,31.937984496124034,14,ret_XLP,XLP,Consumo básico,sector,USD
Profuturo,ret_XLF,129,0.00022316960582740195,0.00016636476146334052,0.0002681827069138665,8.527131782945736,79.84496124031007,-0.0006151994663905956,17,59.68992248062014,28.9922480620155,15,ret_XLF,XLF,Finanzas,sector,USD
Profuturo,ret_XLE,129,0.00020932946344987937,0.00016788791724937192,0.00026895510518643153,4.651162790697675,82.17054263565892,-0.0009042226165843293,9,64.34108527131784,28.52713178294574,16,ret_XLE,XLE,Energía,sector,USD
Profuturo,ret_SPY,129,0.00012128282093350174,0.00012190416322994451,0.00012128282093350174,0.0,85.27131782945736,3.197577741254502e-05,27,70.54263565891472,28.21705426356589,17,ret_SPY,SPY,Estados Unidos - S&P 500,mercado,USD
Profuturo,ret_XLY,129,0.00014746682245063116,0.00015910568412132157,0.00014746682245063116,0.0,84.49612403100775,-8.659014210852411e-05,26,68.9922480620155,27.596899224806204,18,ret_XLY,XLY,Consumo discrecional,sector,USD
Profuturo,ret_XLB,129,0.00015887833367346068,0.00015979921370628118,0.00017836731862919778,7.751937984496124,78.29457364341084,0.000657060575684313,16,56.589147286821685,27.286821705426348,19,ret_XLB,XLB,Materiales,sector,USD
Profuturo,ret_XLI,129,0.00020407201753309194,0.00019028718190495855,0.00020407201753309194,0.0,83.72093023255815,0.000583616528536528,19,67.44186046511629,26.976744186046517,20,ret_XLI,XLI,Industria,sector,USD
Profuturo,ret_EWJ,129,0.00018061166360907913,0.000138523290064813,0.00020754493650071963,0.0,78.29457364341084,0.00023013182876936757,22,56.589147286821685,22.635658914728676,21,ret_EWJ,EWJ,Japón,region,USD
Profuturo,ret_VGK,129,0.0001672922258699084,0.00015733575788707825,0.00018278094338176703,0.7751937984496124,76.74418604651163,0.0003560151256835792,21,53.48837209302326,21.860465116279073,22,ret_VGK,VGK,Europa,region,USD
Profuturo,ret_CPER,129,-0.0001374889015336305,-0.0001344709318536503,0.0001554470552872381,1.550387596899225,25.581395348837212,0.00014973869767948098,24,48.837209302325576,20.46511627906977,23,ret_CPER,CPER,Cobre,materia_prima,USD
Profuturo,ret_DX_Y_NYB,129,-0.00017454987077561326,-0.00013697407591680737,0.00029967311474918187,19.379844961240313,41.08527131782946,-0.0008784682975574792,10,17.82945736434108,18.759689922480618,24,ret_DX_Y_NYB,DX-Y.NYB,Índice dólar DXY,moneda,INDICE
Profuturo,ret_ILF,129,4.7883704425772774e-05,0.00011052522002684759,8.648773288426532e-05,6.2015503875969,65.11627906976744,0.0007955897117390612,12,30.232558139534888,15.813953488372094,25,ret_ILF,ILF,América Latina,mercado,USD
Profuturo,ret_USO,129,3.672866761518568e-05,2.7402574239836894e-05,0.00020614799748231512,1.550387596899225,55.81395348837209,-0.0007152369473742927,14,11.627906976744185,5.5813953488372094,26,ret_USO,USO,Petróleo,materia_prima,USD
Profuturo,ret_XLV,129,-4.291769331889429e-05,-4.484185981199958e-05,0.00019494716647669734,2.3255813953488373,48.06201550387597,-0.0006669771710478083,15,3.875968992248062,2.945736434108527,27,ret_XLV,XLV,Salud,sector,USD
