afp,fecha_objetivo,desfase_calendario_dias,fecha_corte_publicacion_simulada,fecha_ancla_sbs,dias_calendario_entre_ancla_y_objetivo,cuota_ancla_sbs,cuota_sbs_objetivo,fechas_sbs_esperadas,predicciones_disponibles,cobertura_predicciones_pct,retorno_estimado_acumulado,retorno_real_acumulado,cuota_estimada,error_pct,error_abs_pct,direccion_correcta,ventana_estricta,ventana_orientativa
Integra,2024-04-19,5,2024-04-14,2024-04-12,7,50.3514745,50.3229001,5,5,100.0,0.0043232738213605515,-0.000567498773049957,50.56915771157276,0.004893549677848608,0.004893549677848608,False,True,True
Integra,2024-04-22,4,2024-04-18,2024-04-18,4,50.3705537,50.7879203,2,2,100.0,-0.0021004031992701844,0.008285924401105094,50.26475522785951,-0.010300974504374283,0.010300974504374283,False,True,True
Integra,2024-04-22,5,2024-04-17,2024-04-17,5,50.3398398,50.7879203,3,3,100.0,-0.002397431251308757,0.008901110964600223,50.2191534948776,-0.011198859921074611,0.011198859921074611,False,True,True
Integra,2024-04-23,4,2024-04-19,2024-04-19,4,50.3229001,51.1612623,2,2,100.0,-0.0036983558436002317,0.016659655908821458,50.136788108348256,-0.02002441193972926,0.02002441193972926,False,True,True
Integra,2024-04-23,5,2024-04-18,2024-04-18,5,50.3705537,51.1612623,3,3,100.0,-0.002010155304454586,0.015697834189184023,50.26930106429163,-0.017434308607908733,0.017434308607908733,False,True,True
Integra,2024-04-24,4,2024-04-20,2024-04-19,5,50.3229001,51.5829738,3,3,100.0,-0.0029579052607483503,0.02503976713377054,50.1740497290581,-0.027313742639279548,0.027313742639279548,False,True,True
Integra,2024-04-24,5,2024-04-19,2024-04-19,5,50.3229001,51.5829738,3,3,100.0,-0.0029579052607483503,0.02503976713377054,50.1740497290581,-0.027313742639279548,0.027313742639279548,False,True,True
Integra,2024-04-25,4,2024-04-21,2024-04-19,6,50.3229001,51.8250605,4,4,100.0,-0.00015658670799378882,0.029850433838569668,50.31502020273664,-0.02913726067456035,0.02913726067456035,False,True,True
Integra,2024-04-25,5,2024-04-20,2024-04-19,6,50.3229001,51.8250605,4,4,100.0,-0.00015658670799378882,0.029850433838569668,50.31502020273664,-0.02913726067456035,0.02913726067456035,False,True,True
Integra,2024-04-26,4,2024-04-22,2024-04-22,4,50.7879203,51.9757161,4,4,100.0,0.007275961417862353,0.023387368354202742,51.157451248596274,-0.015743214577927156,0.015743214577927156,True,True,True
Integra,2024-04-26,5,2024-04-21,2024-04-19,7,50.3229001,51.9757161,5,5,100.0,0.003459945719013424,0.0328442120131307,50.49701460276933,-0.02844985328120697,0.02844985328120697,True,True,True
Integra,2024-04-29,4,2024-04-25,2024-04-25,4,51.8250605,52.0608131,2,2,100.0,0.004067805227171872,0.004549007714134801,52.035874752000396,-0.000479023405794643,0.000479023405794643,True,True,True
Integra,2024-04-29,5,2024-04-24,2024-04-24,5,51.5829738,52.0608131,3,3,100.0,0.006888863421050884,0.009263508184943037,51.938321861359846,-0.0023528491267484908,0.0023528491267484908,True,True,True
Integra,2024-04-30,4,2024-04-26,2024-04-26,4,51.9757161,51.6493769,2,2,100.0,-0.0015101223039630796,-0.0062786859804323525,51.897226411852934,0.004798693163962087,0.004798693163962087,True,True,True
Integra,2024-04-30,5,2024-04-25,2024-04-25,5,51.8250605,51.6493769,3,3,100.0,0.0021015142510416585,-0.003389935261146504,51.93397160320185,0.005510128491053479,0.005510128491053479,False,True,True
Integra,2024-05-01,4,2024-04-27,2024-04-26,5,51.9757161,51.559443300000005,3,3,100.0,-0.001931067131511699,-0.00800898633506264,51.87534750300251,0.006126990184211367,0.006126990184211367,True,True,True
Integra,2024-05-01,5,2024-04-26,2024-04-26,5,51.9757161,51.559443300000005,3,3,100.0,-0.001931067131511699,-0.00800898633506264,51.87534750300251,0.006126990184211367,0.006126990184211367,True,True,True
Integra,2024-05-02,4,2024-04-28,2024-04-26,6,51.9757161,51.664244200000006,4,4,100.0,-0.0013787832964927693,-0.0059926427834247065,51.90405285081807,0.004641675389457589,0.004641675389457589,True,True,True
Integra,2024-05-02,5,2024-04-27,2024-04-26,6,51.9757161,51.664244200000006,4,4,100.0,-0.0013787832964927693,-0.0059926427834247065,51.90405285081807,0.004641675389457589,0.004641675389457589,True,True,True
Integra,2024-05-03,4,2024-04-29,2024-04-29,4,52.0608131,51.8562122,4,4,100.0,1.6990997213417458e-05,-0.003930036582544205,52.06169766513031,0.0039626007456501355,0.0039626007456501355,False,True,True
Integra,2024-05-03,5,2024-04-28,2024-04-26,7,51.9757161,51.8562122,5,5,100.0,0.0004660806640310877,-0.0022992256570371072,51.99994097627338,0.002771679036622343,0.002771679036622343,False,True,True
Integra,2024-05-06,4,2024-05-02,2024-05-02,4,51.664244200000006,52.102601400000005,2,2,100.0,0.00046864209040720084,0.008484730722142286,51.688456239401205,-0.007948646506521606,0.007948646506521606,True,True,True
Integra,2024-05-06,5,2024-05-01,2024-05-01,5,51.559443300000005,52.102601400000005,3,3,100.0,0.0010222538102726553,0.010534599779125298,51.612150137368964,-0.009413181865254083,0.009413181865254083,True,True,True
Integra,2024-05-07,4,2024-05-03,2024-05-03,4,51.8562122,51.9165093,2,2,100.0,0.0009304627559902912,0.0011627748622951017,51.90446247411883,-0.00023204229335915816,0.00023204229335915816,True,True,True
Integra,2024-05-07,5,2024-05-02,2024-05-02,5,51.664244200000006,51.9165093,3,3,100.0,0.0027795928433969053,0.004882779258774006,51.80784976343784,-0.002092966919911232,0.002092966919911232,True,True,True
