afp,fecha_cuota,fecha_sbs_base,cuota_sbs_base,retorno_diario_estimado,retorno_acumulado_estimado,cuota_estimada,direccion_estimada,alpha_elegido
Integra,2026-07-21,2026-06-30,72.3284597,0.007226224080252165,0.011306849166351718,73.14626668426244,SUBE,1.0
Integra,2026-07-22,2026-06-30,72.3284597,0.002923638706659207,0.014263545014884027,73.36011994078817,SUBE,1.0
Prima,2026-07-01,2026-06-30,65.7918163,-0.0009874031108043054,-0.0009874031108042525,65.7268532559199,BAJA,10.0
Prima,2026-07-02,2026-06-30,65.7918163,0.0028168714617441064,0.0018266869632956872,65.91199735312675,SUBE,10.0
Prima,2026-07-06,2026-06-30,65.7918163,0.0053504749167131585,0.007186935522786708,66.26465784167512,SUBE,10.0
Prima,2026-07-07,2026-06-30,65.7918163,-0.004853005587822863,0.0022990516967125174,65.94307508689431,BAJA,10.0
Prima,2026-07-08,2026-06-30,65.7918163,-0.001692626284658133,0.0006025339767226079,65.83145810471103,BAJA,10.0
Prima,2026-07-09,2026-06-30,65.7918163,0.00666333921976836,0.007269888084769249,66.2701154413947,SUBE,10.0
Prima,2026-07-10,2026-06-30,65.7918163,0.0034586814092793516,0.010753713720814906,66.49932265766263,SUBE,10.0
Prima,2026-07-13,2026-06-30,65.7918163,-0.00310705003115151,0.0076132513631121945,66.2927059351276,BAJA,10.0
Prima,2026-07-14,2026-06-30,65.7918163,0.0037473735721282055,0.011389154632196474,66.54112946937376,SUBE,10.0
Prima,2026-07-15,2026-06-30,65.7918163,0.0015513715386271318,0.012958194981169013,66.64435948378065,SUBE,10.0
Prima,2026-07-16,2026-06-30,65.7918163,-0.004420332518708514,0.008480582931801539,66.349769254366,BAJA,10.0
Prima,2026-07-17,2026-06-30,65.7918163,-0.00279973226409498,0.0056571073060540655,66.16400766466928,BAJA,10.0
Prima,2026-07-20,2026-06-30,65.7918163,-0.0005076081305746324,0.005146627581815277,66.1304222764273,BAJA,10.0
Prima,2026-07-21,2026-06-30,65.7918163,0.007336397001785254,0.012520782286761012,66.61558130814286,SUBE,10.0
Prima,2026-07-22,2026-06-30,65.7918163,0.0030674126766655923,0.015626601369734816,66.81991878671091,SUBE,10.0
Profuturo,2026-07-01,2026-06-30,71.9348302,0.0006535334177662234,0.0006535334177661944,71.98184201543702,SUBE,1.0
Profuturo,2026-07-02,2026-06-30,71.9348302,0.004647911163331136,0.0053044821463652525,72.31640722249772,SUBE,1.0
Profuturo,2026-07-07,2026-06-30,71.9348302,-0.004003509820661335,0.0012797357793374875,72.0268877759875,BAJA,1.0
Profuturo,2026-07-08,2026-06-30,71.9348302,-0.0015075182969473383,-0.0002297117427123574,71.91830592479303,BAJA,1.0
Profuturo,2026-07-09,2026-06-30,71.9348302,0.008739405728254428,0.008507686441421969,72.54682917955853,SUBE,1.0
Profuturo,2026-07-10,2026-06-30,71.9348302,0.0038988412578380965,0.01243969781816645,72.82967775028911,SUBE,1.0
Profuturo,2026-07-13,2026-06-30,71.9348302,-0.0029374973462366633,0.009465658892600981,72.61574076517036,BAJA,1.0
Profuturo,2026-07-14,2026-06-30,71.9348302,0.004802400225410157,0.014313517000410503,72.96447061498934,SUBE,1.0
Profuturo,2026-07-15,2026-06-30,71.9348302,0.0012432090394470007,0.015574520733578678,73.05518070441636,SUBE,1.0
Profuturo,2026-07-16,2026-06-30,71.9348302,-0.006097595825653112,0.009381957775314032,72.60971973951078,BAJA,1.0
Profuturo,2026-07-17,2026-06-30,71.9348302,-0.0024247877085566243,0.006934420810861708,72.43365658356467,BAJA,1.0
Profuturo,2026-07-20,2026-06-30,71.9348302,-0.00038153833092699913,0.006550236732592474,72.40602036712883,BAJA,1.0
Profuturo,2026-07-21,2026-06-30,71.9348302,0.006943247492377115,0.013538964139737653,72.90875328647591,SUBE,1.0
Profuturo,2026-07-22,2026-06-30,71.9348302,0.003202096751547321,0.016784413964376244,73.14221416853391,SUBE,1.0
