fecha_cartera,afp,suma_componentes_pct,participacion_no_mapeada_pct,numero_componentes,categorias_economicas,desvio_vs_100_pct,estado_suma,estado_mapeo,estado_general
2016-09-30,Habitat,100.0,58.1439438592604,36,16,0.0,correcto,revisar,revisar
2016-09-30,Integra,100.0,63.88612271790214,36,16,0.0,correcto,revisar,revisar
2016-09-30,Prima,100.00000000000001,64.32147626084685,36,16,1.4210854715202004e-14,correcto,revisar,revisar
2016-09-30,Profuturo,100.0,66.02020084442835,37,16,0.0,correcto,revisar,revisar
2016-10-31,Habitat,100.00000000000001,59.20605936459447,36,16,1.4210854715202004e-14,correcto,revisar,revisar
2016-10-31,Integra,99.99999999999996,61.48931568238328,36,16,-4.263256414560601e-14,correcto,revisar,revisar
2016-10-31,Prima,99.99999999999999,64.7945183026746,36,16,-1.4210854715202004e-14,correcto,revisar,revisar
2016-10-31,Profuturo,100.0,63.865655422006675,37,16,0.0,correcto,revisar,revisar
2016-11-30,Habitat,100.0,58.20662925981563,35,16,0.0,correcto,revisar,revisar
2016-11-30,Integra,100.00000000000003,61.85548714885288,35,16,2.842170943040401e-14,correcto,revisar,revisar
2016-11-30,Prima,100.00000000000001,61.17995941390412,35,16,1.4210854715202004e-14,correcto,revisar,revisar
2016-11-30,Profuturo,100.00000000000001,64.21338076578654,36,16,1.4210854715202004e-14,correcto,revisar,revisar
2016-12-31,Habitat,100.0,57.268969431208646,35,16,0.0,correcto,revisar,revisar
2016-12-31,Integra,100.0,58.44953973300134,35,16,0.0,correcto,revisar,revisar
2016-12-31,Prima,100.0,62.12011450621252,35,16,0.0,correcto,revisar,revisar
2016-12-31,Profuturo,100.00000000000001,62.605839047958646,36,16,1.4210854715202004e-14,correcto,revisar,revisar
2017-01-31,Habitat,99.99999999999999,60.726000040983074,35,16,-1.4210854715202004e-14,correcto,revisar,revisar
2017-01-31,Integra,100.0,59.96850569177381,35,16,0.0,correcto,revisar,revisar
2017-01-31,Prima,99.99999999999999,64.59243086276788,35,16,-1.4210854715202004e-14,correcto,revisar,revisar
2017-01-31,Profuturo,100.0,64.27835085121151,36,16,0.0,correcto,revisar,revisar
