anio,mes,archivo,hoja,fila_excel_aprox,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37
2026,1,CA-0001-en2026.XLS,1,45,BONOS DE EMPRESA PRIVADA EXTRANJERA,0,,0,,0,,0,,0,,15316.44788256,0.0019686993740585836,32547.451750440003,0.0012023810243240438,0,,0,,0,,0,,0,,0,,75472.399071344,0.01111356734894908,66635.2672528084,0.003042404946425768,0,,189971.5659571524,0.0016084133003977838,,
2026,1,CA-0001-en2026.XLS,1,46,TIT. DEUDA EMITIDOS EMPRESAS PÚBLICAS EXTRAN,0,,92024.83775916361,0.055108223704335005,80179.5517430863,0.006112631470051346,0,,0,,284420.64617046237,0.03655800302906386,356536.8193864733,0.013171326265115333,0,,0,,94480.16598155201,0.01961264160572805,54507.78806628,0.004181078542227767,0,,0,,433550.83427144587,0.06384183430175636,499086.5414443286,0.022787082951494564,0,,1894787.1848227924,0.016042405578630813,,
2026,1,CA-0001-en2026.XLS,1,47,4. Administradoras de Fondos,0,,499352.9061776865,0.29903287341910617,5965279.842027926,0.45477377332914526,2663197.777072993,0.534110062659958,0,,2067948.0467406563,0.26580366782298237,12645165.828251736,0.4671427907137209,1890357.3655676185,0.5563730866935656,0,,1344775.3881236978,0.2791548623297694,6063629.735000386,0.46511724420364287,1755490.7161924914,0.49331036541167306,0,,1874374.0664453807,0.2760079536477007,8419447.699733997,0.3844115943988231,1583062.5755318648,0.5255063108302425,46772081.94686642,0.3960005188755603,,
2026,1,CA-0001-en2026.XLS,1,48,FONDOS MUTUOS ALTERNATIVOS DEL EXTRANJERO,0,,0,,2485570.5760325505,0.18949191650226846,548015.8934311592,0.10990577031078186,0,,0,,5352988.111945818,0.19775223506242182,495004.37695001514,0.1456905017786457,0,,0,,2625810.570038328,0.2014156255431295,436562.7065199954,0.1226784660790387,0,,0,,2194738.3013951783,0.10020643631459823,226447.1145531848,0.07517036256574819,14365137.650866233,0.12162387746442807,,
2026,1,CA-0001-en2026.XLS,1,49,FONDOS MUTUOS DEL EXTRANJERO,0,,499352.9061776865,0.29903287341910617,3479709.265995373,0.2652818568268768,2115181.883641834,0.42420429234917606,0,,2067948.0467406563,0.26580366782298237,7292177.716305923,0.26939055565129905,1395352.988617603,0.4106825849149199,0,,1344775.3881236978,0.2791548623297694,3437819.164962059,0.26370161866051334,1318928.0096724962,0.37063189933263435,0,,1874374.0664453807,0.2760079536477007,6224709.398338818,0.28420515808422486,1356615.46097868,0.45033594826449425,32406944.296000212,0.27437664141113227,,
2026,1,CA-0001-en2026.XLS,1,50,III. OPERACIONES EN TRÁNSITO,-805.34698,-0.002990940920845758,-101888.17738444002,-0.06101479349328787,-1196681.6411866639,-0.09123116431217815,-154097.238577395,-0.030904533813015098,254.5882499999998,8.930421083616158e-05,-168768.55969500006,-0.02169266401582806,-3547717.961618559,-0.13106122068822376,-21523.453637090046,-0.006334818248917629,255.7786099999994,0.00014262594184903492,-75318.30198273866,-0.015634930863985597,-1353306.7013846366,-0.10380684689189787,-93583.29472315381,-0.026297837345694713,-8153.418530000001,-0.003958952173647917,-270103.38655239344,-0.03977364194811988,-996390.7517866921,-0.045492788980762436,-21044.769866888993,-0.006985926864770151,-8008872.637045652,-0.06780792275788003,,
2026,1,CA-0001-en2026.XLS,1,51,TOTAL,269262.08217187703,1,1669893.013661491,1,13117026.9524547,1,4986234.042867157,1,2850797.8248312413,1,7779983.1118878685,1,27069166.172792498,1,3397643.435274168,1,1793352.6445752261,1,4817309.563947684,1,13036776.878445601,1,3558592.803391663,1,2059489.019410698,1,6791014.685170448,1,21902168.9834852,1,3012452.073184049,1,118111163.28755155,1,,
2026,1,CA-0001-en2026.XLS,1-A,1,CARTERA POR TIPO DE INSTRUMENTO Y SECTOR DEL EMISOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,1,CA-0001-en2026.XLS,1-A,2,(En miles de Soles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,1,CA-0001-en2026.XLS,1-A,3,Al 30-01-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,1,CA-0001-en2026.XLS,1-A,4,,HA00,,HA01,,HA02,,HA03,,IN00,,IN01,,IN02,,IN03,,PR00,,PR01,,PR02,,PR03,,RI00,,RI01,,RI02,,RI03,,TOTAL,,,
2026,1,CA-0001-en2026.XLS,1-A,5,,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,,
2026,1,CA-0001-en2026.XLS,1-A,6,I. NACIONAL,270067.4291518771,1.0029909409208462,948261.4359452374,0.5678575981739284,8265683.121103659,0.6301491299106337,2459047.522619495,0.4931672884743908,2850543.2365812417,0.999910695789164,4078797.5943567967,0.524268181009849,16217215.975425161,0.5991029007655679,1426668.1874888944,0.41989932571419797,1793096.8659652264,0.999857374058151,2901947.439245023,0.6024000327823935,7780230.382157088,0.5967909441650839,1713918.9708532568,0.48162829116602957,2067642.4379406995,1.0039589521736483,3479036.908699311,0.5123000125881761,12746834.061147701,0.5819895769573848,1381031.7930793967,0.4584410837181212,70380023.3617601,0.5958795206378075,,
2026,1,CA-0001-en2026.XLS,1-A,7,Corto Plazo,256584.8273519451,0.9529185293462907,18396.3707375062,0.011016496618049439,448637.44144617516,0.03420267741099808,53115.272015519986,0.010652382451141014,2850543.2365812417,0.999910695789164,193039.84201797887,0.02481237288587589,427326.3519144353,0.0157864615846182,21739.458903839997,0.006398393274038706,1689450.6605942363,0.9420627146059162,127932.98223366782,0.026556936093770436,354211.4929898724,0.02717017375479587,60082.85087935998,0.016883879162037183,2067642.4379406995,1.0039589521736483,209749.35853272004,0.030886306134891753,787601.0592364001,0.035959957200141765,14735.934431039997,0.004891674314826416,9580789.577806626,0.08111671506004382,,
2026,1,CA-0001-en2026.XLS,1-A,8,Inversiones Alternativas,0,,0,,37144.58635888,0.0028317839471945906,0,,0,,0,,519094.3208397359,0.019176590720459026,126846.9388031299,0.037333799505331014,0,,13.114028752,2.7222723758805585e-06,293240.45525307546,0.022493324691159333,73524.25620701989,0.020661047854911803,0,,0,,256465.90806286957,0.011709612333657526,106119.9468947928,0.03522709882737752,1412449.5264482559,0.011958645458512064,,
2026,1,CA-0001-en2026.XLS,1-A,9,Renta Fija,13482.601799932,0.05007241157455546,839479.2872351528,0.5027144136584348,4910056.021558049,0.37432689887392423,574907.1202696257,0.11529886389750085,0,,3470386.6308841547,0.4460660879303684,8938325.958223252,0.330203224627113,19509.933,0.005742195545727026,103646.20537099,0.05779465945223488,2522491.20749124,0.5236307058963656,4703937.89494634,0.3608206183787352,248845.83736977342,0.06992815731336292,0,,2977425.6367060286,0.4384360474448445,6790982.274924506,0.3100598064075337,202797.47467178028,0.06731973480242988,36316274.08445084,0.3074753738225047,,
