archivo,hoja,fila_excel_aprox,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37
CA-0001-no2025.XLS,13,10,CONTINENTAL,368200.47659468086,0.22253520526118317,1396938.824211042,0.10703125885733439,465751.38524073525,0.10755804161151442,806489.7592120001,0.10390065660509788,1436683.6451117198,0.0504756876233452,385300.30307898,0.12087807931860595,802173.2,0.16414846487191084,1475918,0.10806118962087168,288459.6,0.08616024639041861,950437.4,0.14186763105384334,1828928,0.08154777300350508,235340,0.08424656223773921,10440620.593449155,0.0875306157523584,,,,,,,,,,
CA-0001-no2025.XLS,13,11,CREDITO,151861.53999999998,0.0917829854206864,309085.47,0.02368164330123382,120840.366,0.027906203881413315,292607.32374088,0.03769681228667177,539037.09933812,0.018938245964002228,175664.83956199998,0.05511033404433374,252150,0.05159737998907508,134480,0.009846122061127258,94136,0.028117562924612132,509343,0.07602740044095248,708373.4,0.03158477163940904,147928,0.052954981978007507,3435507.0386409997,0.028802123764796725,,,,,,,,,,
CA-0001-no2025.XLS,13,12,INTERBANK,0,0,68248.6,0.005229100549464802,0,0,0,0,0,0,0,0,47068,0.009631510931294014,67240,0.004923061030563629,0,0,117670,0.017564085910451065,100860,0.004497119834752117,0,0,401086.6,0.003362573781298744,,,,,,,,,,
CA-0001-no2025.XLS,13,13,SANTANDER PERÚ,0,0,33620,0.0025759116007215773,0,0,0,0,35301.336200000005,0.0012402585807812453,0,0,55473,0.011351423597596515,110946,0.008123050700429988,0,0,20172,0.0030109861560773253,0,0,0,0,255512.33620000002,0.002142128613881665,,,,,,,,,,
CA-0001-no2025.XLS,13,14,SCOTIABANK,193987.4,0.11724326452897066,241391.6,0.018495045293180922,87412,0.020186442448230424,331527.1562,0.042710882336878066,621237.880794,0.02182624498959093,368668.30581636,0.11566021712573422,275684,0.05641313545472208,168100,0.012307652576409074,73964,0.0220923708693381,63878,0.009534789494244864,632056,0.028181950964446603,68584.8,0.024551855280712572,3126491.1428103596,0.026211439485330258,,,,,,,,,,
CA-0001-no2025.XLS,13,15,INTERAMERICANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
CA-0001-no2025.XLS,13,16,JPM Banco Inver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
CA-0001-no2025.XLS,13,17,Banco BCI Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151290,0.006745679752128177,0,0,151290,0.0012683639577405154,,,,,,,,,,
CA-0001-no2025.XLS,13,18,II. Extranjero,177546.48667664902,0.10730660704571393,223420.71990027197,0.01711814468270901,65424.520000000004,0.01510877577086785,7256695.246087177,0.9348852756521543,17859998.302880898,0.6274837876501262,3389593.8511241586,1.0633980589162886,3575885.891591875,0.7317324733136567,6886777.070726415,0.5042240306822183,2631051.4711353877,0.7858710301855036,2903300.674924462,0.43336298528294226,7304895.257464307,0.3257087978696155,1191492.8,0.42652830938649683,53466082.292511605,0.44824146831522316,,,,,,,,,,
CA-0001-no2025.XLS,13,19,1. Forwards,177546.48667664902,0.10730660704571393,223420.71990027197,0.01711814468270901,65424.520000000004,0.01510877577086785,7256695.246087177,0.9348852756521543,17284332.2883809,0.607258640644281,3282519.9724271586,1.0298063780931523,3575885.891591875,0.7317324733136567,6886777.070726415,0.5042240306822183,2631051.4711353877,0.7858710301855036,2903300.674924462,0.43336298528294226,7304895.257464307,0.3257087978696155,1191492.8,0.42652830938649683,52783342.399314605,0.4425176090182261,,,,,,,,,,
CA-0001-no2025.XLS,13,20,Monedas,177546.48667664902,0.10730660704571393,223420.71990027197,0.01711814468270901,65424.520000000004,0.01510877577086785,7256695.246087177,0.9348852756521543,17284332.2883809,0.607258640644281,3282519.9724271586,1.0298063780931523,3575885.891591875,0.7317324733136567,6886777.070726415,0.5042240306822183,2631051.4711353877,0.7858710301855036,2903300.674924462,0.43336298528294226,7304895.257464307,0.3257087978696155,1191492.8,0.42652830938649683,52783342.399314605,0.4425176090182261,,,,,,,,,,
CA-0001-no2025.XLS,13,21,BANK OF AMERICA,31741.9739648,0.01918440398823195,92731.49272,0.007104941339966583,65424.520000000004,0.01510877577086785,194356.58097920002,0.02503909832530492,876716.5504565405,0.03080209821113395,224727.24574555742,0.07050240453798723,47068,0.009631510931294014,36216,0.0026515999149746045,14486.4,0.00432695529394813,0,0,92455,0.0041223598485227745,25215,0.009026417382614916,1701138.7638660977,0.014261769417694574,,,,,,,,,,
CA-0001-no2025.XLS,13,22,BARCLAYS BANK,0,0,0,0,0,0,293694.63841687934,0.037836891819588686,910261.3519068167,0.03198064362379479,184101.8551140213,0.057757231093102726,69987.12851853021,0.014321445427383842,9458.6985,0.0006925304875847807,58416.799,0.017448564010972625,117358.3512,0.017517567458024033,71466.9958104,0.0031865520958665114,0,0,1714745.8184666475,0.014375846340335487,,,,,,,,,,
CA-0001-no2025.XLS,3,572,FONDOS MUTUOS DEL EXTRANJERO,0,,0,,0.0756288624,5.794564664055203e-09,0.0981374524,2.26633189366283e-08,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.17376631480000002,1.4567977444755919e-09,,
