afp,modelo,factor,coeficiente_estandarizado,coeficiente_abs,ranking
Integra,Huber_robusto,ret_LQD,-0.0008880397137368269,0.0008880397137368269,7
Integra,Huber_robusto,ret_XLF,0.0008051448729692088,0.0008051448729692088,8
Integra,Huber_robusto,ret_EWJ,0.000799985746315503,0.000799985746315503,9
Integra,Huber_robusto,ret_XLI,0.000792263554082074,0.000792263554082074,10
Integra,Huber_robusto,ret_EEM,0.0007615599703055038,0.0007615599703055038,11
Integra,Huber_robusto,ret_XLV,0.000700240830920438,0.000700240830920438,12
Integra,Huber_robusto,ret_VGK,0.0006108282906911887,0.0006108282906911887,13
Integra,Huber_robusto,ret_XLE,0.0006018487352818756,0.0006018487352818756,14
Integra,Huber_robusto,ret_ILF,-0.0005165843152445566,0.0005165843152445566,15
Integra,Huber_robusto,ret_DX_Y_NYB,0.00048774935004846314,0.00048774935004846314,16
Integra,Huber_robusto,ret_IDX_VIX,-0.00040505118460952143,0.00040505118460952143,17
Integra,Huber_robusto,ret_XLY,0.0003987779849240268,0.0003987779849240268,18
Integra,Huber_robusto,ret_MCHI,0.00032210072837981623,0.00032210072837981623,19
Integra,Huber_robusto,ret_GLD,-0.00029666571456301536,0.00029666571456301536,20
Integra,Huber_robusto,ret_XLK,0.0002608843192191833,0.0002608843192191833,21
Integra,Huber_robusto,ret_COPX,0.00021983485158248996,0.00021983485158248996,22
Integra,Huber_robusto,ret_CPER,-0.00021587687345603525,0.00021587687345603525,23
Integra,Huber_robusto,ret_TLT,0.0001984867610237219,0.0001984867610237219,24
Integra,Huber_robusto,ret_XLP,-0.00016744133252685585,0.00016744133252685585,25
Integra,Huber_robusto,ret_USO,8.746475216696088e-05,8.746475216696088e-05,26
Integra,Huber_robusto,ret_XLB,-4.287642577468743e-05,4.287642577468743e-05,27
Prima,ACWI_lineal,ret_ACWI,0.11632360441846151,0.11632360441846151,1
Prima,Ridge,ret_EPU,0.00176733343659488,0.00176733343659488,1
Prima,Ridge,ret_PEN_X,-0.0014909413082091574,0.0014909413082091574,2
Prima,Ridge,ret_HYG,-0.001147534327860407,0.001147534327860407,3
Prima,Ridge,ret_EWJ,0.0006319163498627318,0.0006319163498627318,4
Prima,Ridge,ret_XLF,0.0005203169015932635,0.0005203169015932635,5
Prima,Ridge,ret_IDX_VIX,-0.0005185963998571633,0.0005185963998571633,6
