archivo,hoja,anio,mes,fila_python,fila_excel_aprox,numero_afp_detectadas,afp_detectadas,palabras_encabezado,texto_fila
FP-1356-ma2026.XLS,Fondo3xIntru,0,0,9,10,0,,, |  | bonos brady | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
FP-1356-ma2026.XLS,Fondo3xIntru,0,0,10,11,0,,, |  | letras del tesoro | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
FP-1356-ma2026.XLS,Fondo3xIntru,0,0,11,12,0,,, | 2. sistema financiero |  | 286874.700092 | 5.7728344115624335 | 176168.660414 | 5.681066681869717 | 236123.551792 | 8.460985935866077 | 140929.990285 | 4.233044852162963 | 840096.902583 | 5.920184253990028
FP-1356-ma2026.XLS,Fondo3xIntru,0,0,12,13,0,,, |  | certificados y depósitos a plazo 2/ | 4255.290978 | 0.08563003353426285 | 11629.866287 | 0.37503858928375566 | 1259.926631 | 0.045146794651406315 | 17739.982072 | 0.5328471224292389 | 34885.065968 | 0.24583594774384093
FP-1356-ma2026.XLS,Fondo3xIntru,0,0,13,14,0,,, |  | papeles comerciales | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
FP-1356-ma2026.XLS,Fondo3xIntru,0,0,14,15,0,,, |  | títulos de deuda emitidos por organismos internacionales en el mercado local | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
FP-1356-my2026.XLS,Fondo3xIntru,0,0,3,4,4,habitat | integra | prima | profuturo,total, |  |  | habitat |  | integra |  | prima |  | profuturo |  | total spp | 
FP-1356-my2026.XLS,Fondo3xIntru,0,0,0,1,0,,instrumento,cartera administrada del fondo de pensiones tipo 3 por instrumento financiero y afp |  |  |  |  |  |  |  |  |  |  |  | 
FP-1356-my2026.XLS,Fondo3xIntru,0,0,1,2,0,,,2026-05-31 00:00:00 |  |  |  |  |  |  |  |  |  |  |  | 
FP-1356-my2026.XLS,Fondo3xIntru,0,0,2,3,0,,,(en miles de soles) |  |  |  |  |  |  |  |  |  |  |  | 
FP-1356-my2026.XLS,Fondo3xIntru,0,0,4,5,0,,monto | %, |  |  | monto | % | monto | % | monto | % | monto | % | monto | %
FP-1356-my2026.XLS,Fondo3xIntru,0,0,5,6,0,,,i. inversiones locales |  |  | 2472949.605347 | 42.237150732372065 | 1366015.75445 | 39.0465516326739 | 1452182.710004 | 45.825458666195594 | 1472851.45964 | 40.41797245262432 | 6763999.529442 | 41.84002197959411
FP-1356-my2026.XLS,Fondo3xIntru,0,0,6,7,0,,, | 1. gobierno |  | 380709.845754 | 6.502396614003578 | 110095.687702 | 3.1470039349009826 | 84496.31443 | 2.6663878709499067 | 41471.428199 | 1.1380584454374445 | 616773.276085 | 3.815169902880158
FP-1356-my2026.XLS,Fondo3xIntru,0,0,7,8,0,,, |  | certificados y depósitos a plazo del bcrp 1/ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
FP-1356-my2026.XLS,Fondo3xIntru,0,0,8,9,0,,, |  | bonos del gobierno central | 380709.845754 | 6.502396614003578 | 110095.687702 | 3.1470039349009826 | 84496.31443 | 2.6663878709499067 | 41471.428199 | 1.1380584454374445 | 616773.276085 | 3.815169902880158
FP-1356-my2026.XLS,Fondo3xIntru,0,0,9,10,0,,, |  | bonos brady | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
FP-1356-my2026.XLS,Fondo3xIntru,0,0,10,11,0,,, |  | letras del tesoro | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
FP-1356-my2026.XLS,Fondo3xIntru,0,0,11,12,0,,, | 2. sistema financiero |  | 426685.969217 | 7.287653399098636 | 195331.858148 | 5.583416926075568 | 443674.947503 | 14.000723068772263 | 315956.151093 | 8.67046498649324 | 1381648.925961 | 8.546455566512991
FP-1356-my2026.XLS,Fondo3xIntru,0,0,12,13,0,,, |  | certificados y depósitos a plazo 2/ | 141541.827056 | 2.417486984519744 | 3289.808743 | 0.0940367536221365 | 214727.14934 | 6.7759862714266 | 74708.894275 | 2.050160599026755 | 434267.679414 | 2.6862463802104988
FP-1356-my2026.XLS,Fondo3xIntru,0,0,13,14,0,,, |  | papeles comerciales | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
FP-1356-my2026.XLS,Fondo3xIntru,0,0,14,15,0,,, |  | títulos de deuda emitidos por organismos internacionales en el mercado local | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
