periodo,afp,identificador_agregacion,fecha_cartera,archivo,estado_cobertura,factor_reescala,error_cobertura_pct,total_exterior_miles_soles,total_fondo_miles_soles,usar_modelo_principal,usar_analisis_ampliado,identificador_canonico,canonical_security_id,ticker,name,securityType,securityType2,marketSector,exchCode,estado_identidad_final,usar_en_enriquecimiento_automatico,tipo_identificador,entidad_administradora,moneda,valor,valor_reconciliado_miles_soles,peso_exterior_reconciliado,peso_total_fondo_reconciliado,peso_exterior_reconciliado_pct,peso_total_fondo_reconciliado_pct,identificador_final,isin_original,fue_corregido_checksum,vehiculo,tipo_activo,region_exposicion_preliminar,confianza_region,sector_tema_preliminar,confianza_sector,indice_referencia_preliminar,confianza_indice,factor_proxy_mercado,confianza_factor_proxy,razon_factor_proxy,regla_refinamiento
2015-01,Habitat,BBG001SFQPM5,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US4642866085,BBG001SFQPM5,EZU,ISHARES MSCI EUROZONE ETF,ETP,Mutual Fund,Equity,US,openfigi_validado,True,isin,BlackRock USA,USD,387.20200288,391.40297733885006,0.0061808754189097,0.003904402251694,0.6180875418909756,0.3904402251694048,US4642866085,US4642866085,False,etf_etp,renta_variable,Eurozona,alta,Mercado amplio,alta,MSCI Eurozone,alta,VGK,alta,regla exacta de ticker EZU,ticker::EZU
2015-01,Habitat,BBG001SGXWT3,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,LU0113993397,BBG001SGXWT3,FGV2,JAN HND CONT EUR IEA,Open-End Fund,Mutual Fund,Equity,GR,openfigi_validado,True,isin,GARTMORE,EUR,1885.1005342176,1905.553060644916,0.0300917130269344,0.0190086588285285,3.0091713026934466,1.9008658828528555,LU0113993397,LU0113993397,False,fondo_mutuo_o_abierto,renta_variable,Europa,media,Mercado amplio,media,No determinado,media,VGK,media,regla textual: \bEUROPE\b|\bEURO\b|CONT EUR|EUROPEAN,nombre::\bEUROPE\b|\bEURO\b|CONT EUR|EUROPEAN
2015-01,Habitat,BBG001SHL470,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US97717W8516,BBG001SHL470,DXJ,WISDOMTREE JAPAN HEDGED EQ,ETP,Mutual Fund,Equity,US,openfigi_validado,True,isin,WisdomTreeAsset,USD,3241.7869008800003,3276.9588882931234,0.0517483918470396,0.0326889839958571,5.174839184703969,3.268898399585712,US97717W8516,US97717W8516,False,etf_etp,renta_variable,Japón,alta,Mercado amplio,alta,Japan Hedged Equity,alta,EWJ,alta,regla exacta de ticker DXJ,ticker::DXJ
2015-01,Habitat,BBG001SHTB03,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US9229087690,BBG001SHTB03,VTI,VANGUARD TOTAL STOCK MKT ETF,ETP,Mutual Fund,Equity,US,openfigi_validado,True,isin,VANGUARD GROUP,USD,8086.2963104,8174.029132064178,0.1290809182886941,0.0815392309114055,12.908091828869416,8.153923091140554,US9229087690,US9229087690,False,etf_etp,renta_variable,Estados Unidos,alta,Mercado amplio,alta,CRSP US Total Market,alta,SPY,alta,regla exacta de ticker VTI,ticker::VTI
2015-01,Habitat,BBG001SK77D5,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US4642872349,BBG001SK77D5,EEM,ISHARES MSCI EMERGING MARKET,ETP,Mutual Fund,Equity,US,openfigi_validado,True,isin,BlackRock USA,USD,3077.9409122,3111.335241417892,0.0491329310891235,0.0310368214492406,4.913293108912352,3.103682144924062,US4642872349,US4642872349,False,etf_etp,renta_variable,Mercados emergentes,alta,Mercado amplio,alta,MSCI Emerging Markets,alta,EEM,alta,regla exacta de ticker EEM,ticker::EEM
2015-01,Habitat,BBG001SL75Z3,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US2332034212,BBG001SL75Z3,DFCEX,EMERGING MARKETS CORE EQUITY,Open-End Fund,Mutual Fund,Equity,US,openfigi_validado,True,isin,DIMENSIONAL,USD,413.2685333462,417.7523183997909,0.0065969734148303,0.0041672475352646,0.6596973414830324,0.4167247535264609,US2332034212,US2332034212,False,fondo_mutuo_o_abierto,renta_variable,Mercados emergentes,media,Mercado amplio,media,No determinado,media,EEM,media,regla textual: EMERGING MARKET|EM MRK|EM ASIA|EMERG MKT|ASIAN OPPORT,nombre::EMERGING MARKET|EM MRK|EM ASIA|EMERG MKT|ASIAN OPPORT
2015-01,Habitat,BBG001SMDNB1,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US4642871846,BBG001SMDNB1,FXIGBP,ISHARES CHINA LARGE-CAP ETF,ETP,Mutual Fund,Equity,X2,openfigi_validado,True,isin,BlackRock USA,USD,778.7411060000001,787.1901105816642,0.0124309836312022,0.0078525382232989,1.2430983631202226,0.7852538223298958,US4642871846,US4642871846,False,etf_etp,renta_variable,China,alta,Mercado amplio,alta,China Large Cap,alta,MCHI,alta,regla exacta de ticker FXI,ticker::FXI
2015-01,Habitat,BBG001SP7T00,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US9220427754,BBG001SP7T00,VEUUSD,VANGUARD FTSE ALL-WORLD EX-U,ETP,Mutual Fund,Equity,X2,openfigi_validado,True,isin,VANGUARD GROUP,USD,928.6586386,938.7341836455614,0.0148241055293813,0.0093642513536498,1.4824105529381342,0.936425135364984,US9220427754,US9220427754,False,etf_etp,renta_variable,Global,media,Mercado amplio o no determinado,baja,No determinado,baja,ACWI,media,región Global,sin_cambio
2015-01,Habitat,BBG001SPPQ15,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US2332034139,BBG001SPPQ15,DFEOX,DFA US CORE EQTY 1 PORT-INST,Open-End Fund,Mutual Fund,Equity,US,openfigi_validado,True,isin,DIMENSIONAL,USD,2977.9957135104,3010.305680499128,0.0475375136655983,0.0300290109113116,4.753751366559834,3.002901091131161,US2332034139,US2332034139,False,fondo_mutuo_o_abierto,renta_variable,No determinado,baja,Mercado amplio o no determinado,baja,No determinado,baja,RESIDUAL_NO_MAPEADO,baja,sin regla suficientemente específica,sin_cambio
2015-01,Habitat,BBG001SPPQ24,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US2332033719,BBG001SPPQ24,DFIEX,INTERNATIONAL CORE EQUITY 2,Open-End Fund,Mutual Fund,Equity,US,openfigi_validado,True,isin,DIMENSIONAL,USD,2335.3452891384,2360.682776649555,0.0372789349872647,0.0235487609505493,3.7278934987264782,2.3548760950549386,US2332033719,US2332033719,False,fondo_mutuo_o_abierto,renta_variable,No determinado,baja,Mercado amplio o no determinado,baja,No determinado,baja,RESIDUAL_NO_MAPEADO,baja,sin regla suficientemente específica,sin_cambio
