id_instrumento,nivel_1,nivel_2,nivel_3,descripcion,ruta_jerarquica,primera_fecha,ultima_fecha,meses_presentes,afp_presentes,participacion_mediana_pct,participacion_max_abs_pct,observaciones
66,,I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos para Nuevos Proyectos,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos para Nuevos Proyectos,2017-12-31,2018-01-31,2,4,0.0104974176781158,0.0876261058821274,8
67,I. INVERSIONES LOCALES,3. Empresas no Financieras,Otros instrumentos autorizados (3),Otros instrumentos autorizados (3),I. INVERSIONES LOCALES > 3. Empresas no Financieras > Otros instrumentos autorizados (3),2015-09-30,2022-02-28,76,4,0.019507670040438248,0.0485492279093658,226
68,,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Acciones y Valores representativos sobre Acciones,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Acciones y Valores representativos sobre Acciones,2017-12-31,2018-01-31,2,4,0.0,0.0468032698119484,8
69,I. INVERSIONES LOCALES,3. Empresas no Financieras,Fondo de inversiones alternativos,Fondo de inversiones alternativos,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Fondo de inversiones alternativos,2022-03-31,2026-05-31,51,4,0.0,0.0355809943003551,204
70,,I. INVERSIONES LOCALES,3. Empresas no Financieras,Otros instrumentos autorizados (3),I. INVERSIONES LOCALES > 3. Empresas no Financieras > Otros instrumentos autorizados (3),2017-12-31,2018-01-31,2,4,0.0078588916244094,0.0228948516926441,8
71,I. INVERSIONES LOCALES,3. Empresas no Financieras,Certificados de Suscripción Preferente,Certificados de Suscripción Preferente,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Certificados de Suscripción Preferente,2015-01-30,2026-05-31,135,4,0.0,0.0073693831188643,540
72,I. INVERSIONES LOCALES,1. Gobierno,Letras del Tesoro,Letras del Tesoro,I. INVERSIONES LOCALES > 1. Gobierno > Letras del Tesoro,2015-01-30,2026-05-31,135,4,0.0,0.0,540
73,I. INVERSIONES LOCALES,2. Sistema Financiero,Acciones Preferentes,Acciones Preferentes,I. INVERSIONES LOCALES > 2. Sistema Financiero > Acciones Preferentes,2015-01-30,2026-05-31,135,4,0.0,0.0,540
74,I. INVERSIONES LOCALES,2. Sistema Financiero,Bonos Hipotecarios,Bonos Hipotecarios,I. INVERSIONES LOCALES > 2. Sistema Financiero > Bonos Hipotecarios,2015-01-30,2026-05-31,135,4,0.0,0.0,540
75,I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos Estructurados,Bonos Estructurados,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos Estructurados,2015-01-30,2026-05-31,135,4,0.0,0.0,540
