fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,grupo,entidad_administradora,isin,moneda,seccion,estado_identificacion,instrumento_sin_isin,estado_refinado,fila_instrumento_origen,total_refinado,participacion_hoja10_refinada_pct,participacion_reportada_pct,periodo,identificador_final,tipo_identificador,valor_redondeado,monto_hojas_miles_soles,total_exterior_miles_soles,total_fondo_miles_soles,ratio_cobertura_exterior,error_cobertura_pct,factor_reescala,estado_cobertura,elegible_modelo_principal,elegible_analisis_ampliado,peso_dentro_hojas,valor_reconciliado_miles_soles,peso_exterior_reconciliado,peso_total_fondo_reconciliado,peso_exterior_reconciliado_pct,peso_total_fondo_reconciliado_pct,usar_modelo_principal,usar_analisis_ampliado,ranking_afp
2026-01-30,CA-0001-en2026.XLS,10,163,Integra,3,45508.2588489855,miles_soles,0.013394065538638,76,BNP PARIBAS INVESTMENT PARTNERS LUXEMBOURG,LU0102000758,JPY,,isin,,isin,,2093586.452720453,2.1736985730802303,1.339406553863804,2026-01,LU0102000758,isin,45508.258849,1835709.1068413816,2025833.528575,3397643.435275,0.9061500271113814,9.384997288861863,1.1035700160908153,ampliado,False,True,0.024790561140315647,50221.54995023991,0.024790561140315644,0.014781289121992594,2.4790561140315646,1.4781289121992593,False,True,11
2026-01-30,CA-0001-en2026.XLS,10,386,Integra,3,44341.484832,miles_soles,0.0130506586923303,154,BlackRock Asset Management (Deutschland) AG,DE000A0Q4R85,USD,,isin,,isin,,2093586.452720453,2.117967699608568,1.305065869233036,2026-01,DE000A0Q4R85,isin,44341.484832,1835709.1068413816,2025833.528575,3397643.435275,0.9061500271113814,9.384997288861863,1.1035700160908153,ampliado,False,True,0.02415496260641007,48933.933129540885,0.024154962606410067,0.014402315623087227,2.4154962606410066,1.4402315623087227,False,True,12
2026-01-30,CA-0001-en2026.XLS,10,145,Integra,3,42338.083920000005,miles_soles,0.0124610144432603,75,BlackRock Fund Advisors,US4642875235,USD,,isin,,isin,,2093586.452720453,2.02227540520168,1.2461014443260314,2026-01,US4642875235,isin,42338.08392,1835709.1068413816,2025833.528575,3397643.435275,0.9061500271113814,9.384997288861863,1.1035700160908153,ampliado,False,True,0.023063612727208808,46723.039952848696,0.023063612727208808,0.013751601909653303,2.306361272720881,1.3751601909653304,False,True,13
2026-01-30,CA-0001-en2026.XLS,10,494,Integra,3,39084.1884802275,miles_soles,0.0115033225895505,240,Harbourvest Co-Investment IV Associates LP,,USD,,entidad_sin_isin,Harbourvest Partners Co-investment Fund IV LP,fondo_sin_isin_pareja_exacta,495.0,2093586.452720453,1.8668533334002344,1.150332258955056,2026-01,Harbourvest Partners Co-investment Fund IV LP,fondo_sin_isin,39084.18848,1835709.1068413816,2025833.528575,3397643.435275,0.9061500271113814,9.384997288861863,1.1035700160908153,ampliado,False,True,0.02129105768150697,43132.13851002112,0.021291057681506968,0.01269472189524504,2.129105768150697,1.269472189524504,False,True,14
2026-01-30,CA-0001-en2026.XLS,10,148,Integra,3,37362.84064,miles_soles,0.0109966926641273,75,BlackRock Fund Advisors,US4642864007,USD,,isin,,isin,,2093586.452720453,1.7846332828266964,1.0996692664127383,2026-01,US4642864007,isin,37362.84064,1835709.1068413816,2025833.528575,3397643.435275,0.9061500271113814,9.384997288861863,1.1035700160908153,ampliado,False,True,0.020353355823509795,41232.51064628337,0.020353355823509795,0.012135620300293835,2.0353355823509793,1.2135620300293835,False,True,15
2026-01-30,CA-0001-en2026.XLS,10,469,Integra,3,36659.1610105323,miles_soles,0.0107895845190636,217,"Oaktree Principal Fund VI GP, L.P.",,USD,,entidad_sin_isin,Oaktree Principal Fund VI L.P. (Feeder),fondo_sin_isin_pareja_exacta,470.0,2093586.452720453,1.751022078065922,1.078958451906362,2026-01,Oaktree Principal Fund VI L.P. (Feeder),fondo_sin_isin,36659.161011,1835709.1068413816,2025833.528575,3397643.435275,0.9061500271113814,9.384997288861863,1.1035700160908153,ampliado,False,True,0.019970027317459896,40455.95090626892,0.019970027317459893,0.011907061961313335,1.9970027317459893,1.1907061961313334,False,True,16
2026-01-30,CA-0001-en2026.XLS,10,74,Integra,3,32198.5261908,miles_soles,0.0094767231477313,56,REPUBLICA DE COLOMBIA,COL17CT03938,COP,,isin,,isin,,2093586.452720453,1.5379601902257494,0.94767231477313,2026-01,COL17CT03938,isin,32198.526191,1835709.1068413816,2025833.528575,3397643.435275,0.9061500271113814,9.384997288861863,1.1035700160908153,ampliado,False,True,0.017540102661582634,35533.32806648169,0.017540102661582634,0.01045822751662747,1.7540102661582635,1.045822751662747,False,True,17
2026-01-30,CA-0001-en2026.XLS,10,307,Integra,3,29844.0091805978,miles_soles,0.0087837378315684,122,Baillie Gifford Overseas Growth Funds ICVC,GB0006063233,GBP,,isin,,isin,,2093586.452720453,1.4254968617043653,0.8783737831568421,2026-01,GB0006063233,isin,29844.009181,1835709.1068413816,2025833.528575,3397643.435275,0.9061500271113814,9.384997288861863,1.1035700160908153,ampliado,False,True,0.016257482772937256,32934.953691646755,0.016257482772937256,0.009693469700119091,1.6257482772937255,0.9693469700119091,False,True,18
2026-01-30,CA-0001-en2026.XLS,10,180,Integra,3,29459.129481090004,miles_soles,0.0086704594058478,82,JP MORGAN FLEMING FUNDS SICAV,LU0129464904,USD,,isin,,isin,,2093586.452720453,1.407113111704088,0.8670459405847817,2026-01,LU0129464904,isin,29459.129481,1835709.1068413816,2025833.528575,3397643.435275,0.9061500271113814,9.384997288861863,1.1035700160908153,ampliado,False,True,0.016047820088324855,32510.211995467907,0.016047820088324855,0.009568459026023894,1.6047820088324856,0.9568459026023894,False,True,19
2026-01-30,CA-0001-en2026.XLS,10,559,Integra,3,29348.3377419566,miles_soles,0.0086378509990964,291,"Global Infrastructure GP IV, L.P.",PRIVFAEGIP4F,USD,,isin,,isin,,2093586.452720453,1.401821152588216,0.8637850999096488,2026-01,PRIVFAEGIP4F,isin,29348.337742,1835709.1068413816,2025833.528575,3397643.435275,0.9061500271113814,9.384997288861863,1.1035700160908153,ampliado,False,True,0.015987466441485874,32387.945554129725,0.015987466441485874,0.009532473366060643,1.5987466441485874,0.9532473366060643,False,True,20
