afp,baseline,segmento,n,mae,rmse,r2,sesgo,correlacion,direccion_diaria_pct,cobertura_direccional_pct,mae_retorno_cero,mejora_mae_vs_cero_pct,ranking_mae
Integra,MEDIA_EXPANSIVA,validacion,593,0.003665621149904008,0.006043373028163394,-0.002559599229339904,0.00023890722631382885,-0.07316899051294937,50.5902192242833,100.0,0.003660105727268497,-0.15069025450330653,2.0
Integra,MEDIA_EXPANSIVA,prueba,593,0.005373004299099008,0.00791791240290547,-0.0015864567905650162,-0.0003279127254944517,0.018456738551369735,56.155143338954474,100.0,0.005395015701423717,0.40799514853868124,1.0
Integra,MEDIA_MOVIL_20,entrenamiento,1759,0.0036391446125111286,0.005119914230503464,-0.021710829943672127,-2.895282952517543e-06,0.12661779199154286,54.00795906765208,100.0,0.00359650008172146,-1.1857230591040788,3.0
Integra,MEDIA_MOVIL_20,validacion,593,0.0038355580478411622,0.006147990125276804,-0.03757074542547123,-5.273275146598727e-06,0.07635149819605523,52.78246205733558,100.0,0.003660105727268497,-4.793640775606874,3.0
Integra,MEDIA_MOVIL_20,prueba,593,0.00547335739438232,0.00810669210829555,-0.04991566519857682,-1.862005240729857e-05,0.01653655097889868,53.96290050590219,100.0,0.005395015701423717,-1.4521124180960001,3.0
Prima,RETORNO_CERO,entrenamiento,1779,0.003518691467419881,0.005093238209621161,-0.0026844669162042756,-0.00026353656015662045,,,0.0,0.003518691467419881,0.0,2.0
Prima,RETORNO_CERO,validacion,593,0.0034199398481546592,0.0048771137242534434,-2.3299010666111286e-05,-2.354108976796688e-05,,,0.0,0.0034199398481546592,0.0,1.0
Prima,RETORNO_CERO,prueba,593,0.005526064086746787,0.00840364426954539,-0.003927888921664069,-0.0005256491900488007,,,0.0,0.005526064086746787,0.0,2.0
Prima,PERSISTENCIA_1D,entrenamiento,1778,0.004397837315933401,0.006379515061379275,-0.5762230190991007,-7.3602444426199e-06,0.21285369567784593,58.77390326209224,100.0,0.003518691467419881,-24.98502232019118,4.0
Prima,PERSISTENCIA_1D,validacion,593,0.004446545778042052,0.006124053974894071,-0.5767483052169973,3.679133950039345e-07,0.21165487439167355,56.155143338954474,100.0,0.0034199398481546592,-30.01824521683713,4.0
Prima,PERSISTENCIA_1D,prueba,593,0.008022842428975658,0.011810569476494621,-0.9829368155163623,-2.1049227035260252e-05,0.006149465050537884,47.38617200674536,100.0,0.005526064086746787,-45.18185643588388,4.0
Prima,MEDIA_EXPANSIVA,entrenamiento,1719,0.0034941205319916234,0.0051044316838530215,-0.0019551750066499896,-8.34247461008934e-05,-0.02310770394603842,55.26468877254218,100.0,0.003518691467419881,0.6982975249681258,1.0
Prima,MEDIA_EXPANSIVA,validacion,593,0.003421513033667015,0.004882722322477065,-0.002324641233689473,0.00017041134525240547,-0.07406846208922054,51.433389544688026,100.0,0.0034199398481546592,-0.04600038545136149,2.0
Prima,MEDIA_EXPANSIVA,prueba,593,0.0055066827051544,0.008393647831352501,-0.0015408925533069162,-0.00034407342612680064,0.020341781065546013,55.81787521079258,100.0,0.005526064086746787,0.35072668879952595,1.0
Prima,MEDIA_MOVIL_20,entrenamiento,1759,0.0035615900269381578,0.005131900039375412,-0.021600004874594347,-5.197552335817937e-07,0.12861888169364916,54.860716316088684,100.0,0.003518691467419881,-1.219162291308609,3.0
Prima,MEDIA_MOVIL_20,validacion,593,0.0035560555949766823,0.004991271840857746,-0.047386086873848265,-4.969488329888284e-06,0.0680971448718158,51.77065767284992,100.0,0.0034199398481546592,-3.980062599506503,3.0
Prima,MEDIA_MOVIL_20,prueba,593,0.0056422197375662,0.008584152823335776,-0.04751941268919602,-2.7201419334239657e-05,0.018127417192151427,53.79426644182125,100.0,0.005526064086746787,-2.1019598939865887,3.0
Profuturo,RETORNO_CERO,entrenamiento,1779,0.0037177089030954874,0.005279520215654134,-0.004318594087250327,-0.0003462022598249621,,,0.0,0.0037177089030954874,0.0,2.0
Profuturo,RETORNO_CERO,validacion,593,0.003693270297963564,0.005209691609130549,-8.130991933086307e-05,-4.6974928238797595e-05,,,0.0,0.003693270297963564,0.0,1.0
Profuturo,RETORNO_CERO,prueba,593,0.005549985233366325,0.008217003716800167,-0.0039748670713848355,-0.0005170271718433014,,,0.0,0.005549985233366325,0.0,2.0
Profuturo,PERSISTENCIA_1D,entrenamiento,1778,0.004831145812699706,0.006802569423932081,-0.6695044804738635,-6.23331001755646e-06,0.16600055907010355,53.937007874015755,100.0,0.0037177089030954874,-29.94954523408583,4.0
Profuturo,PERSISTENCIA_1D,validacion,593,0.004842575975239225,0.006585769784650065,-0.59817513700238,-8.969837892987659e-07,0.20085698923619197,55.81787521079258,100.0,0.003693270297963564,-31.118915880848956,4.0
Profuturo,PERSISTENCIA_1D,prueba,593,0.00779028325087974,0.01139625580872614,-0.9311688721697469,-1.1102634671937755e-05,0.033588044401839594,51.09612141652614,100.0,0.005549985233366325,-40.36583744484253,4.0
Profuturo,MEDIA_EXPANSIVA,entrenamiento,1719,0.0036887662742763924,0.005281863499141844,-0.002168280991899252,-8.482370126727102e-05,-0.027546074376501542,54.45026178010471,100.0,0.0037177089030954874,0.7785071282745244,1.0
Profuturo,MEDIA_EXPANSIVA,validacion,593,0.003695745888672675,0.005217237425525801,-0.0029804815816449892,0.0002202359454743914,-0.07176639118415415,50.92748735244519,100.0,0.003693270297963564,-0.06702977332787144,2.0
Profuturo,MEDIA_EXPANSIVA,prueba,593,0.005529153035847651,0.008205132661255906,-0.0010760896783377216,-0.0002596924121685331,-0.008843262585374847,55.4806070826307,100.0,0.005549985233366325,0.3753559089388376,1.0
Profuturo,MEDIA_MOVIL_20,entrenamiento,1759,0.0037514287192569823,0.005320187363754643,-0.025660267231407463,1.0988814467999944e-07,0.10785177579933716,53.666856168277434,100.0,0.0037177089030954874,-0.9070052831037602,3.0
Profuturo,MEDIA_MOVIL_20,validacion,593,0.003823479541573775,0.005304184015582922,-0.03668889025293365,-1.1235709846567805e-05,0.09241050242401623,52.4451939291737,100.0,0.003693270297963564,-3.5255812086650367,3.0
Profuturo,MEDIA_MOVIL_20,prueba,593,0.005647686232304449,0.00845817724502793,-0.06377416246410039,-1.6660396952717803e-05,-0.03493230434931139,52.4451939291737,100.0,0.005549985233366325,-1.7603830430169252,3.0
