nivel_1,nivel_2,nivel_3,descripcion,ruta_jerarquica,categoria_economica,factor_representativo_inicial,calidad_proxy_inicial,regla_mapeo,primera_fecha,ultima_fecha,meses_presentes,afp_presentes,participacion_mediana_pct,participacion_max_abs_pct
II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Cuotas de Fondos de Inversión,Cuotas de Fondos de Inversión,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Cuotas de Fondos de Inversión,fondos_inversion_exterior,proxy_fondos_exterior_pendiente,baja,fondos_inversion_exterior_actual_historico,2015-01-30,2018-12-31,46,4,0.0,0.0
I. INVERSIONES LOCALES,4. Administradoras de Fondos,Cuotas de Fondos de Inversión,Cuotas de Fondos de Inversión,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Cuotas de Fondos de Inversión,fondos_inversion_local_tradicional,proxy_fondos_locales_pendiente,baja,fondos_inversion_local_actual_historico,2015-01-30,2018-12-31,46,4,4.617929770030511,7.837543705796472
,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Cuotas de Fondos de Inversión,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Cuotas de Fondos de Inversión,fondos_inversion_local_tradicional,proxy_fondos_locales_pendiente,baja,fondos_inversion_local_actual_historico,2017-12-31,2018-01-31,2,4,3.853754110271301,6.09812918645734
I. INVERSIONES LOCALES,4. Administradoras de Fondos,Fondo de Inversión Tradicional,Fondo de Inversión Tradicional,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Fondo de Inversión Tradicional,fondos_inversion_local_tradicional,proxy_fondos_locales_pendiente,baja,fondos_inversion_local_actual_historico,2019-01-31,2026-05-31,89,4,0.36565164151225826,3.4866617444406947
,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Bonos de Fondos de Inversión,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Bonos de Fondos de Inversión,fondos_inversion_local_tradicional,proxy_fondos_locales_pendiente,baja,fondos_inversion_local_actual_historico,2017-12-31,2018-01-31,2,4,0.0,0.0
I. INVERSIONES LOCALES,4. Administradoras de Fondos,Bonos de Fondos de Inversión,Bonos de Fondos de Inversión,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Bonos de Fondos de Inversión,fondos_inversion_local_tradicional,proxy_fondos_locales_pendiente,baja,fondos_inversion_local_actual_historico,2018-02-28,2018-12-31,11,4,0.0,0.0
II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Cuotas de Fondos Mutuos,Cuotas de Fondos Mutuos,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Cuotas de Fondos Mutuos,fondos_mutuos_exterior,ACWI,media,fondos_mutuos_exterior_actual_historico,2015-01-30,2018-12-31,46,4,60.458323697610524,67.68800246395114
,II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Cuotas de Fondos Mutuos,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Cuotas de Fondos Mutuos,fondos_mutuos_exterior,ACWI,media,fondos_mutuos_exterior_actual_historico,2017-12-31,2018-01-31,2,4,60.279184338138265,62.10020572523819
II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Fondos Mutuos del Extranjero,Fondos Mutuos del Extranjero,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Fondos Mutuos del Extranjero,fondos_mutuos_exterior,ACWI,media,fondos_mutuos_exterior_actual_historico,2019-01-31,2026-05-31,89,4,36.27820222144496,59.2370983738515
II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Fondos Mutuos,Fondos Mutuos,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Fondos Mutuos,fondos_mutuos_exterior,ACWI,media,fondos_mutuos_exterior_actual_historico,2018-12-31,2026-05-31,90,4,0.0,0.8187727906207481
I. INVERSIONES LOCALES,4. Administradoras de Fondos,Fondo Mutuo Local,Fondo Mutuo Local,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Fondo Mutuo Local,fondos_mutuos_locales,proxy_fondos_locales_pendiente,baja,fondo_mutuo_local,2022-11-30,2026-05-31,43,4,0.0,1.268043665824656
