escenario,periodo,fecha_cartera,afp,tipo_activo,peso_exterior,peso_total_fondo,identificadores,peso_exterior_pct,peso_total_fondo_pct
ampliado_15pct,2018-09,2018-09-28,Habitat,renta_variable,0.9097075971038484,0.5742249636570047,62,90.97075971038484,57.42249636570047
ampliado_15pct,2018-09,2018-09-28,Integra,mercados_privados_y_alternativos,0.12395000226590996,0.07561910958123425,18,12.395000226590996,7.561910958123424
ampliado_15pct,2018-09,2018-09-28,Integra,no_determinado,0.041137550889112896,0.025097094890840322,9,4.113755088911289,2.5097094890840324
ampliado_15pct,2018-09,2018-09-28,Integra,renta_fija,2.3489900595731437e-07,1.4330660223710658e-07,1,2.3489900595731438e-05,1.4330660223710658e-05
ampliado_15pct,2018-09,2018-09-28,Integra,renta_variable,0.8349122119459671,0.5093611689526936,67,83.4912211945967,50.93611689526936
ampliado_15pct,2018-09,2018-09-28,Prima,mercados_privados_y_alternativos,0.1057120075877795,0.0671423747002432,8,10.57120075877795,6.714237470024321
ampliado_15pct,2018-09,2018-09-28,Prima,no_determinado,0.016885720261455,0.0107248682789103,2,1.6885720261455,1.07248682789103
ampliado_15pct,2018-09,2018-09-28,Prima,renta_variable,0.8774022721507634,0.5572770157701713,33,87.74022721507635,55.72770157701713
ampliado_15pct,2018-09,2018-09-28,Profuturo,mercados_privados_y_alternativos,0.1293259856333724,0.08449592667994897,19,12.932598563337239,8.449592667994898
ampliado_15pct,2018-09,2018-09-28,Profuturo,no_determinado,0.03397217907804799,0.022195931764823332,4,3.397217907804799,2.2195931764823333
ampliado_15pct,2018-09,2018-09-28,Profuturo,renta_variable,0.8367018352885774,0.5466642808193616,27,83.67018352885775,54.66642808193616
ampliado_15pct,2018-10,2018-10-31,Habitat,mercados_privados_y_alternativos,0.0004589680257873,0.0002768642092413,1,0.04589680257873,0.027686420924129998
ampliado_15pct,2018-10,2018-10-31,Habitat,no_determinado,0.0087530988544419,0.0052801495018936,5,0.87530988544419,0.52801495018936
ampliado_15pct,2018-10,2018-10-31,Habitat,renta_fija,0.08876604781270629,0.0535465223159773,2,8.876604781270629,5.35465223159773
ampliado_15pct,2018-10,2018-10-31,Habitat,renta_variable,0.9020218853070611,0.544128483820821,62,90.20218853070611,54.4128483820821
ampliado_15pct,2018-10,2018-10-31,Integra,mercados_privados_y_alternativos,0.14104788997635642,0.08667298512460556,18,14.104788997635643,8.667298512460556
ampliado_15pct,2018-10,2018-10-31,Integra,no_determinado,0.0318508177299814,0.0195721144909006,9,3.18508177299814,1.9572114490900598
ampliado_15pct,2018-10,2018-10-31,Integra,renta_fija,2.4563467512645464e-07,1.509408651692089e-07,1,2.4563467512645464e-05,1.509408651692089e-05
ampliado_15pct,2018-10,2018-10-31,Integra,renta_variable,0.827101046658983,0.5082480618861913,69,82.7101046658983,50.824806188619135
ampliado_15pct,2018-10,2018-10-31,Prima,mercados_privados_y_alternativos,0.1247223573221566,0.0780869166450723,8,12.47223573221566,7.808691664507229
