afp,factor,mejor_lag_train,n_train,cobertura_train_pct,spearman_train,pearson_train,mutual_information_train,abs_spearman_train,indice,pais_region,ticker_elegido,moneda_local,moneda_modelo,transformacion,fx_ticker,fx_modo
Integra,ret_IDX_LOCAL_HONG_KONG_HANG_SENG,0,1779,99.9438202247191,0.4251967724293331,0.46306317319349727,0.12101731638755897,0.4251967724293331,Hang Seng,Hong Kong,^HSI,HKD,HKD,retorno_indice_moneda_local,HKD=X,INVERSO
Integra,ret_IDX_LOCAL_M_XICO_S_P_BMV_IPC,0,1779,99.9438202247191,0.4120350812529552,0.4578452949477909,0.1271573243520816,0.4120350812529552,S&P/BMV IPC,México,^MXX,MXN,MXN,retorno_indice_moneda_local,MXN=X,INVERSO
Integra,ret_IDX_LOCAL_COREA_DEL_SUR_KOSPI,0,1777,99.8314606741573,0.3794775555837655,0.43874812786609346,0.0987119380312782,0.3794775555837655,KOSPI,Corea del Sur,^KS11,KRW,KRW,retorno_indice_moneda_local,KRW=X,INVERSO
Integra,ret_IDX_PEN_ESTADOS_UNIDOS_RUSSELL_2000,0,1779,99.9438202247191,0.3656212433680949,0.4257735903629688,0.11983572561705635,0.3656212433680949,Russell 2000,Estados Unidos,^RUT,USD,PEN,indice_local_convertido_a_PEN,,USD
Prima,ret_IDX_LOCAL_ESTADOS_UNIDOS_S_P_500,0,1779,99.9438202247191,0.54608120577379,0.6301045153763906,0.23482371714847794,0.54608120577379,S&P 500,Estados Unidos,^GSPC,USD,USD,retorno_indice_moneda_local,,USD
Prima,ret_IDX_LOCAL_ESTADOS_UNIDOS_DOW_JONES_INDUSTRIAL_AVERAGE,0,1779,99.9438202247191,0.5361183465312738,0.6270932121342694,0.21666367833193068,0.5361183465312738,Dow Jones Industrial Average,Estados Unidos,^DJI,USD,USD,retorno_indice_moneda_local,,USD
Prima,ret_IDX_LOCAL_EUROPA_STOXX_EUROPE_600,0,1779,99.9438202247191,0.5039047800053746,0.607020831135095,0.22900118246918844,0.5039047800053746,STOXX Europe 600,Europa,^STOXX,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Prima,ret_IDX_LOCAL_ESTADOS_UNIDOS_NASDAQ_COMPOSITE,0,1779,99.9438202247191,0.5003255975605373,0.588982093440451,0.1744740326115819,0.5003255975605373,Nasdaq Composite,Estados Unidos,^IXIC,USD,USD,retorno_indice_moneda_local,,USD
Prima,ret_IDX_LOCAL_PA_SES_BAJOS_AEX,0,1779,99.9438202247191,0.4974128362119004,0.5884843132240646,0.1983448450556553,0.4974128362119004,AEX,Países Bajos,^AEX,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Prima,ret_IDX_LOCAL_ESTADOS_UNIDOS_RUSSELL_2000,0,1779,99.9438202247191,0.49101952512206876,0.5820805712430913,0.19493515182747068,0.49101952512206876,Russell 2000,Estados Unidos,^RUT,USD,USD,retorno_indice_moneda_local,,USD
