afp,tipo_modelo,factor,lag,coeficiente_estandarizado,abs_coeficiente
Integra,CAMPEON_MAS_BVL,ret_USD_COPX,0,0.0007703851696099491,0.0007703851696099491
Integra,CAMPEON_MAS_BVL,ret_BVL_PEN_MINSUR,0,0.0007580905974758956,0.0007580905974758956
Integra,CAMPEON_MAS_BVL,ret_BVL_PEN_UNACEM,0,0.00053137369141784,0.00053137369141784
Integra,CAMPEON_MAS_BVL,ret_BVL_PEN_ALICORP,0,0.00044235495926340515,0.00044235495926340515
Integra,CAMPEON_MAS_BVL,ret_PEN_FCX,1,0.00029697912609622694,0.00029697912609622694
Prima,CAMPEON_PRE_BVL,ret_USD_EPU,0,0.0018913152221434048,0.0018913152221434048
Prima,CAMPEON_PRE_BVL,ret_USD_VWO,0,0.0010319356089756755,0.0010319356089756755
Prima,CAMPEON_PRE_BVL,ret_USD_SPY,0,0.0006290746580842403,0.0006290746580842403
Prima,CAMPEON_MAS_BVL,ret_USD_VWO,0,0.001244858923501483,0.001244858923501483
Prima,CAMPEON_MAS_BVL,ret_BVL_PEN_MINSUR,0,0.0009381506319901003,0.0009381506319901003
Prima,CAMPEON_MAS_BVL,ret_USD_EPU,0,0.0009237884154596447,0.0009237884154596447
Prima,CAMPEON_MAS_BVL,ret_BVL_PEN_INRETAIL_PERU,0,0.0007666004798729676,0.0007666004798729676
Prima,CAMPEON_MAS_BVL,ret_USD_SPY,0,0.0006885208121331583,0.0006885208121331583
Prima,CAMPEON_MAS_BVL,ret_BVL_PEN_ALICORP,0,0.000541109738153037,0.000541109738153037
Prima,CAMPEON_MAS_BVL,ret_BVL_PEN_UNACEM,0,0.00043690221901192066,0.00043690221901192066
Profuturo,CAMPEON_PRE_BVL,ret_USD_EPU,0,0.002244394352771117,0.002244394352771117
Profuturo,CAMPEON_PRE_BVL,ret_USD_SPY,0,0.0010789332109562952,0.0010789332109562952
Profuturo,CAMPEON_PRE_BVL,ret_USD_FCX,1,0.0005610869696225338,0.0005610869696225338
Profuturo,CAMPEON_PRE_BVL,ret_USD_NEM,0,-0.0004328466639906746,0.0004328466639906746
Profuturo,CAMPEON_PRE_BVL,ret_PEN_MCHI,0,0.0003467454927723199,0.0003467454927723199
Profuturo,CAMPEON_PRE_BVL,ret_USD_COPX,0,0.0002466330651670541,0.0002466330651670541
Profuturo,CAMPEON_MAS_BVL,ret_USD_EPU,0,0.0013403335551207746,0.0013403335551207746
Profuturo,CAMPEON_MAS_BVL,ret_BVL_PEN_MINSUR,0,0.0009180434742151655,0.0009180434742151655
Profuturo,CAMPEON_MAS_BVL,ret_USD_SPY,0,0.000830487222171528,0.000830487222171528
Profuturo,CAMPEON_MAS_BVL,ret_BVL_PEN_CERRO_VERDE,0,0.0008119091341223525,0.0008119091341223525
Profuturo,CAMPEON_MAS_BVL,ret_BVL_PEN_INRETAIL_PERU,0,0.0007555426947773907,0.0007555426947773907
Profuturo,CAMPEON_MAS_BVL,ret_BVL_PEN_ALICORP,0,0.0005050520934633412,0.0005050520934633412
Profuturo,CAMPEON_MAS_BVL,ret_USD_COPX,0,0.00040635455829181745,0.00040635455829181745
Profuturo,CAMPEON_MAS_BVL,ret_USD_NEM,0,-0.0003099935162277606,0.0003099935162277606
Profuturo,CAMPEON_MAS_BVL,ret_USD_FCX,1,0.0002623586951641332,0.0002623586951641332
Profuturo,CAMPEON_MAS_BVL,ret_PEN_MCHI,0,0.00022754086239603718,0.00022754086239603718
