grupo,entidad,fila_entidad,numero_isin,max_diferencia_abs,max_diferencia_rel,estado
308,EQT Infrastructure V (General Partner) S.à.r.,593,1,0.0,0.0,reconciliado
309,"CD&R Associates XI, L.P.",595,1,0.0,0.0,reconciliado
310,Crown Global Secondaries V GP S.à r.l.,597,1,0.0,0.0,reconciliado
311,EQT IX (General Partner) S.à r.l.,599,1,0.0,0.0,reconciliado
312,Blackstone Growth Associates L.P.,601,1,0.0,0.0,reconciliado
313,"Insight Associates XII, L.P",603,1,0.0,0.0,reconciliado
314,G Squared Equity GP V S.à.r.l,605,1,0.0,0.0,reconciliado
315,InfraVia European Fund V SCSp,607,1,0.0,0.0,reconciliado
316,"STEPSTONE CAPITAL V (GP), LLC",609,1,0.0,0.0,reconciliado
317,Antin Infrastructure Partners V Luxembourg GP,611,1,0.0,0.0,reconciliado
318,"Knightsbridge Management X, LLC",613,1,0.0,0.0,reconciliado
319,PAI Partners VIII GP S.à r.l.,615,1,0.0,0.0,reconciliado
320,"Platinum Equity Partners VI, LP",617,1,0.0,0.0,reconciliado
321,Vitruvian Luxcar General Partner S.à.r.l,619,1,0.0,0.0,reconciliado
322,"Veritas Capital Partners IX, L.L.C",621,1,0.0,0.0,reconciliado
323,Triton Fund 6 General Partner SARL,623,1,0.0,0.0,reconciliado
324,InfraVia GP VI Sàrl,625,1,0.0,0.0,reconciliado
325,"Insight Partners XIII, L.P.",627,1,0.0,0.0,reconciliado
326,"Ridgemont Equity Management V, L.P.",629,1,0.0,0.0,reconciliado
327,CapVest Private Equity VI GP SCSp,631,1,0.0,0.0,reconciliado
328,CITIBANK N.A.,634,0,,,sin_isin
329,CITIBANK N.A.,635,0,,,sin_isin
330,JP Morgan Chase Bank N.A,636,0,,,sin_isin
331,JP Morgan Chase Bank N.A,637,0,,,sin_isin
332,The Bank of Nova Scotia,638,0,,,sin_isin
333,The Bank of Nova Scotia,639,0,,,sin_isin
