escenario,afp,grupo_cobertura,periodos,peso_exterior_mediano,peso_exterior_p90,peso_total_fondo_mediano,peso_exterior_mediano_pct,peso_total_fondo_mediano_pct
ampliado_15pct,Prima,privados_alternativos,128,0.14360979340177182,0.5044020459362508,0.08144412351746266,14.360979340177183,8.144412351746267
ampliado_15pct,Prima,residual_no_mapeado,128,0.16109488271345102,0.3387746740867211,0.08886217290319465,16.1094882713451,8.886217290319465
ampliado_15pct,Profuturo,mapeo_alta_confianza,118,0.44152657680553686,0.6354780267373402,0.2614756662848814,44.15265768055369,26.14756662848814
ampliado_15pct,Profuturo,mapeo_baja_confianza,22,0.01221738547613585,0.029784530672145836,0.007925829034747749,1.221738547613585,0.7925829034747749
ampliado_15pct,Profuturo,mapeo_confianza_media,118,0.23382793604680563,0.307590705631145,0.14252583986501338,23.382793604680565,14.252583986501339
ampliado_15pct,Profuturo,privados_alternativos,118,0.17308785922054343,0.3599415004825747,0.1113893650900257,17.308785922054344,11.13893650900257
ampliado_15pct,Profuturo,residual_no_mapeado,118,0.1325874156682561,0.23298641045160448,0.08308785000361316,13.258741566825611,8.308785000361315
principal_5pct,Habitat,mapeo_alta_confianza,124,0.34088037605019705,0.5202745491267553,0.17641081800954084,34.08803760501971,17.641081800954083
principal_5pct,Habitat,mapeo_baja_confianza,92,0.01754409111712315,0.05238687447069308,0.00899871152774505,1.7544091117123148,0.899871152774505
principal_5pct,Habitat,mapeo_confianza_media,124,0.3563715038856767,0.42971468975522953,0.18388443154872836,35.63715038856767,18.388443154872835
principal_5pct,Habitat,privados_alternativos,84,0.2161139914104996,0.32876175827939075,0.11749956029607794,21.61139914104996,11.749956029607795
principal_5pct,Habitat,residual_no_mapeado,124,0.18243307038429085,0.32124547012907706,0.1077114537356019,18.243307038429084,10.77114537356019
principal_5pct,Integra,mapeo_alta_confianza,49,0.4227459121215803,0.5140619653247304,0.25384538767704656,42.27459121215803,25.384538767704655
principal_5pct,Integra,mapeo_baja_confianza,48,0.01668691434112999,0.022557754428265873,0.01031173203215694,1.668691434112999,1.0311732032156942
principal_5pct,Integra,mapeo_confianza_media,49,0.25146283324232876,0.32097773495497545,0.14904429830758362,25.146283324232876,14.904429830758362
principal_5pct,Integra,privados_alternativos,49,0.0733588313446883,0.1352733097290437,0.044178922547379006,7.335883134468831,4.4178922547379
principal_5pct,Integra,residual_no_mapeado,49,0.21458881501677574,0.2667882626206321,0.13116652829655412,21.458881501677574,13.116652829655411
principal_5pct,Prima,mapeo_alta_confianza,96,0.28712790994977,0.6454071615559234,0.1751124534230234,28.712790994977,17.511245342302338
principal_5pct,Prima,mapeo_baja_confianza,61,0.0125260609196195,0.0310151552795129,0.0076452999214543,1.2526060919619502,0.76452999214543
principal_5pct,Prima,mapeo_confianza_media,96,0.3547692036519713,0.4938642183132623,0.20047516102471208,35.47692036519713,20.047516102471207
principal_5pct,Prima,privados_alternativos,96,0.12417738742391225,0.18571341663640514,0.07034064937260714,12.417738742391226,7.034064937260714
principal_5pct,Prima,residual_no_mapeado,96,0.18477195257908477,0.35997804907775577,0.10625487314228818,18.477195257908477,10.625487314228819
principal_5pct,Profuturo,mapeo_alta_confianza,49,0.5151768828368652,0.6338017568209106,0.3272273155448107,51.517688283686525,32.72273155448107
principal_5pct,Profuturo,mapeo_baja_confianza,20,0.0121606374394903,0.027527316903446876,0.007925829034747749,1.21606374394903,0.7925829034747749
principal_5pct,Profuturo,mapeo_confianza_media,49,0.2544181470405459,0.29246055843924135,0.1605478799524835,25.44181470405459,16.05478799524835
principal_5pct,Profuturo,privados_alternativos,49,0.0584252394178267,0.1473178167881157,0.0359831737712122,5.84252394178267,3.59831737712122
principal_5pct,Profuturo,residual_no_mapeado,49,0.13036199578682847,0.24784294602751722,0.08253918230569586,13.036199578682847,8.253918230569585
