afp,modelo,tarea,segmento,parametros,retorno_acumulado_n,retorno_acumulado_mae,retorno_acumulado_rmse,retorno_acumulado_r2,retorno_acumulado_sesgo,retorno_acumulado_desviacion_residual,retorno_acumulado_varianza_residual,retorno_acumulado_correlacion,retorno_acumulado_direccion_pct,n_publicacion,mape_cuota_pct,mediana_error_abs_pct,p90_error_abs_pct,error_maximo_abs_pct,sesgo_cuota_pct,correlacion_retorno_acumulado,direccion_acumulada_pct,ranking_validacion
Prima,DIRECTO_SVR_RBF,directo_acumulado,validacion,"{""C"": 0.5, ""epsilon"": 0.001, ""gamma"": 0.1}",593,0.00715690135000844,0.009830400285176297,0.19376548284802086,0.0007003402004470807,0.009813699743204594,9.630870264977392e-05,0.45757606519722527,67.45362563237775,593,0.7175197068783459,0.532113761667885,1.5235876361258651,6.029248409752586,0.07901121286219764,0.45757606519722527,67.45362563237775,11.0
Prima,DIRECTO_GRADIENT_BOOSTING,directo_acumulado,validacion,"{""learning_rate"": 0.05, ""max_depth"": 1, ""min_samples_leaf"": 30, ""n_estimators"": 250}",593,0.006401362753707742,0.008740792032819423,0.36258752689077844,0.0012522753449529945,0.008657924655562152,7.4959659341391e-05,0.6134736473168819,71.66947723440134,593,0.6412175029675771,0.4774935794107371,1.398657299699272,4.975269243335467,0.13254779690418883,0.6134736473168819,71.66947723440134,6.0
Prima,DIRECTO_EXTRA_TREES,directo_acumulado,validacion,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",593,0.006371571956776632,0.008732896434163829,0.3637385621727224,0.001276579369413769,0.008646380508291748,7.475989589416745e-05,0.6146951956578449,71.50084317032041,593,0.6383713221098443,0.4787448362922664,1.3862304371400447,5.162838422330407,0.13499354189225446,0.6146951956578449,71.50084317032041,5.0
Profuturo,DIARIO_RIDGE,diario_recursivo,validacion,"{""alpha"": 10.0}",593,0.0062104953689941,0.008708470116521557,0.4488870247997615,0.0009238933358600426,0.008666633419138323,7.511053482172521e-05,0.6854267369898771,75.04215851602024,593,0.6223169080091988,0.46627946136613696,1.2590241336645265,6.24223591241575,0.10088401047887517,0.6854267369898771,75.04215851602024,1.0
Profuturo,DIARIO_POLY_RIDGE,diario_recursivo,validacion,"{""alpha"": 10.0, ""interaction_only"": false}",593,0.006452266257740645,0.008957686886574138,0.41689245661073715,0.001099372310944446,0.00889747346689806,7.916503409415497e-05,0.6660200621865322,74.19898819561551,593,0.6462689330488426,0.4981408526663511,1.3712535060500588,6.0639949058882925,0.11885329563384205,0.6660200621865322,74.19898819561551,5.0
Profuturo,DIARIO_SVR_RBF,diario_recursivo,validacion,"{""C"": 0.5, ""epsilon"": 0.001, ""gamma"": ""scale""}",593,0.008624672520560718,0.011269630706535437,0.07705403789701326,0.0015500985613161875,0.011171940148243378,0.00012481224667593228,0.4432007474759557,62.22596964586846,593,0.8645156260946683,0.6766888030118601,1.7977984911818554,5.934029730519486,0.1641757455447131,0.4432007474759557,62.22596964586846,12.0
Profuturo,DIARIO_GRADIENT_BOOSTING,diario_recursivo,validacion,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 30, ""n_estimators"": 250}",593,0.006425460304365506,0.009007378097706728,0.4104051372401284,0.0010748280913745922,0.008950569930143669,8.011270207439205e-05,0.6867713268915563,75.21079258010118,593,0.6437768938710958,0.5040758333107132,1.384763542541571,5.8102963608941405,0.1169653742413224,0.6867713268915563,75.21079258010118,4.0
Profuturo,DIARIO_EXTRA_TREES,diario_recursivo,validacion,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 20}",593,0.00658305036860498,0.0092310847663798,0.38075518022682175,0.0011155314222576489,0.009171169735581486,8.411035431884578e-05,0.6542635326417894,73.35581787521079,593,0.6597716799392798,0.4920708866950396,1.3487898198672537,6.596454548361019,0.12123482913630201,0.6542635326417894,73.35581787521079,7.0
Profuturo,DIRECTO_RIDGE,directo_acumulado,validacion,"{""alpha"": 100.0}",593,0.006324009542757764,0.008828033913235651,0.43365001941228687,0.0007652776004905826,0.008802226381610186,7.747918927311435e-05,0.6628286091071709,74.36762225969646,593,0.6332514943893341,0.48251407096424614,1.3701369753711323,5.253112322584097,0.0846283221676775,0.6628286091071709,74.36762225969646,2.0
Profuturo,DIRECTO_POLY_RIDGE,directo_acumulado,validacion,"{""alpha"": 10.0, ""interaction_only"": true}",593,0.006892107282065897,0.009500094744546779,0.34413753442797357,0.0013954833545633794,0.009404976833829574,8.845358924487096e-05,0.6012438627730214,71.8381112984823,593,0.68998015672795,0.5200522798925467,1.4650710992061282,5.369651530336861,0.14787822759261796,0.6012438627730214,71.8381112984823,9.0
