fecha_cartera,anio,mes,afp,fondo,monto_miles_soles,participacion_pct,archivo_fuente,hoja_fuente,fila_excel_aprox,nivel_profundidad,descripcion,ruta_jerarquica,nivel_1,nivel_2,nivel_3,tipo_fila,es_hoja,categoria_economica,factor_representativo_inicial,calidad_proxy_inicial,regla_mapeo
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,49,3,Acciones y Valores representativos sobre Acciones,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Acciones y Valores representativos sobre Acciones,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Acciones y Valores representativos sobre Acciones,instrumento_o_detalle,True,acciones_exterior_directas,ACWI,media,acciones_exterior_actual_historico
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,51,3,Bonos Corporativos,II. INVERSIONES EN EL EXTERIOR > 3. Empresas no Financieras > Bonos Corporativos,II. INVERSIONES EN EL EXTERIOR,3. Empresas no Financieras,Bonos Corporativos,instrumento_o_detalle,True,renta_fija_no_financiera_exterior,LQD_HYG,media,renta_fija_no_financiera_exterior_actual_historico
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,52,3,Acciones y Valores representativos sobre Acciones,II. INVERSIONES EN EL EXTERIOR > 3. Empresas no Financieras > Acciones y Valores representativos sobre Acciones,II. INVERSIONES EN EL EXTERIOR,3. Empresas no Financieras,Acciones y Valores representativos sobre Acciones,instrumento_o_detalle,True,acciones_exterior_directas,ACWI,media,acciones_exterior_actual_historico
2015-01-30,2015,1,Habitat,3,62645.1718627745,62.49108061000423,FP-1356-en2015.XLS,Fondo3xIntru,54,3,Cuotas de Fondos Mutuos,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Cuotas de Fondos Mutuos,II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Cuotas de Fondos Mutuos,instrumento_o_detalle,True,fondos_mutuos_exterior,ACWI,media,fondos_mutuos_exterior_actual_historico
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,55,3,Cuotas de Fondos de Inversión,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Cuotas de Fondos de Inversión,II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Cuotas de Fondos de Inversión,instrumento_o_detalle,True,fondos_inversion_exterior,proxy_fondos_exterior_pendiente,baja,fondos_inversion_exterior_actual_historico
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,57,3,Bonos de Titulización,II. INVERSIONES EN EL EXTERIOR > 5. Sociedades Titulizadoras > Bonos de Titulización,II. INVERSIONES EN EL EXTERIOR,5. Sociedades Titulizadoras,Bonos de Titulización,instrumento_o_detalle,True,titulizaciones_deuda_local,proxy_credito_local_pendiente,baja,titulizacion_deuda
2015-01-30,2015,1,Habitat,3,-243.75628242000005,-0.2431567037164568,FP-1356-en2015.XLS,Fondo3xIntru,58,1,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,,,categoria_nivel_1,True,operaciones_en_transito,sin_factor_directo,no_aplicable,operaciones_transito
2015-01-30,2015,1,Integra,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,8,3,Certificados y Depósitos a Plazo del BCRP (1),I. INVERSIONES LOCALES > 1. Gobierno > Certificados y Depósitos a Plazo del BCRP (1),I. INVERSIONES LOCALES,1. Gobierno,Certificados y Depósitos a Plazo del BCRP (1),instrumento_o_detalle,True,renta_fija_soberana_local,tasas_soberanas_peru_pendiente,baja,renta_fija_soberana_local
2015-01-30,2015,1,Integra,3,417276.3431077615,4.967238971183607,FP-1356-en2015.XLS,Fondo3xIntru,9,3,Bonos del Gobierno Central,I. INVERSIONES LOCALES > 1. Gobierno > Bonos del Gobierno Central,I. INVERSIONES LOCALES,1. Gobierno,Bonos del Gobierno Central,instrumento_o_detalle,True,renta_fija_soberana_local,tasas_soberanas_peru_pendiente,baja,renta_fija_soberana_local
2015-01-30,2015,1,Integra,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,11,3,Letras del Tesoro,I. INVERSIONES LOCALES > 1. Gobierno > Letras del Tesoro,I. INVERSIONES LOCALES,1. Gobierno,Letras del Tesoro,instrumento_o_detalle,True,renta_fija_soberana_local,tasas_soberanas_peru_pendiente,baja,renta_fija_soberana_local
