afp,ticker,nombre,categoria,factor,lag,moneda_modelo,operacion_preferida,factor_sale,correlacion_relevante,mape_base_pct,mape_candidato_pct,mejora_mape_puntos,p90_base_pct,p90_candidato_pct,familia,alpha,half_life,aceptado_validacion
Integra,ZN=F,Treasury 10 años futuro,FUTURO_BONOS,ret_USD_FUTURO_BONOS_TREASURY_10_A_OS_FUTURO,0,USD,AGREGAR,,0.3193758617898638,0.6366845225895563,0.6473142597588859,-0.010629737169329578,1.2411911537331388,1.2618275289767267,EW_RIDGE,10.0,500.0,False
Prima,ZS=F,Soya,FUTURO_AGRICOLA,ret_USD_FUTURO_AGRICOLA_SOYA,0,USD,AGREGAR,,0.21844597517991993,0.5774496295748925,0.5735006613477948,0.003948968227097782,1.2671201625506572,1.2545730880034478,EW_RIDGE,0.001,500.0,True
Prima,HO=F,Heating Oil,FUTURO_ENERGIA,ret_USD_FUTURO_ENERGIA_HEATING_OIL,0,USD,AGREGAR,,0.3515125625265093,0.5774496295748925,0.5737664438526044,0.003683185722288096,1.2671201625506572,1.2663105372468635,EW_RIDGE,0.001,500.0,True
Prima,BZ=F,Petróleo Brent,FUTURO_ENERGIA,ret_USD_FUTURO_ENERGIA_PETR_LEO_BRENT,0,USD,AGREGAR,,0.3688915881110446,0.5774496295748925,0.5743683409322404,0.0030812886426521136,1.2671201625506572,1.2492612998890442,EW_RIDGE,0.001,500.0,True
Prima,HG=F,Cobre,FUTURO_METAL,ret_USD_FUTURO_METAL_COBRE,0,USD,AGREGAR,,0.40458094938664746,0.5774496295748925,0.5755396772317216,0.0019099523431709287,1.2671201625506572,1.2652094682838966,EW_RIDGE,0.001,500.0,False
Prima,ES=F,E-mini S&P 500,FUTURO_INDICE,ret_USD_FUTURO_INDICE_E_MINI_S_P_500,0,USD,SUSTITUIR,ret_USD_SPY,0.9553466073628263,0.5774496295748925,0.5759218154589312,0.0015278141159613678,1.2671201625506572,1.254407690475148,EW_RIDGE,0.001,500.0,False
Prima,CL=F,Petróleo WTI,FUTURO_ENERGIA,ret_USD_FUTURO_ENERGIA_PETR_LEO_WTI,0,USD,AGREGAR,,0.3223468000625161,0.5774496295748925,0.5760628056561493,0.0013868239187432296,1.2671201625506572,1.2592019696261807,EW_RIDGE,0.001,500.0,False
Prima,RB=F,Gasolina RBOB,FUTURO_ENERGIA,ret_USD_FUTURO_ENERGIA_GASOLINA_RBOB,0,USD,AGREGAR,,0.3827887402390475,0.5774496295748925,0.5763259943083786,0.0011236352665139338,1.2671201625506572,1.2315662883138545,EW_RIDGE,0.001,500.0,False
Prima,ZC=F,Maíz,FUTURO_AGRICOLA,ret_USD_FUTURO_AGRICOLA_MA_Z,0,USD,AGREGAR,,0.1298901414566962,0.5774496295748925,0.5764443580398763,0.0010052715350162833,1.2671201625506572,1.2762533372462808,EW_RIDGE,0.001,500.0,False
Prima,NG=F,Gas natural,FUTURO_ENERGIA,ret_USD_FUTURO_ENERGIA_GAS_NATURAL,1,USD,AGREGAR,,0.018426843124935994,0.5774496295748925,0.5772023468492083,0.00024728272568419474,1.2671201625506572,1.2726246298409816,EW_RIDGE,0.001,500.0,False
